"region","mean_value_mean","mean_cattle_mean","data_uncertainty_lower","data_uncertainty_upper","data_uncertainty_width","model_uncertainty_lower","model_uncertainty_upper","model_uncertainty_width","uncertainty_ratio"
"Janamora",0.269,0,0,0,0,0,0,0,NA
"Jarso",0.333,16969,15152,19003,3852,16637,17304,666,5.78
"Jarte Jardega",0.352,5440,4796,6144,1348,5295,5586,291,4.63
"Jawi",0.347,3603,3202,4061,859,3474,3734,260,3.3
"Jeju",0.307,0,0,0,0,0,0,0,NA
"Jeldu",0.384,0,0,0,0,0,0,0,NA
"Jibat",0.371,0,0,0,0,0,0,0,NA
"Jida",0.43,0,0,0,0,0,0,0,NA
"Jijiga",0.367,0,0,0,0,0,0,0,NA
"Jikawo",0.057,1792,349,4747,4398,907,3134,2227,1.97
"Jille Timuga",0.523,0,0,0,0,0,0,0,NA
"Jimma Arjo",0.322,5922,5316,6510,1194,5798,6047,249,4.8
"Jimma Genete",0.324,0,0,0,0,0,0,0,NA
"Jimma Horo",0.356,11141,9586,12868,3283,10635,11659,1025,3.2
"Jimma Rare",0.332,0,0,0,0,0,0,0,NA
"Jore",0.025,160,20,575,555,66,330,265,2.09
"Kacha Bira",0.277,0,0,0,0,0,0,0,NA
"Kafta Humera",0.277,0,0,0,0,0,0,0,NA
"Kalu",0.524,0,0,0,0,0,0,0,NA
"Kamashi",0.328,3450,3053,3867,814,3353,3548,195,4.17
"Kebena",0.378,0,0,0,0,0,0,0,NA
"Kebribeyah",0.368,0,0,0,0,0,0,0,NA
"Kebridehar",0.374,0,0,0,0,0,0,0,NA
"Kediada Gambela",0.277,0,0,0,0,0,0,0,NA
"Kelafo",0.403,0,0,0,0,0,0,0,NA
"Kelela",0.491,0,0,0,0,0,0,0,NA
"Kelete Awelallo",0.043,0,0,0,0,0,0,0,NA
"Kemba",0.344,21901,19651,24074,4424,21297,22512,1215,3.64
"Kembibit",0.421,0,0,0,0,0,0,0,NA
"Kercha",0.271,5188,4254,6095,1841,4881,5504,623,2.96
"Kersa",0.325,19687,16851,22499,5648,19059,20336,1277,4.42
"Kersana Malima",0.385,0,0,0,0,0,0,0,NA
"Kewet",0.495,0,0,0,0,0,0,0,NA
"Kiltu Kara",0.352,16931,15144,18766,3622,16594,17270,676,5.36
"Kindo Dida",0.347,18219,16266,20379,4113,17838,18604,765,5.38
"Kindo Koysha",0.362,14938,13471,16347,2876,14595,15284,688,4.18
"Kiremu",0.337,4305,3817,4887,1070,4206,4405,200,5.35
"Kobo",0.321,0,0,0,0,0,0,0,NA
"Kochere",0.262,5811,4722,6898,2176,5506,6125,619,3.52
"Kochere Gedeb",0.253,4035,3249,4873,1624,3809,4267,459,3.54
"Kofele",0.228,0,0,0,0,0,0,0,NA
"Kokir Gedbano",0.36,0,0,0,0,0,0,0,NA
"Kokosa",0.243,0,0,0,0,0,0,0,NA
"Kola Temben",0.087,0,0,0,0,0,0,0,NA
"Kolfe - Keran",0.216,0,0,0,0,0,0,0,NA
"Kombolcha",0.362,0,0,0,0,0,0,0,NA
"Kondaltiti",0.37,0,0,0,0,0,0,0,NA
"Koneba",0.044,0,0,0,0,0,0,0,NA
"Konso",0.357,38122,33774,42299,8525,36643,39619,2976,2.86
"Konta",0.359,26998,24442,29905,5463,26402,27600,1198,4.56
"Kore",0.225,0,0,0,0,0,0,0,NA
"Kucha",0.352,47306,42708,51774,9066,46304,48316,2012,4.51
"Kuni",0.314,0,0,0,0,0,0,0,NA
"Kurfa Chele",0.342,0,0,0,0,0,0,0,NA
"Kurmuk",0.674,10505,9538,11471,1934,10221,10784,563,3.44
"Kurri",0.107,0,0,0,0,0,0,0,NA
"Kutaber",0.49,0,0,0,0,0,0,0,NA
"Kuyu",0.422,0,0,0,0,0,0,0,NA
"Laelay Adiyabo",0.026,0,0,0,0,0,0,0,NA
"Laelay Maychew",0.049,0,0,0,0,0,0,0,NA
"Lagahida",0.315,0,0,0,0,0,0,0,NA
"Lalo Asabi",0.281,5241,4662,5813,1151,5126,5357,230,5
"Lalo Kile",0.256,29222,24226,34315,10089,28423,30032,1609,6.27
"Lanfero",0.303,0,0,0,0,0,0,0,NA
"Lare",0.297,12771,10138,16060,5922,11279,14355,3076,1.93
"Lasta",0.401,0,0,0,0,0,0,0,NA
"Lay Armacho",0.257,0,0,0,0,0,0,0,NA
"Lay Gayint",0.354,0,0,0,0,0,0,0,NA
"Legambo",0.49,0,0,0,0,0,0,0,NA
"Lege Hida",0.278,0,0,0,0,0,0,0,NA
"Legehida",0.491,0,0,0,0,0,0,0,NA
"Leka Dulecha",0.319,2672,2365,3013,648,2622,2721,99,6.55
"Liben",0.835,0,0,0,0,0,0,0,NA
"Liben Chukala",0.373,0,0,0,0,0,0,0,NA
"Libo Kemkem",0.27,0,0,0,0,0,0,0,NA
"Limu",0.314,13859,12323,15728,3405,13481,14240,759,4.49
"Limu Bilbilo",0.236,0,0,0,0,0,0,0,NA
"Limu Kosa",0.34,0,0,0,0,0,0,0,NA
"Limu Seka",0.345,6321,5642,7021,1379,6182,6461,279,4.94
"Loka Abaya",0.309,13314,11807,14805,2998,12915,13719,804,3.73
"Loma Bosa",0.372,16310,14634,17971,3337,15930,16693,763,4.37
"Lome",0.366,0,0,0,0,0,0,0,NA
"Lude Hitosa",0.281,0,0,0,0,0,0,0,NA
"Maji",0.496,10075,8873,11241,2368,9643,10508,865,2.74
"Male",0.371,35611,31949,39455,7507,34408,36827,2419,3.1
"Malga",0.225,0,0,0,0,0,0,0,NA
"Malka Balo",0.329,0,0,0,0,0,0,0,NA
"Mana Sibu",0.412,50540,45280,55825,10545,49532,51552,2020,5.22
"Mandura",0.313,0,0,0,0,0,0,0,NA
"Maokomo Special",0.545,20548,18612,22471,3859,20014,21081,1067,3.62
"Mareka",0.34,20114,17826,22402,4576,19600,20633,1033,4.43
"Mareko",0.317,0,0,0,0,0,0,0,NA
"Masha",0.291,0,0,0,0,0,0,0,NA
"Mecha",0.272,0,0,0,0,0,0,0,NA
"Meda Welabu",0.584,3063,2341,3911,1570,2760,3376,616,2.55
"Medebay Zana",0.071,0,0,0,0,0,0,0,NA
"Megale",0.093,0,0,0,0,0,0,0,NA
"Mehal Sayint",0.457,0,0,0,0,0,0,0,NA
"Mekdela",0.467,0,0,0,0,0,0,0,NA
"Meket",0.399,0,0,0,0,0,0,0,NA
"Meko",0.312,2713,2430,3025,595,2661,2766,105,5.67
"Melekoza",0.364,26263,23527,29165,5637,25626,26905,1279,4.41
"Melka Soda",0.527,0,0,0,0,0,0,0,NA
"Mena",0.343,15727,13817,17838,4021,15130,16343,1212,3.32
"Menge",0.556,1933,1750,2117,367,1884,1981,98,3.74
"Mengesh",0.304,3029,2655,3456,801,2930,3130,201,3.99
"Menit Goldiye",0.327,27436,24211,30592,6380,26705,28175,1470,4.34
"Menit Shasha",0.358,15241,13541,17061,3520,14744,15744,1000,3.52
"Menjiwo",0.331,8921,8011,9859,1849,8712,9131,419,4.41
"Menz Gera Midir",0.525,0,0,0,0,0,0,0,NA
"Menz Keya Gabriel",0.525,0,0,0,0,0,0,0,NA
"Menz Lalo Midir",0.52,0,0,0,0,0,0,0,NA
