"state","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Abia",0.272219411978531,2110,0.227343007154694,1738,0.323163749814144,2535
"Adamawa",0.237568132530371,32883,0.195108345884083,27002,0.283130777599267,39310
"Akwa Ibom",0.289673530882275,2385,0.220835655297044,1822,0.369031523786055,3034
"Anambra",0.302504266619319,6293,0.280788390010305,5856,0.325076947705653,6747
"Bauchi",0.318424833399111,115672,0.298730611665203,110269,0.338777668117596,121149
"Bayelsa",0.597876110092696,1334,0.282263220971042,621,0.86461270269754,1941
"Benue",0.278027290664038,59120,0.259496417315132,55080,0.297230900410296,63311
"Borno",0.549411677243275,38923,0.466552701462446,31361,0.623864412452875,46370
"Cross River",0.259299590683317,3428,0.235468254716606,3145,0.284318656504469,3726
"Delta",0.471796394575721,13827,0.310812378159395,9260,0.627849438940948,18306
"Ebonyi",0.272856199799406,9387,0.251463869966446,8644,0.295083422832626,10159
"Edo",0.416671309558481,14212,0.361115826722835,12739,0.473651195832846,15739
"Ekiti",0.335148737806764,1885,0.312866453396745,1763,0.357974454803394,2011
"Enugu",0.29621013373977,10344,0.27866947344299,9730,0.314269400516824,10977
"Federal Capital Territory",0.308041875429274,68071,0.289038645402788,63650,0.327608479371791,72637
"Gombe",0.360791648320453,34053,0.338206448272663,32121,0.38377835480715,36017
"Imo",0.290351915614571,2814,0.238507933944537,2382,0.34873269802607,3295
"Jigawa",0.184925042600643,0,0.15614267841049,0,0.217833913231665,0
"Kaduna",0.247049795972947,106304,0.233064576905458,100051,0.261494068594229,112755
"Kano",0.216779867124555,542,0.19613445739274,470,0.238617049265626,620
"Katsina",0.114614117039774,1621,0.0935623739720024,888,0.140264912093896,2681
"Kebbi",0.0500660923110988,37014,0.0336857239530966,26047,0.072810430658027,51450
"Kogi",0.377709058079995,116912,0.357083707483767,110469,0.398651958175473,123453
"Kwara",0.241129762726923,111034,0.219053289540715,101183,0.264587174066682,121473
"Lagos",0.737018875339453,2663,0.65872954076173,2384,0.80568565319491,2903
"Nasarawa",0.354437911016979,166524,0.333356218849544,156488,0.375936598573754,176767
"Niger",0.205091368424639,321824,0.184707364307955,289562,0.227066050919881,356709
"Ogun",0.623189196339237,25253,0.561824727770255,22702,0.68059579708882,27634
"Ondo",0.471900783548705,3853,0.410123641458469,3337,0.531418920143683,4347
"Osun",0.345606008765837,11171,0.324502356824023,10477,0.367138399287878,11881
"Oyo",0.294190896352395,77716,0.265870781020616,69793,0.323820926284419,86042
"Plateau",0.307278773532158,193577,0.289881590697713,182759,0.325075777544199,204635
"Rivers",0.445229061484171,882,0.2549955577218,515,0.654403805534967,1297
"Sokoto",0.0117720980888267,2530,0.00641692930833131,1443,0.019982811568698,4175
"Taraba",0.128191809942741,116759,0.112322934077145,103787,0.145982366815652,131241
"Yobe",0.180966901681423,4565,0.136733940048018,2444,0.242209394455514,7799
"Zamfara",0.0457543419044343,17664,0.034426155205443,14094,0.0600366237571879,21910
"Total",0.271661280012642,1735150,0.235329001579049,1576072,0.309193405432803,1907036
