"region","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Ab Ala",0.00812558238665868,0,0.00179181191150815,0,0.0237233768952804,0
"Ababo",0.388518422162019,6823,0.377101869108372,6610,0.400024007080581,7038
"Abay Chomen",0.36874884799988,1674,0.359502189461329,1627,0.378065593008438,1720
"Abaya",0.35396940508619,10918,0.341335815763616,10503,0.366756298263577,11342
"Abe Dongoro",0.348631352261681,6685,0.340765249389008,6551,0.356559035198714,6820
"Abergele",0.188988337954018,0,0.156394139310824,0,0.225874956256427,0
"Abeshege",0.362524228233558,9095,0.353548984275101,8860,0.371569695497914,9333
"Abichuna Gne'a",0.428808239774077,0,0.404714565351587,0,0.45315464418623,0
"Abobo",0.283991461748776,2443,0.266008340580426,2356,0.303272261396703,2532
"Abuna G/Beret",0.388227085651434,0,0.374820204031756,0,0.401755227997188,0
"Ada'a",0.352356891014221,0,0.335918756765804,0,0.369109417890394,0
"Adaa'r",0.287598580245319,0,0.20606641193957,0,0.383618009655472,0
"Adaba",0.266382799673074,0,0.246987471394424,0,0.286459226085811,0
"Adadle",0.391402431694658,0,6.39628652780593e-05,0,0.999176888570346,0
"Adama",0.346367431319798,0,0.330791182916068,0,0.362192323027975,0
"Adami Tulu Jido Kombolcha",0.314992996599256,0,0.301005827380746,0,0.329324051403106,0
"Adda Berga",0.404025644162761,0,0.388015231326339,0,0.420186829704952,0
"Addi Arekay",0.268296318084659,0,0.247690008806533,0,0.28968214641474,0
"Adola",0.285010695104193,9995,0.265843591149296,9363,0.304729237050159,10648
"Adwa",0.0119935369191961,0,0.00098473792624548,0,0.052740702165339,0
"Afambo",0.111500573717228,0,0.000877471788295987,0,0.628113752703434,0
"Afdem",0.396836247650802,0,0.0188185172575277,0,0.939376390540025,0
"Afder",0.475570547056097,0,0.000823297216072932,0,0.999096736655468,0
"Afdera",0.00117963377067433,0,9.81937992629969e-05,0,0.00517903408307281,0
"Afele Kola",0.260080597624833,0,0.247592247827073,0,0.272866350177815,0
"Agalometi",0.344690092578222,1984,0.334306135185045,1923,0.355184004519117,2046
"Agarfa",0.246906438378537,0,0.22919719413273,0,0.265283659381991,0
"Ahferom",0.00728741227076554,0,0.000235279750706058,0,0.0430291049128852,0
"Akaki",0.384015122862257,0,0.368196416393482,0,0.40001861129441,0
"Akaki - Kalit",0.338400035978531,0,0.315874429100942,0,0.361481675427351,0
"Akobo",0.0107867343752407,246,0.00298666610313943,70,0.0277979855425334,627
"Alaba",0.268629710233348,5732,0.258648802594625,5515,0.278786870038136,5953
"Alaje",0.0651419272505609,0,0.0364360578692373,0,0.10680837812638,0
"Alamata",0.172123587790093,0,0.137020051592124,0,0.21381173646436,0
"Albuko",0.423876950095861,0,0.390681387172874,0,0.457591921779524,0
"Ale",0.279716139680508,11704,0.271793195754729,11393,0.287744237533012,12018
"Aleltu",0.39452053379082,0,0.37487142668216,0,0.414427898521244,0
"Alem Gena",0.388156236635209,0,0.373608303308262,0,0.402855014658768,0
"Aleta Wendo",0.186816547075511,0,0.174922237925256,0,0.199160522655481,0
"Alfa",0.29249582147012,792,0.279549558108973,758,0.305731768488376,827
"Alge Sachi",0.304443528929759,18545,0.29888905199446,18190,0.310042662409332,18903
"Alicho Woriro",0.239433325026932,0,0.229189298104133,0,0.249933923579291,0
"Alle",0.370617403293716,7227,0.359389208097293,7001,0.381949534492218,7455
"Amaro",0.336980123887445,13889,0.327012325770462,13457,0.347058280535025,14326
"Ambasel",0.457067156693281,0,0.425693834857685,0,0.488696178990156,0
"Ambo Zuria",0.360256809270238,0,0.350330597347687,0,0.370270521004744,0
"Ameya",0.347081776117688,0,0.338957664381073,0,0.355272843038031,0
"Amibara",0.448388931152563,0,0.37377279289589,0,0.526588209385821,0
"Amigna",0.289362789497429,0,0.268631433392444,0,0.310774707864251,0
"Amuru",0.358925548524856,1454,0.349360772514682,1419,0.368571645685882,1489
"Ana Sora",0.243972885878923,0,0.229502288754488,0,0.258888245867868,0
"Analemmo",0.251585436888981,0,0.241424751936215,0,0.261951229621285,0
"Anchar",0.364769833636295,0,0.340997427607894,0,0.389041215310867,0
"Anderacha",0.324465066689592,0,0.314497413220849,0,0.33455220732757,0
"Aneded",0.365935309548673,2302,0.352328307346513,2219,0.379696476668444,2386
"Anfilo",0.385232784566651,8914,0.374953452064284,8676,0.395589947104961,9154
"Angolelana Tera",0.413950527025885,0,0.390694005182722,0,0.43749763847813,0
"Anigacha",0.214043663736145,0,0.204020947835091,0,0.224325651025316,0
"Ankasha",0.254579171590888,0,0.246356021435217,0,0.262935291650228,0
"Ankober",0.437333664593948,0,0.41049269952858,0,0.464448405362549,0
"Antsokiya",0.503030144076356,0,0.466776118801616,0,0.539261380598552,0
"Arba Minch Zuria",0.355968145306982,23843,0.344429519754035,23118,0.36763040866044,24577
"Arbe Gonna",0.176090645121802,0,0.1642685342688,0,0.188406821291225,0
"Arero",0.940462902950245,0,0.890009202104418,0,0.971468087612601,0
"Argoba",0.504720629009528,0,0.464134509322186,0,0.545260292619714,0
"Argoba Special Woreda",0.45057858256222,0,0.422660275467124,0,0.478731352866869,0
"Aroresa",0.217995976753663,0,0.203061309594336,0,0.233504290701278,0
"Arsi Negele",0.306069519467664,0,0.292141187055504,0,0.320257146396496,0
"Artuma Fursi",0.515984500039927,0,0.478290935166867,0,0.553536570211318,0
"Aseko",0.318676989672848,0,0.298307425426641,0,0.339572522614999,0
"Asgede Tsimbila",0.0692551923097735,0,0.0362467574074418,0,0.119962447829772,0
"Assagirt",0.414679901927056,0,0.390872743371344,0,0.438781956045832,0
"Assosa",0.589823327632309,36832,0.57435894332377,35876,0.605144100290799,37781
"Atsbi Wenberta",0.00346152732762729,0,0.000606693836083534,0,0.0112839254190254,0
"Aw-bare",0.334212126822653,0,2.9817541478722e-06,0,0.99965002930158,0
"Awabel",0.367651974426397,0,0.353362120056567,0,0.382116205264874,0
"Aware",0.341288990651635,0,9.81741012812035e-08,0,0.999971250671282,0
"Awasa",0.225663596055832,0,0.209859721594914,0,0.242056176435236,0
"Awasa Zuria",0.196412045642171,15625,0.185643363951967,14803,0.207525183180216,16472
"Awash Fentale",0.411640983506737,0,0.385663996394248,0,0.43798612582281,0
"Awra",0.0531941507500064,0,0.0221810623266176,0,0.107319519531,0
"Ayida",0.352758887464517,0,0.344277334649238,0,0.361309428848633,0
"Ayira",0.287151193076324,8616,0.280775518791366,8421,0.293590968923283,8813
"Ayisha",0.215777896693036,0,0.000127578243452072,0,0.967405774846079,0
"Aysaita",0.0522576222525802,0,0.00114757384079832,0,0.297038690604354,0
"Babile",0.318620331650981,0,3.13725266630907e-05,0,0.997975071584459,0
"Babo",0.35662390523388,16339,0.349720502760576,16025,0.363571270877387,16656
"Badele Zuria",0.324090540827738,11364,0.318767895829972,11191,0.329447747110548,11538
"Bahir Dar Zuria",0.282644636868341,0,0.267522843013698,0,0.298132335644489,0
"Bako Gazer",0.368251602846136,42995,0.356701355734163,41644,0.379915251854631,44360
"Bako Tibe",0.300795116169709,0,0.294439417840231,0,0.307208753996683,0
"Bambasi",0.500980219353228,18462,0.489749120056207,18049,0.512208165158392,18874
"Banja",0.27010733856434,0,0.262604669497448,0,0.277708370171337,0
"Bare",0.445912414322913,0,5.45176722977288e-05,0,0.999884067225982,0
"Basketo",0.372157519198773,3662,0.362695936626337,3570,0.381691493531823,3754
"Baso Liben",0.376502601846265,11049,0.364168879018066,10695,0.388953877318239,11407
"Basona Worena",0.454340329996596,0,0.427467353785166,0,0.481408615141963,0
"Bati",0.52977338029557,0,0.489162336044911,0,0.570086756434843,0
"Becho",0.344927865055019,5439,0.335095449040688,5328,0.354856138723031,5551
"Bedeno",0.291229851356786,0,0.0017218833120443,0,0.957814142712526,0
"Begi",0.459839133425101,22218,0.448800292705944,21679,0.470907724290964,22758
"Bele Gesgar",0.257812866457085,0,0.23938300470607,0,0.276902848397422,0
