"covariates","waic_increase"
"tavg",2388.1079234503
"pop_den",2070.48160541897
"tree",1440.92687654661
"grassland",508.594636502814
"built",1108.17597933732
"bare",429.46983849997
"water",44.8338747054531
"wetland",6.82551149544634
"mangrove",3.41281944034563
"cattle",4587.21309320847
"tsetse",2244.3183029436
