"covariates","waic_increase"
"tavg",2466.63346702652
"tmax",2795.67211824152
"human_fp",5623.48906834639
"pop_den",1545.64267213406
"tree",2812.41009910671
"cropland",3060.16522608423
"bare",1520.53499859606
