"Longitude","Latitude","Mean_Prevalence","Lower_CI","Upper_CI","CI_Width","Relative_Uncertainty"
32.9693879396985,7.7962040201005,0.889689774233956,0.82958800854898,0.934709720415986,0.105121711867006,0.118155468244555
33.0539869346734,7.7962040201005,0.790489351362496,0.685686690307496,0.876715619633235,0.191028929325739,0.241659079905984
33.0539869346734,7.86423065326633,0.846878572691635,0.789857669544655,0.893684920529843,0.103827250985188,0.122599926758323
33.0539869346734,7.93225728643216,0.711571801320707,0.602711082611184,0.807970263736712,0.205259181125528,0.288458846661094
33.1385859296482,7.7962040201005,0.847112510929655,0.781436814795519,0.899923246425202,0.118486431629684,0.139870949963484
33.1385859296482,7.86423065326633,0.768535856055066,0.670663324352599,0.851422465390004,0.180759141037405,0.23519935942254
33.1385859296482,7.93225728643216,0.628181142385797,0.491863453064095,0.758963247597752,0.267099794533656,0.425195499373359
33.1385859296482,8.00028391959799,0.597795484947597,0.473273269403109,0.718462676095289,0.24518940669218,0.410156002957556
33.1385859296482,8.06831055276382,0.534613148888456,0.420392909386699,0.648871575070814,0.228478665684115,0.427371953269683
33.2231849246231,7.7962040201005,0.888920496761535,0.847811214688843,0.922212649085544,0.0744014343967003,0.0836986374684299
33.2231849246231,7.86423065326633,0.793293836542312,0.714158713667418,0.859908748567411,0.145750034899992,0.183727678429049
33.2231849246231,7.93225728643216,0.706200781708219,0.606533277656039,0.795355326103876,0.188822048447837,0.26737728609008
33.2231849246231,8.00028391959799,0.642045884571505,0.540295142209308,0.737105732271154,0.196810590061846,0.306536642927312
33.2231849246231,8.06831055276382,0.573991458970069,0.476501578021932,0.668540631588715,0.192039053566783,0.334567789408164
33.2231849246231,8.13633718592965,0.40321814631774,0.279180386404383,0.544259593030909,0.265079206626526,0.657408921317844
33.2231849246231,8.20436381909548,0.371766847255768,0.25320556990119,0.508814217893005,0.255608647991815,0.687550947263357
33.307783919598,7.7962040201005,0.827714712046788,0.751108274555625,0.889944381460017,0.138836106904393,0.1677342505621
33.307783919598,7.86423065326633,0.821880262291092,0.764579001354385,0.870517538914933,0.105938537560548,0.128897775529042
33.307783919598,7.93225728643216,0.795871658597552,0.740096688227645,0.844510920450359,0.104414232222715,0.131194811493487
33.307783919598,8.00028391959799,0.649938565720361,0.562538295639296,0.731423884508678,0.168885588869382,0.259848542272911
33.307783919598,8.06831055276382,0.646225786969691,0.573406639853137,0.714493527416643,0.141086887563507,0.218324446978659
33.307783919598,8.13633718592965,0.521000903825746,0.441992286430933,0.599303196482112,0.157310910051179,0.301939802591576
33.307783919598,8.20436381909548,0.368571783370057,0.247265003751698,0.512040053676928,0.26477504992523,0.718381226865073
33.307783919598,8.27239045226131,0.352972610976333,0.234200432332978,0.494548768096974,0.260348335763996,0.737587925147691
33.307783919598,8.34041708542714,0.471919668587133,0.387018448212085,0.557950840302335,0.17093239209025,0.362206543757753
33.3923829145729,7.7962040201005,0.830913430857453,0.759332987816568,0.889394526384345,0.130061538567778,0.156528386397079
33.3923829145729,7.86423065326633,0.73626581237138,0.6346386893199,0.825436941881443,0.190798252561543,0.259143164541372
33.3923829145729,7.93225728643216,0.56587512842025,0.426208279604089,0.709301625190299,0.283093345586209,0.500275292848652
33.3923829145729,8.00028391959799,0.569866347472389,0.457452532710629,0.68075242365347,0.223299890942841,0.391846073966773
33.3923829145729,8.06831055276382,0.477973599174792,0.358109556622812,0.605088716729253,0.246979160106441,0.516721343046653
33.3923829145729,8.13633718592965,0.387606051799152,0.264663460870076,0.531743711816847,0.26708025094677,0.689050776444442
33.3923829145729,8.20436381909548,0.38830671197289,0.284403707560204,0.503029775447755,0.218626067887551,0.563024179460524
33.3923829145729,8.27239045226131,0.42610440644835,0.333391636196716,0.523603623839358,0.190211987642642,0.446397607638207
33.3923829145729,8.34041708542714,0.471324837720506,0.392025238745119,0.551654087243569,0.15962884849845,0.338681172141218
33.4769819095477,7.72817738693467,0.9259573673122,0.900370256989873,0.94671272084572,0.0463424638558464,0.05004816149405
33.4769819095477,7.7962040201005,0.685159627632771,0.547262967858004,0.813079326450842,0.265816358592838,0.387962670117085
33.4769819095477,7.86423065326633,0.612404590513929,0.47021902388489,0.753569636723403,0.283350612838513,0.462685318215407
33.4769819095477,7.93225728643216,0.639176904701041,0.525318423878887,0.747056655833513,0.221738231954625,0.346912146424217
33.4769819095477,8.00028391959799,0.501064516353931,0.368143743184004,0.644309457285242,0.276165714101238,0.551157994804338
33.4769819095477,8.06831055276382,0.480625396715241,0.369461801377991,0.596983929237028,0.227522127859037,0.473387651618082
33.4769819095477,8.13633718592965,0.46013211360983,0.37725246327247,0.545174291896365,0.167921828623894,0.364942640726624
33.4769819095477,8.20436381909548,0.472018212259222,0.389184654432367,0.556382433578934,0.167197779146567,0.354218915296314
33.4769819095477,8.27239045226131,0.383069095833343,0.272031184690595,0.508669952332743,0.236638767642149,0.617744344861221
33.4769819095477,8.34041708542714,0.461700381164489,0.386209644961547,0.538479186474409,0.152269541512862,0.329801637002794
33.5615809045226,7.72817738693467,0.722845823104547,0.58627709310944,0.845328691084759,0.259051597975319,0.358377387950752
33.5615809045226,7.7962040201005,0.671197348493194,0.531145494405908,0.803184779186326,0.272039284780418,0.40530446878423
33.5615809045226,7.86423065326633,0.60468122409413,0.467051986319051,0.741778025628917,0.274726039309866,0.454332015553206
33.5615809045226,7.93225728643216,0.5737341767606,0.44199249156273,0.707256400223327,0.265263908660596,0.462346360745531
33.5615809045226,8.00028391959799,0.503891037461174,0.374517321286741,0.642250514282552,0.267733192995811,0.531331524261216
