"Metric","Min","Median","Max","Mean"
"Mean",0.00490402901358314,0.344780030259297,0.994517405748818,0.366344359361857
"Lower_CI",1.61400026369473e-08,0.0843908556763125,0.990744842448416,0.182120402894395
"Upper_CI",0.0173711622287613,0.632480800332948,0.99999995408198,0.638268229290843
