"rank","LGA","cattle_at_risk","cumulative_percent","priority_tier"
68,"Rijau",11993,61.514467363336,"Tier 2 (Top 20%)"
69,"Dukku",11932,62.0243838544678,"Tier 2 (Top 20%)"
70,"Bosso",11819,62.5294712671972,"Tier 2 (Top 20%)"
71,"Muya",11526,63.0220372642459,"Tier 2 (Top 20%)"
72,"Kabba/Bunu",10834,63.4850304979805,"Tier 2 (Top 20%)"
73,"Nasarawa Eggon",10658,63.9405023352654,"Tier 2 (Top 20%)"
74,"Kukawa",10643,64.3953331444437,"Tier 2 (Top 20%)"
75,"Obi",10552,64.8462750497758,"Tier 2 (Top 20%)"
76,"Gwagwalada",10336,65.2879861503741,"Tier 2 (Top 20%)"
77,"Abaji",10113,65.7201672997888,"Tier 2 (Top 20%)"
78,"Riyom",9761,66.1373056563038,"Tier 2 (Top 20%)"
79,"Langtang North",9660,66.5501277569016,"Tier 2 (Top 20%)"
80,"Nganzai",9653,66.9626507110497,"Tier 2 (Top 20%)"
81,"Wamba",9605,67.373122375257,"Tier 2 (Top 20%)"
82,"Wushishi",9599,67.7833376282216,"Tier 2 (Top 20%)"
83,"Guma",9471,68.1880827746773,"Tier 2 (Top 20%)"
84,"Bwari",9275,68.5844518205412,"Tier 2 (Top 20%)"
85,"Kogi",9227,68.9787695764642,"Tier 2 (Top 20%)"
86,"Kaura",9119,69.3684719300202,"Tier 2 (Top 20%)"
87,"Maiha",8668,69.7389007051737,"Tier 2 (Top 20%)"
88,"Monguno",8657,70.108859393049,"Tier 2 (Top 20%)"
89,"Ajaokuta",8626,70.4774932895041,"Tier 2 (Top 20%)"
90,"Kebbe",8515,70.841383577971,"Tier 2 (Top 20%)"
91,"Jos East",8367,71.198949055787,"Tier 2 (Top 20%)"
92,"Mikang",8154,71.5474119344903,"Tier 2 (Top 20%)"
93,"Ganjuwa",7613,71.872755066152,"Tier 2 (Top 20%)"
94,"Ngaski",7499,72.193226384204,"Tier 2 (Top 20%)"
95,"Akwanga",7377,72.5084840069898,"Tier 2 (Top 20%)"
96,"Dandi",7364,72.8231860720832,"Tier 2 (Top 20%)"
97,"Asa",7266,73.1337000868807,"Tier 2 (Top 20%)"
98,"Donga",7201,73.4414363132166,"Tier 2 (Top 20%)"
99,"Ori-Ire",6941,73.7380613857062,"Tier 2 (Top 20%)"
100,"Gurara",6873,74.0317804641129,"Tier 2 (Top 20%)"
101,"Shanga",6855,74.3247303087918,"Tier 2 (Top 20%)"
102,"Dekina",6763,74.6137485144174,"Tier 2 (Top 20%)"
103,"Kontagora",6728,74.9012709877944,"Tier 2 (Top 20%)"
104,"Keana",6701,75.1876396105797,"Tier 2 (Top 20%)"
105,"Shomgom",6672,75.4727689123591,"Tier 2 (Top 20%)"
106,"Ibarapa North",6528,75.7517443443159,"Tier 2 (Top 20%)"
107,"Igalamela-Odolu",6418,76.0260189034915,"Tier 2 (Top 20%)"
108,"Iseyin",6407,76.299823375389,"Tier 2 (Top 20%)"
109,"Ibaji",6085,76.5598671106,"Tier 2 (Top 20%)"
110,"Sardauna",6045,76.8182014375269,"Tier 2 (Top 20%)"
111,"Agwara",6024,77.0756383251047,"Tier 2 (Top 20%)"
112,"Fakai",6007,77.3323487141617,"Tier 2 (Top 20%)"
113,"Barkin Ladi",5999,77.588717221562,"Tier 2 (Top 20%)"
114,"Edati",5971,77.8438891431634,"Tier 2 (Top 20%)"
115,"Kwami",5897,78.0958986594393,"Tier 3 (Top 50%)"
116,"Omala",5723,78.3404722496796,"Tier 3 (Top 50%)"
117,"Adavi",5722,78.5850031047128,"Tier 3 (Top 50%)"
118,"Ardo-Kola",5671,78.8273544641838,"Tier 3 (Top 50%)"
119,"Jaba",5611,79.0671417112288,"Tier 3 (Top 50%)"
120,"Yagba West",5595,79.3062451949602,"Tier 3 (Top 50%)"
121,"Atisbo",5580,79.544707650585,"Tier 3 (Top 50%)"
122,"Saki West",5448,79.7775290588725,"Tier 3 (Top 50%)"
123,"Tangaza",5433,80.0097094390534,"Tier 3 (Top 50%)"
124,"Yagba East",5394,80.2402231461574,"Tier 3 (Top 50%)"
125,"Gwer East",5338,80.4683436816637,"Tier 3 (Top 50%)"
126,"Sakaba",5320,80.6956949834423,"Tier 3 (Top 50%)"
127,"Ibarapa East",5307,80.9224907275284,"Tier 3 (Top 50%)"
128,"Ofu",5267,81.1475770633306,"Tier 3 (Top 50%)"
129,"Gummi",5239,81.3714668133339,"Tier 3 (Top 50%)"
130,"Borsari",5140,81.5911257778342,"Tier 3 (Top 50%)"
131,"Geidam",5127,81.8102291846422,"Tier 3 (Top 50%)"
132,"Hong",5124,82.0292043858288,"Tier 3 (Top 50%)"
133,"Langtang South",5053,82.2451453873113,"Tier 3 (Top 50%)"
134,"Dass",4960,82.4571120145334,"Tier 3 (Top 50%)"
135,"Ganye",4832,82.6636085352465,"Tier 3 (Top 50%)"
136,"Kajuru",4761,82.8670708562554,"Tier 3 (Top 50%)"
137,"Yunusari",4746,83.0698921491578,"Tier 3 (Top 50%)"
138,"Saki East",4672,83.2695510367348,"Tier 3 (Top 50%)"
139,"Kauru",4670,83.4691244538975,"Tier 3 (Top 50%)"
140,"Lau",4633,83.6671166683974,"Tier 3 (Top 50%)"
141,"Iwajowa",4612,83.8642114435483,"Tier 3 (Top 50%)"
142,"Gusau",4370,84.0509642985806,"Tier 3 (Top 50%)"
143,"Itesiwaju",4314,84.2353239820153,"Tier 3 (Top 50%)"
144,"Agatu",4308,84.4194272542074,"Tier 3 (Top 50%)"
145,"Anka",4179,84.5980176846834,"Tier 3 (Top 50%)"
146,"Takum",4155,84.775582470189,"Tier 3 (Top 50%)"
147,"Suru",4138,84.9524207571739,"Tier 3 (Top 50%)"
148,"Yewa North",4075,85.1265667261113,"Tier 3 (Top 50%)"
149,"Katsina-Ala",4037,85.299088757179,"Tier 3 (Top 50%)"
150,"Shelleng",3964,85.4684911181282,"Tier 3 (Top 50%)"
151,"Gboko",3957,85.6375943326278,"Tier 3 (Top 50%)"
152,"Okehi",3934,85.805714637364,"Tier 3 (Top 50%)"
153,"Teungo",3930,85.9736640012718,"Tier 3 (Top 50%)"
154,"Ankpa",3916,86.1410150722802,"Tier 3 (Top 50%)"
155,"Gombi",3854,86.3057165604483,"Tier 3 (Top 50%)"
156,"Bukkuyum",3841,86.4698624909241,"Tier 3 (Top 50%)"
157,"Atiba",3837,86.6338374805715,"Tier 3 (Top 50%)"
158,"Gubio",3695,86.7917440708105,"Tier 3 (Top 50%)"
159,"Tarmuwa",3528,86.9425138814636,"Tier 3 (Top 50%)"
160,"Logo",3437,87.0893947882706,"Tier 3 (Top 50%)"
161,"Koko/Besse",3424,87.2357201373851,"Tier 3 (Top 50%)"
162,"Jos North",3386,87.3804215486299,"Tier 3 (Top 50%)"
163,"Bukuru",3338,87.5230716699338,"Tier 3 (Top 50%)"
164,"Gwer West",3338,87.6657217912377,"Tier 3 (Top 50%)"
165,"Lamurde",3273,87.80559412408,"Tier 3 (Top 50%)"
166,"Ussa",3251,87.944526282366,"Tier 3 (Top 50%)"
167,"Billiri",3244,88.0831592942024,"Tier 3 (Top 50%)"
168,"Yauri",3230,88.2211940131394,"Tier 3 (Top 50%)"
169,"Olamaboro",3221,88.3588441152124,"Tier 3 (Top 50%)"
170,"Hawul",3218,88.4963660116642,"Tier 3 (Top 50%)"
171,"Ibarapa Central",3200,88.6331186743881,"Tier 3 (Top 50%)"
172,"Ningi",3068,88.7642302897746,"Tier 3 (Top 50%)"
173,"Ilorin East",2984,88.8917521477647,"Tier 3 (Top 50%)"
174,"Imeko-Afon",2926,89.0167953637429,"Tier 3 (Top 50%)"
175,"Soba",2849,89.1385479687742,"Tier 3 (Top 50%)"
176,"Kwande",2830,89.2594886048707,"Tier 3 (Top 50%)"
177,"Gashaka",2815,89.3797882128606,"Tier 3 (Top 50%)"
178,"Surulere",2787,89.4988912350518,"Tier 3 (Top 50%)"
179,"Jada",2781,89.6177378460003,"Tier 3 (Top 50%)"
180,"Lake Chad",2725,89.7341912853511,"Tier 3 (Top 50%)"
181,"Igabi",2714,89.8501746374238,"Tier 3 (Top 50%)"
182,"Ukum",2681,89.9647477276622,"Tier 3 (Top 50%)"
183,"Bogoro",2593,90.0755601196757,"Tier 3 (Top 50%)"
184,"Makurdi",2558,90.1848767794406,"Tier 3 (Top 50%)"
185,"Otukpo",2557,90.2941507039984,"Tier 3 (Top 50%)"
186,"Ido",2481,90.4001767528166,"Tier 3 (Top 50%)"
187,"Ijumu",2468,90.5056472439424,"Tier 3 (Top 50%)"
188,"Olorunsogo",2431,90.6095365324055,"Tier 3 (Top 50%)"
189,"Konshisha",2382,90.7113317957206,"Tier 3 (Top 50%)"
190,"Mopa-Muro",2380,90.8130415886215,"Tier 3 (Top 50%)"
191,"Abeokuta North",2361,90.9139394125875,"Tier 3 (Top 50%)"
192,"Magumeri",2345,91.0141534732399,"Tier 3 (Top 50%)"
193,"Irepo",2327,91.1135983001644,"Tier 3 (Top 50%)"
194,"Odeda",2315,91.2125303046037,"Tier 3 (Top 50%)"
195,"Dambatta",2287,91.3102657232442,"Tier 3 (Top 50%)"
196,"Ado Odo/Ota",2285,91.4079156714705,"Tier 3 (Top 50%)"
197,"Ipokia",2266,91.5047536507619,"Tier 3 (Top 50%)"
198,"Apa",2204,91.598942047213,"Tier 3 (Top 50%)"
199,"Akoko-Edo",2167,91.6915492410014,"Tier 3 (Top 50%)"
200,"Irepodun",2167,91.7841564347897,"Tier 3 (Top 50%)"
201,"Zuru",2115,91.8745413978088,"Tier 3 (Top 50%)"
202,"Kajola",2093,91.9639861862717,"Tier 3 (Top 50%)"
203,"Demsa",2053,92.0517215664505,"Tier 3 (Top 50%)"
204,"Funakaye",2020,92.1380466847949,"Tier 3 (Top 50%)"
205,"Okene",2015,92.2241581271039,"Tier 3 (Top 50%)"
206,"Izzi",1999,92.3095858060993,"Tier 3 (Top 50%)"
207,"Yorro",1999,92.3950134850946,"Tier 3 (Top 50%)"
208,"Orelope",1978,92.4795437247408,"Tier 3 (Top 50%)"
209,"Oyo West",1932,92.5621081448604,"Tier 3 (Top 50%)"
210,"Gada",1927,92.6444588889444,"Tier 3 (Top 50%)"
211,"Kurmi",1913,92.7262113401291,"Tier 3 (Top 50%)"
212,"Ushongo",1837,92.804715915574,"Tier 3 (Top 50%)"
213,"Oju",1824,92.8826649333267,"Tier 3 (Top 50%)"
214,"Etsako East",1764,92.9580498386532,"Tier 3 (Top 50%)"
215,"Numan",1753,93.0329646567017,"Tier 3 (Top 50%)"
216,"Uzo-Uwani",1745,93.1075375930933,"Tier 3 (Top 50%)"
217,"Vande Ikya",1715,93.1808284732719,"Tier 3 (Top 50%)"
218,"Ijebu East",1711,93.2539484126221,"Tier 3 (Top 50%)"
219,"Ekiti",1704,93.3267692055226,"Tier 3 (Top 50%)"
220,"Orhionmwon",1686,93.3988207646952,"Tier 3 (Top 50%)"
221,"Jos South",1662,93.4698466788975,"Tier 3 (Top 50%)"
222,"Oyun",1655,93.54057344665,"Tier 3 (Top 50%)"
223,"Etsako Central",1621,93.6098472173611,"Tier 3 (Top 50%)"
224,"Afijio",1608,93.6785654303799,"Tier 3 (Top 50%)"
225,"Maiyama",1597,93.7468135561205,"Tier 3 (Top 50%)"
226,"Yola South",1574,93.8140787720978,"Tier 3 (Top 50%)"
227,"Isin",1553,93.880446548726,"Tier 3 (Top 50%)"
228,"Ado",1512,93.9450621818631,"Tier 3 (Top 50%)"
229,"Illela",1508,94.0095068741717,"Tier 3 (Top 50%)"
230,"Mai'Adua",1489,94.0731395975455,"Tier 3 (Top 50%)"
231,"Obafemi-Owode",1466,94.1357894111559,"Tier 3 (Top 50%)"
232,"Ishielu",1455,94.1979691374881,"Tier 3 (Top 50%)"
233,"Udi",1402,94.257883897844,"Tier 3 (Top 50%)"
234,"Anambra West",1395,94.3174995117503,"Tier 3 (Top 50%)"
235,"Bayo",1392,94.3769869200352,"Tier 3 (Top 50%)"
236,"Owan East",1388,94.4363033874917,"Tier 3 (Top 50%)"
237,"Gulani",1385,94.4954916493269,"Tier 3 (Top 50%)"
238,"Mayo-Belwa",1385,94.554679911162,"Tier 3 (Top 50%)"
239,"Askira/Uba",1377,94.6135262913404,"Tier 3 (Top 50%)"
240,"Oluyole",1348,94.6711333505129,"Tier 3 (Top 50%)"
241,"Abakaliki",1330,94.7279711759575,"Tier 3 (Top 50%)"
242,"Aiyedade",1325,94.7845953253666,"Tier 3 (Top 50%)"
243,"Biu",1305,94.8403647706337,"Tier 3 (Top 50%)"
244,"Ifo",1300,94.8959205398653,"Tier 3 (Top 50%)"
245,"Ndokwa East",1299,94.9514335738898,"Tier 3 (Top 50%)"
246,"Etsako West",1293,95.0066901966717,"Tier 3 (Top 50%)"
247,"Suleja",1286,95.0616476730039,"Tier 3 (Top 50%)"
248,"Isi-Uzo",1238,95.1145538593952,"Tier 3 (Top 50%)"
249,"Shagamu",1234,95.1672891049581,"Tier 3 (Top 50%)"
250,"Ogo Oluwa",1222,95.2195115280358,"Tier 3 (Top 50%)"
251,"Oke-Ero",1210,95.2712211286283,"Tier 3 (Top 50%)"
252,"Warri North",1203,95.322631582771,"Tier 3 (Top 50%)"
253,"Goronyo",1197,95.3737856256712,"Tier 3 (Top 50%)"
254,"Guyuk",1193,95.424768727743,"Tier 3 (Top 50%)"
255,"Akinyele",1181,95.4752390073295,"Tier 3 (Top 50%)"
256,"Shani",1170,95.525239199638,"Tier 3 (Top 50%)"
257,"Keffi",1155,95.5745983638399,"Tier 3 (Top 50%)"
258,"Okpokwu",1154,95.6239147928347,"Tier 3 (Top 50%)"
259,"Zango",1153,95.6731884866224,"Tier 3 (Top 50%)"
260,"Burutu",1139,95.7218638875107,"Tier 3 (Top 50%)"
261,"Ayamelum",1124,95.7698982602925,"Tier 3 (Top 50%)"
262,"Nguru",1109,95.8172916049677,"Tier 3 (Top 50%)"
263,"Ovia North-East",1108,95.8646422144359,"Tier 3 (Top 50%)"
264,"Tafa",1097,95.9115227366259,"Tier 3 (Top 50%)"
265,"Ogbomosho North",1095,95.9583177884017,"Tier 3 (Top 50%)"
266,"Yala",1094,96.0050701049705,"Tier 3 (Top 50%)"
267,"Yusufari",1089,96.0516087455037,"Tier 3 (Top 50%)"
268,"Ebonyi",1086,96.0980191804156,"Tier 3 (Top 50%)"
269,"Ohimini",1083,96.1443014097063,"Tier 3 (Top 50%)"
270,"Ewekoro",1067,96.1898998756833,"Tier 3 (Top 50%)"
271,"Nkanu East",1059,96.2351564600035,"Tier 3 (Top 50%)"
272,"Esan South-East",1046,96.2798574866314,"Tier 3 (Top 50%)"
273,"Lere",1045,96.3245157780521,"Tier 3 (Top 50%)"
274,"Ohaukwu",1032,96.3686185117806,"Tier 3 (Top 50%)"
275,"Jega",1028,96.4125503046807,"Tier 3 (Top 50%)"
276,"Ife North",1018,96.4560547455097,"Tier 3 (Top 50%)"
277,"Uhunmwonde",985,96.4981489245044,"Tier 3 (Top 50%)"
278,"Yewa South",984,96.540200368292,"Tier 3 (Top 50%)"
279,"Ilorin South",982,96.5821663416654,"Tier 3 (Top 50%)"
280,"Warri South-West",982,96.6241323150388,"Tier 3 (Top 50%)"
281,"Ikpoba-Okha",947,96.6646025561637,"Tier 3 (Top 50%)"
282,"Guri",942,96.704859121253,"Tier 3 (Top 50%)"
283,"Nsukka",933,96.7447310694785,"Tier 3 (Top 50%)"
284,"Ezeagu",910,96.7836201079406,"Tier 3 (Top 50%)"
285,"Ilorin West",906,96.8223382055743,"Lower Priority"
286,"Rabah",891,96.8604152751015,"Lower Priority"
287,"Odogbolu",890,96.8984496094216,"Lower Priority"
288,"Ovia South-West",858,96.9351164171144,"Lower Priority"
289,"Bunza",853,96.9715695487718,"Lower Priority"
290,"Ijebu North",844,97.0076380635652,"Lower Priority"
291,"Gwadabawa",836,97.0433646967018,"Lower Priority"
292,"Tarka",811,97.0780229496609,"Lower Priority"
293,"Gujba",776,97.1111854703715,"Lower Priority"
294,"Igbo-Etiti",768,97.1440061094252,"Lower Priority"
295,"Egbeda",749,97.176014779544,"Lower Priority"
296,"Kubau",736,97.2074678919705,"Lower Priority"
297,"Iwo",728,97.2385791227402,"Lower Priority"
298,"Egbedore",727,97.2696476183028,"Lower Priority"
299,"Ughelli South",727,97.3007161138654,"Lower Priority"
300,"Daura",713,97.3311863165286,"Lower Priority"
301,"Kwaya Kusar",707,97.3614001079491,"Lower Priority"
302,"Bakura",706,97.3915711641626,"Lower Priority"
303,"Chanchaga",703,97.4216140147548,"Lower Priority"
304,"Ikole",697,97.4514004541043,"Lower Priority"
305,"Awka North",696,97.4811441582468,"Lower Priority"
306,"Ezza North",695,97.5108451271821,"Lower Priority"
307,"Ndokwa West",684,97.5400760088393,"Lower Priority"
308,"Zaki",679,97.5690932144611,"Lower Priority"
309,"Ikwo",674,97.5978967440473,"Lower Priority"
310,"Anambra East",672,97.6266148032193,"Lower Priority"
311,"Ogun Waterside",652,97.6544781582493,"Lower Priority"
312,"Aniocha South",650,97.6822560428651,"Lower Priority"
313,"Ife South",650,97.7100339274809,"Lower Priority"
314,"Arewa Dandi",647,97.7376836064754,"Lower Priority"
315,"Onicha",644,97.7652050798486,"Lower Priority"
316,"Isoko South",642,97.7926410828076,"Lower Priority"
317,"Ejigbo",636,97.819820674524,"Lower Priority"
318,"Ogbadibo",635,97.8469575310332,"Lower Priority"
319,"Ihiala",631,97.8739234467141,"Lower Priority"
320,"Ohaozara",622,97.9005047455311,"Lower Priority"
321,"Ivo",615,97.9267868978983,"Lower Priority"
322,"Babura",604,97.9525989629875,"Lower Priority"
323,"Ika North-East",590,97.9778127351772,"Lower Priority"
324,"Birnin Kebbi",566,98.0020008623965,"Lower Priority"
325,"Badagry",565,98.0261462544087,"Lower Priority"
326,"Jalingo",564,98.0502489112138,"Lower Priority"
327,"Ika South",557,98.0740524215691,"Lower Priority"
328,"Kura",551,98.0975995206819,"Lower Priority"
329,"Ethiope West",550,98.1211038845876,"Lower Priority"
330,"Obokun",548,98.144522778079,"Lower Priority"
331,"Ughelli North",548,98.1679416715705,"Lower Priority"
332,"Ila",547,98.1913178298549,"Lower Priority"
333,"Awgu",536,98.2142239008612,"Lower Priority"
334,"Oriade",515,98.2362325325183,"Lower Priority"
335,"Ezza South",513,98.2581556937612,"Lower Priority"
336,"Ola Oluwa",511,98.2799933845899,"Lower Priority"
337,"Esan North-East",505,98.3015746641761,"Lower Priority"
338,"Okpe",501,98.3229850029338,"Lower Priority"
339,"Enugu East",500,98.3443526064844,"Lower Priority"
340,"Ilaje",484,98.3650364467214,"Lower Priority"
341,"Mashi",482,98.3856348165442,"Lower Priority"
342,"Epe",479,98.4061049807457,"Lower Priority"
343,"Odigbo",472,98.4262759984974,"Lower Priority"
344,"Enugu North",460,98.445934193764,"Lower Priority"
345,"Wurno",455,98.4653787129951,"Lower Priority"
346,"Udu",443,98.4843104097409,"Lower Priority"
347,"Atakumosa West",441,98.5031566360725,"Lower Priority"
348,"Aninri",438,98.5218746567829,"Lower Priority"
349,"Ohaji/Egbema",437,98.5405499422861,"Lower Priority"
350,"Ethiope East",424,98.558669670097,"Lower Priority"
351,"Warri South",414,98.5763620458369,"Lower Priority"
352,"Ikorodu",411,98.5939262159555,"Lower Priority"
353,"Oshimili South",410,98.611447650867,"Lower Priority"
354,"Idanre",406,98.6287981449501,"Lower Priority"
355,"Oshimili North",400,98.6458922277906,"Lower Priority"
356,"Atakumosa East",399,98.662943575424,"Lower Priority"
357,"Idah",396,98.6798667174361,"Lower Priority"
358,"Akoko North-East",388,98.6964479777914,"Lower Priority"
359,"Orumba North",388,98.7130292381466,"Lower Priority"
360,"Owan West",386,98.7295250280877,"Lower Priority"
361,"Lagelu",379,98.7457216715791,"Lower Priority"
362,"Irewole",377,98.7618328446562,"Lower Priority"
363,"Ede North",374,98.7778158121121,"Lower Priority"
364,"Ose",369,98.7935851035325,"Lower Priority"
365,"Nkanu West",363,98.8090979837102,"Lower Priority"
366,"Offa",360,98.8244826582666,"Lower Priority"
367,"Sabon Birni",353,98.8395681863734,"Lower Priority"
368,"Awka South",350,98.8545255088588,"Lower Priority"
369,"Obubra",336,98.8688845384448,"Lower Priority"
370,"Ogori/Magongo",335,98.8832008328237,"Lower Priority"
371,"Sapele",335,98.8975171272026,"Lower Priority"
372,"Boripe",332,98.9117052159602,"Lower Priority"
373,"Nnewi North",332,98.9258933047178,"Lower Priority"
374,"Aniocha North",326,98.9398249822328,"Lower Priority"
375,"Njikoka",320,98.9535002485052,"Lower Priority"
376,"Ibeju-Lekki",316,98.9670045739492,"Lower Priority"
377,"Ogoja",308,98.9801670177364,"Lower Priority"
378,"Odo-Otin",307,98.9932867263165,"Lower Priority"
379,"Oyo East",302,99.006192758861,"Lower Priority"
380,"Ese-Odo",290,99.0185859689204,"Lower Priority"
381,"Esan Central",288,99.0308937085655,"Lower Priority"
382,"Ojo",288,99.0432014482107,"Lower Priority"
383,"Umu Nneochi",286,99.0554237174416,"Lower Priority"
384,"Isoko North",285,99.0676032514655,"Lower Priority"
385,"Mbatoli",284,99.0797400502823,"Lower Priority"
386,"Oye",283,99.0918341138919,"Lower Priority"
387,"Abeokuta South",282,99.1038854422944,"Lower Priority"
388,"Ngor-Okpala",277,99.1157230946615,"Lower Priority"
389,"Kalgo",272,99.127347070993,"Lower Priority"
390,"Eti-Osa",265,99.1386719008748,"Lower Priority"
391,"Igbo-eze South",263,99.1499112603424,"Lower Priority"
392,"Esan West",258,99.1609369437746,"Lower Priority"
393,"Ikenne",257,99.1719198919996,"Lower Priority"
394,"Ondo West",257,99.1829028402246,"Lower Priority"
395,"Owo",257,99.1938857884496,"Lower Priority"
396,"Abi",256,99.2048260014675,"Lower Priority"
397,"Igbo-eze North",256,99.2157662144854,"Lower Priority"
398,"Ona Ara",256,99.2267064275034,"Lower Priority"
399,"Ogbaru",251,99.2374329644858,"Lower Priority"
400,"Ukwuani",251,99.2481595014682,"Lower Priority"
401,"Udenu",249,99.2588005680364,"Lower Priority"
402,"Ede South",244,99.2692279585691,"Lower Priority"
403,"Boluwaduro",239,99.2794416730663,"Lower Priority"
404,"Afikpo North",230,99.2892707706995,"Lower Priority"
405,"Ijebu North-East",225,99.2988861922973,"Lower Priority"
406,"Ekeremor",222,99.3083734082738,"Lower Priority"
407,"Okitipupa",218,99.3176896834219,"Lower Priority"
408,"Ibadan South-West",217,99.3269632233628,"Lower Priority"
409,"Idemili North",215,99.3361512928896,"Lower Priority"
410,"Ikot Abasi",213,99.3452538920021,"Lower Priority"
411,"Obanliku",213,99.3543564911147,"Lower Priority"
412,"Ijebu-Ode",212,99.3634163550202,"Lower Priority"
413,"Obi Ngwa",211,99.3724334837185,"Lower Priority"
414,"Ikom",208,99.3813224067956,"Lower Priority"
415,"Southern Ijaw",202,99.38995491863,"Lower Priority"
416,"Akoko North-West",201,99.3985446952574,"Lower Priority"
417,"Ayedire",200,99.4070917366776,"Lower Priority"
418,"Irele",200,99.4156387780979,"Lower Priority"
