"state","mean_value_mean","mean_cattle_mean","data_uncertainty_lower","data_uncertainty_upper","data_uncertainty_width","model_uncertainty_lower","model_uncertainty_upper","model_uncertainty_width","uncertainty_ratio"
"Batsari",0.096,2736,1166,4516,3351,2175,3390,1215,2.76
"Bauchi",0.337,48387,41474,55486,14012,45349,51501,6152,2.28
"Baure",0.167,7327,4189,10729,6540,4624,10822,6197,1.06
"Bayo",0.37,8102,6554,9815,3261,7412,8811,1399,2.33
"Bebeji",0.252,4733,3781,5783,2002,4284,5192,908,2.2
"Bekwarra",0.24,148,123,176,53,137,160,23,2.3
"Bende",0.241,163,118,209,91,146,182,36,2.53
"Biase",0.227,104,68,143,75,89,122,32,2.34
"Bichi",0.209,3027,2209,3872,1663,2634,3432,798,2.08
"Billiri",0.266,9596,6845,12326,5481,8765,10463,1698,3.23
"Bindawa",0.126,1813,1101,2552,1451,1545,2110,565,2.57
"Binji",0.043,828,129,2221,2092,528,1240,711,2.94
"Biriniwa",0.126,11176,4156,22316,18160,7038,16608,9570,1.9
"Birnin Gwari",0.208,36518,28881,45683,16802,32725,40548,7824,2.15
"Birnin Kebbi",0.085,4047,1246,8877,7631,2543,6064,3521,2.17
"Birnin Kudu",0.263,11045,8383,13646,5264,9998,12142,2145,2.45
"Birnin-Magaji/Kiyaw",0.106,5006,1918,8597,6680,3926,6271,2345,2.85
"Biu",0.343,26478,20162,33293,13131,23840,29214,5374,2.44
"Bodinga",0.053,787,139,2007,1868,532,1120,588,3.18
"Bogoro",0.356,11856,9903,13766,3863,11056,12674,1618,2.39
"Boki",0.162,169,110,245,135,146,193,48,2.81
"Bokkos",0.335,26499,22566,30784,8218,24547,28510,3962,2.07
"Boluwaduro",0.318,239,192,295,103,220,258,38,2.71
"Bomadi",0.526,147,23,260,237,68,224,156,1.52
"Bonny",0.462,27,0,75,75,17,36,19,3.95
"Borgu",0.162,23204,16163,32739,16575,18714,28335,9621,1.72
"Boripe",0.335,332,275,399,124,310,354,44,2.82
"Borsari",0.142,22240,4302,58892,54589,11374,37764,26390,2.07
"Bosso",0.242,11819,9576,14322,4746,10753,12936,2184,2.17
"Brass",0.463,104,7,304,297,55,154,99,3
"Buji",0.266,5817,4115,7642,3527,5112,6572,1460,2.42
"Bukkuyum",0.077,7523,2332,15434,13102,5584,9895,4311,3.04
"Bukuru",0.237,3338,2676,4019,1343,3015,3683,668,2.01
"Bungudu",0.092,6147,2233,11127,8894,4782,7761,2979,2.99
"Bunkure",0.247,3716,2830,4677,1847,3341,4111,770,2.4
"Bunza",0.104,2905,920,6664,5745,1652,4660,3008,1.91
"Burutu",0.55,1172,166,2401,2235,634,1659,1025,2.18
"Bwari",0.338,9275,7633,10867,3234,8445,10134,1689,1.91
"Calabar",0.234,31,17,47,30,25,38,13,2.31
"Calabar South",0.434,9,0,27,27,7,12,5,5.4
"Chanchaga",0.188,703,550,903,353,633,778,145,2.43
"Charanchi",0.132,1860,1127,2549,1422,1585,2163,579,2.46
"Chibok",0.437,17098,13658,21252,7594,15506,18699,3194,2.38
"Chikun",0.266,38740,32735,44928,12193,35680,41946,6266,1.95
"Damaturu",0.217,13868,7810,21876,14066,10755,17403,6648,2.12
"Damban",0.252,11133,6811,15414,8603,9862,12484,2622,3.28
"Dambatta",0.204,6059,4005,8564,4559,5145,7066,1921,2.37
"Damboa",0.505,71099,58718,83959,25242,62395,79097,16702,1.51
"Dandi",0.124,9712,3257,22111,18854,5516,15546,10030,1.88
"Dandume",0.15,2674,2069,3437,1368,2434,2928,494,2.77
"Dange-Shuni",0.061,2842,428,7647,7220,1856,4150,2295,3.15
"Danja",0.173,2978,2396,3773,1377,2740,3227,486,2.83
"Danko Wasagu",0.089,12040,5728,19766,14038,9623,14844,5221,2.69
"Danmusa",0.138,3286,2020,4576,2556,2807,3815,1008,2.54
"Darazo",0.299,28217,20882,35121,14240,25701,30837,5136,2.77
"Dass",0.338,7399,6235,8584,2350,6923,7888,965,2.44
"Daura",0.152,2044,1285,2885,1600,1012,3569,2558,0.63
"Dawakin Kudu",0.236,2031,1520,2573,1053,1812,2263,451,2.33
"Dawakin Tofa",0.192,2969,2213,3835,1622,2644,3315,670,2.42
"Degema",0.453,47,0,127,127,26,69,44,2.89
"Dekina",0.332,6763,4792,9186,4394,6135,7416,1281,3.43
"Demsa",0.171,10553,7561,14088,6527,9046,12281,3235,2.02
"Dikwa",0.975,44792,41982,45775,3793,43015,45606,2591,1.46
"Doguwa",0.317,11416,9450,13609,4159,10562,12296,1734,2.4
"Doma",0.386,16936,13883,20217,6334,15674,18259,2584,2.45
"Donga",0.12,7201,5099,9655,4557,6164,8350,2187,2.08
"Dukku",0.307,40617,31321,49929,18608,37036,44363,7328,2.54
"Dutse",0.238,8326,6004,10688,4684,7420,9286,1865,2.51
"Dutsi",0.16,1957,1221,2786,1565,1246,2878,1632,0.96
"Dutsinma",0.128,2686,1614,3856,2242,2289,3123,834,2.69
"Eastern Obolo",0.418,31,8,58,50,17,46,29,1.72
"Ebonyi",0.326,1086,874,1310,436,997,1179,182,2.4
"Edati",0.304,5971,4639,7337,2698,5459,6501,1042,2.59
"Ede North",0.322,374,308,443,135,347,401,54,2.5
"Ede South",0.292,244,184,315,131,221,267,46,2.85
"Edu",0.285,14143,11747,16765,5018,12997,15327,2330,2.15
"Efon",0.339,51,40,64,24,47,54,8,3
"Egbeda",0.469,749,618,871,253,694,804,110,2.3
"Egbedore",0.308,727,579,907,328,669,787,118,2.78
"Egor",0.532,88,54,120,66,69,106,37,1.78
"Ehime-Mbano",0.286,76,54,99,45,69,83,14,3.21
"Ejigbo",0.268,636,502,796,294,580,696,116,2.53
"Ekeremor",0.512,222,32,497,465,107,333,226,2.06
"Eket",0.362,45,15,82,67,29,63,34,1.97
"Ekiti",0.409,1704,1369,2075,706,1586,1823,237,2.98
"Ekiti East",0.337,124,85,172,87,112,136,24,3.62
"Ekiti South-West",0.353,35,27,44,17,32,38,6,2.83
"Ekiti West",0.331,134,104,170,66,123,145,22,3
"Eleme",0.379,26,6,51,45,13,41,29,1.55
"Emuoha",0.344,47,10,99,89,22,78,55,1.62
"Emure/Ise/Orun",0.403,64,50,80,30,59,69,10,3
"Enugu East",0.301,500,408,604,196,464,536,72,2.72
"Enugu North",0.284,460,321,621,300,412,510,98,3.06
"Enugu South",0.249,121,90,160,70,110,134,24,2.92
"Epe",0.774,479,389,551,162,432,522,89,1.82
"Esan Central",0.418,288,242,335,93,270,307,36,2.58
"Esan North-East",0.417,505,426,586,160,472,538,66,2.42
"Esan South-East",0.413,1046,869,1217,348,968,1127,158,2.2
"Esan West",0.414,258,210,309,99,240,275,35,2.83
"Ese-Odo",0.58,290,104,447,343,177,393,216,1.59
