"region","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Ab Ala",0.0389911564064359,1703,0.012042931185791,554,0.0937230352666674,3964
"Ababo",0.409054187483967,27353,0.397445223929053,26634,0.420740114779507,28077
"Abay Chomen",0.389619528801528,19047,0.37987084688229,18618,0.399435529031801,19480
"Abaya",0.359715929223566,19299,0.349084996497573,18688,0.370452278769128,19918
"Abe Dongoro",0.347690481304179,18805,0.33911782579547,18344,0.356338314477044,19270
"Abergele",0.275830576324879,20927,0.238267588953537,18150,0.316380689677329,23920
"Abeshege",0.401581150831048,26217,0.392379657476975,25634,0.410834582677937,26804
"Abichuna Gne'a",0.546672671100391,83028,0.52206236698882,79280,0.571116082137365,86752
"Abobo",0.281743435629897,2457,0.264035541759507,2369,0.300746104191506,2547
"Abuna G/Beret",0.442531858441081,77283,0.428447641183809,74891,0.456682708346424,79687
"Ada'a",0.444692012605926,64206,0.427406464350782,61692,0.462093639615356,66739
"Adaa'r",0.466167255902915,41241,0.367192389817044,33983,0.568853444961838,48701
"Adaba",0.307082794293876,49495,0.285934412023276,46288,0.328839675908406,52795
"Adadle",0.397522547672046,0,4.12120823838037e-05,0,0.999486263252102,0
"Adama",0.421914267944863,48887,0.404888108037845,46899,0.439080156628096,50892
"Adami Tulu Jido Kombolcha",0.369479775029693,44950,0.355561858973079,43161,0.383576905449238,46767
"Adda Berga",0.487976576533089,76125,0.471036621924266,73499,0.504936890523484,78755
"Addi Arekay",0.299371345292258,28524,0.277681039839453,26459,0.321757376776815,30656
"Adola",0.31140443355411,46551,0.290984586212239,43443,0.332333943152946,49740
"Adwa",0.0197438972402286,2139,0.00157921469752688,166,0.0870872412122169,9500
"Afambo",0.221905970675776,1901,0.00238722325114518,28,0.863600027453069,8795
"Afdem",0.474549304005285,0,0.0244729753273792,0,0.968376191455484,0
"Afder",0.467020353475984,0,0.000507202878000241,0,0.999337481600173,0
"Afdera",0.0101078564805364,99,0.00135238401266659,14,0.0371911340012747,353
"Afele Kola",0.310751844272256,29840,0.296413714184097,28446,0.325364893912811,31261
"Agalometi",0.318929030720265,3818,0.308599213560793,3704,0.329391136134255,3934
"Agarfa",0.302688737260006,46492,0.282354662847662,43285,0.323622737530303,49798
"Ahferom",0.012034903171586,1313,0.000456561666531927,58,0.069952137890139,7331
"Akaki",0.464792492796226,41564,0.447283339349444,39985,0.482370937310696,43150
"Akaki - Kalit",0.424123522920617,7951,0.405579804971056,7603,0.442827850311095,8301
"Akobo",0.00621520376981712,146,0.00177887301384628,42,0.0158013640960941,369
"Alaba",0.334673240501418,55810,0.32280258577795,53820,0.346700044963625,57827
"Alaje",0.153477075883176,13068,0.0995347949488848,8402,0.222666963997533,19083
"Alamata",0.301393306919226,38137,0.253525330351705,31763,0.354301935280843,45219
"Albuko",0.578854498280616,61878,0.545057224056176,58252,0.612118107743063,65447
"Ale",0.293101180159498,16100,0.284996549864654,15662,0.301307236029807,16543
"Aleltu",0.504556129008298,30227,0.483703506347995,28976,0.525400001342085,31479
"Alem Gena",0.472639112581151,73772,0.457178896134488,71350,0.488139775839841,76199
"Aleta Wendo",0.250616977818116,28393,0.237473634632325,26897,0.264110876542075,29930
"Alfa",0.322204134189034,49955,0.30838444254523,47965,0.336291618339375,51982
"Alge Sachi",0.314303687350143,29710,0.308360088208757,29156,0.320295213796345,30269
"Alicho Woriro",0.321634181345525,36918,0.30942718825144,35422,0.334043256484348,38441
"Alle",0.374064008432829,19906,0.362696927122859,19312,0.385535408677631,20506
"Amaro",0.347615755647909,25511,0.337517115702826,24749,0.357818917611226,26281
"Ambasel",0.567908895461116,68045,0.536521834036827,64256,0.59889856422693,71786
"Ambo Zuria",0.415072633167506,86075,0.404656499044632,83975,0.425545690773699,88187
"Ameya",0.402162282743114,67723,0.393433078103168,66247,0.410937729987622,69207
"Amibara",0.551866516987549,85769,0.470961252103373,75527,0.629526758228997,95643
"Amigna",0.34840296503876,38242,0.325291728612066,35703,0.37207020905981,40846
"Amuru",0.361425132972423,23416,0.351673975319486,22855,0.371262039371789,23983
"Ana Sora",0.281629284686564,42328,0.265675163534079,39936,0.298002245882556,44782
"Analemmo",0.318912781812139,20234,0.307085495432376,19485,0.330913773291232,20995
"Anchar",0.440357760836312,28513,0.415049441612177,26841,0.465900559354609,30204
"Anderacha",0.315092642882742,7837,0.305099966556376,7591,0.325213644824427,8085
"Aneded",0.423380182721485,39018,0.40885295861281,37706,0.438003591422334,40339
"Anfilo",0.398644458249539,11369,0.388232760811586,11074,0.409127153712152,11666
"Angolelana Tera",0.524958561001086,74018,0.500770429701707,70586,0.549061651113247,77439
"Anigacha",0.286748462622479,10735,0.275201238333849,10303,0.29850521656897,11175
"Ankasha",0.288776068717527,81173,0.279950606027227,78648,0.297722519011991,83735
"Ankober",0.533330986325495,32581,0.505911475557106,30906,0.5606013510534,34247
"Antsokiya",0.627282903958072,28387,0.592839285783078,26827,0.660798955773882,29905
"Arba Minch Zuria",0.358890543356138,37638,0.349408109011801,36670,0.368455439956603,38615
"Arbe Gonna",0.239439141631548,39648,0.224866915557669,37176,0.254487334635199,42204
"Arero",0.93359170179571,43159,0.877460114649001,40438,0.968197110105776,44872
"Argoba",0.6346391068164,52225,0.596293413856234,49060,0.671761251462413,55290
"Argoba Special Woreda",0.540995891513618,21522,0.512612288943287,20382,0.569185086814672,22655
"Aroresa",0.256914029347238,44855,0.240084870751452,41870,0.274300942908745,47940
"Arsi Negele",0.341069179758605,60733,0.327106134755846,57909,0.355245602483085,63616
"Artuma Fursi",0.62921093791819,46972,0.593482910968919,44313,0.663918832277185,49557
"Aseko",0.402176956917413,35743,0.379566755061125,33738,0.425101422816829,37775
"Asgede Tsimbila",0.0470715660070317,12462,0.0247797790414009,6450,0.0813907514445493,21827
"Assagirt",0.509971137961251,34681,0.485197070939103,33010,0.534708046451398,36349
"Assosa",0.631975012769874,40123,0.616671153294706,39170,0.647072901461133,41066
"Atsbi Wenberta",0.0188150369276355,1844,0.00478344673017932,472,0.0507655436985432,4957
"Aw-bare",0.386478398398626,0,3.25143337459746e-06,0,0.999905031231878,0
"Awabel",0.43882797628093,65001,0.423468409283367,62714,0.454274953397132,67301
"Aware",0.37694284635645,0,7.71923619792711e-08,0,0.999992176227628,0
"Awasa",0.263062908826517,20078,0.243074825381306,19002,0.283899033740221,21183
"Awasa Zuria",0.271033176431278,41913,0.258074374976323,39889,0.284290318337212,43984
"Awash Fentale",0.502563778155304,46432,0.475561410467575,43932,0.529549276381149,48933
"Awra",0.160357791670915,22010,0.0841572979601744,11919,0.27060138404316,36242
"Ayida",0.362895679977152,9875,0.353568094157993,9621,0.372300072712496,10130
"Ayira",0.294683967273566,14584,0.28770100414661,14222,0.301742500505433,14950
"Ayisha",0.30361632385857,0,0.00023535027680747,0,0.991813533925809,0
"Aysaita",0.15708914505417,13938,0.00470839218362132,447,0.662831056546469,59057
"Babile",0.363538219645896,0,3.16153432356979e-05,0,0.999219802725214,0
"Babo",0.38726365268587,17734,0.379451262343716,17376,0.395118450314643,18093
"Badele Zuria",0.341549013994239,27395,0.335663954090046,26924,0.347470679919744,27869
"Bahir Dar Zuria",0.28250238949003,211890,0.267725565523884,200020,0.297653712612873,224155
"Bako Gazer",0.370463636523418,64154,0.358708043366436,62133,0.382336028214877,66196
"Bako Tibe",0.340763428323728,60715,0.333797664496541,59462,0.347780861193631,61977
"Bambasi",0.538676259582955,19875,0.52684114157876,19440,0.550474646134909,20308
"Banja",0.292824398276139,38653,0.28449299230648,37556,0.301261317657032,39763
"Bare",0.440847003317425,0,2.83910291395589e-05,0,0.999924538352989,0
"Basketo",0.373805777144441,8324,0.364235230649969,8116,0.383449823482956,8535
"Baso Liben",0.422771102509221,54002,0.40987249067113,52369,0.435747782194902,55645
"Basona Worena",0.56548234561074,89473,0.538441353066986,85171,0.592235585349128,93732
"Bati",0.649182125947936,64836,0.611586513810331,61075,0.685446264085382,68466
"Becho",0.39221381959825,50853,0.381693612823161,49457,0.402788949636417,52255
"Bedeno",0.363239913366282,0,0.00224952391554031,0,0.981029075933359,0
"Begi",0.50816533747486,24590,0.496850663608083,24037,0.519474165251891,25143
"Bele Gesgar",0.321142635797411,33738,0.300190146405436,31529,0.342643141276079,36005
"Bena Tsemay",0.391573969017732,46664,0.377338883838438,44998,0.405942381011169,48346
"Bensa",0.25317642557657,37984,0.237633657182987,35655,0.269204426824674,40387
"Berahile",0.0105621237443219,185,0.00198185204205104,51,0.0342377039754909,480
"Berbere",0.260704212464312,18302,0.237829935982402,16685,0.284585394889579,19991
"Bereh",0.492232215424322,70504,0.472895998177554,67738,0.511586503105335,73272
"Berehet",0.510716463987457,26779,0.485799490073248,25481,0.53559410375942,28075
"Bero",0.659317044680564,3474,0.624241621105468,3288,0.692886490313392,3652
"Beyeda",0.309691421653362,21820,0.283696386870456,20013,0.336797914343586,23704
"Bibugn",0.39064319686995,38433,0.375251799995143,36920,0.40619657122051,39961
"Bidu",0.00923598132053899,74,0.00085703458746032,6,0.0391941070378217,325
"Bila Seyo",0.344282324703658,18096,0.336142205205805,17691,0.352494008804859,18503
"Bilidigilu",0.482598748067339,9764,0.470697582867921,9532,0.494510459005528,9997
"Bilo Nopha",0.303560158132688,9879,0.296464354028299,9649,0.310727184727965,10112
"Bio Jiganifado",0.330924796732549,18307,0.321374994652891,17815,0.340578342955967,18805
"Bita",0.333156650794908,23076,0.325290005648374,22550,0.341095678212483,23606
"Boh",0.356686612400705,0,9.50105170386681e-09,0,0.999996342734076,0
"Boji Chekorsa",0.279123925183928,13470,0.272492034987979,13153,0.285826748008105,13792
"Boji Dirmeji",0.285034494738062,11457,0.278423673752879,11195,0.291714444184132,11722
"Boke",0.364912098294147,29478,0.0856444205802046,10379,0.775460649271361,54652
"Bole",0.387865218834974,32451,0.369559276156352,30919,0.406410331980255,34004
"Boloso Bombe",0.371658863396584,25943,0.363006128822173,25307,0.380374346280345,26585
"Boloso sore",0.30336470340591,37925,0.293841018665357,36717,0.313018186317114,39149
"Bona Zuria",0.231090665854742,20024,0.215997935907205,18648,0.246741117397488,21455
"Boneya Boshe",0.34737382314457,23051,0.340360432587875,22590,0.354435900732119,23515
"Bonke",0.354731946087132,44503,0.345075716349518,43274,0.364475975392887,45745
"Bora",0.412172340291822,35099,0.397439470485101,33861,0.427019329686882,36347
"Bore",0.280269251359911,44148,0.265960678976593,41878,0.294916466531493,46472
"Borecha",0.366963422292532,17375,0.359468266372988,17015,0.374508973837901,17737
"Boreda",0.356430608513773,13863,0.348638378427254,13557,0.364280277745647,14170
"Boricha",0.292891645798386,66344,0.281203646647666,63185,0.304833533736689,69587
"Boset",0.4467117307004,73122,0.426276549882952,69790,0.467274801108476,76476
"Bugna",0.453777124812839,40180,0.431171596311017,38176,0.476525112577258,42196
"Bule",0.303605717721223,10768,0.290418175232243,10300,0.317035046922298,11245
"Bule Hora",0.339259498858346,77696,0.322005367093296,73758,0.356816881128447,81707
"Bulen",0.303481853427844,17259,0.291506990535741,16614,0.315658454082829,17914
"Bure",0.330666594348439,44102,0.321024360134516,42884,0.34041710126749,45333
"Bure Mudaytu",0.556917762889497,107051,0.37487152430647,73086,0.726946564018887,139056
"Burji",0.385037963338739,20258,0.369204214977177,19475,0.400988449026216,21049
"Bursa",0.243387299429236,41620,0.22883206040095,39042,0.258411049645771,44284
"Cheha",0.377128918804342,59085,0.365865874489634,57237,0.388502737010675,60953
"Cheliya",0.363882636439565,74371,0.35659562299377,72849,0.371220315426544,75904
"Chena",0.331899159285321,49246,0.324209834644846,48071,0.33965802322177,50431
"Chencha",0.336764548712822,16067,0.329648131913518,15727,0.343936284989819,16410
"Chereti/Weyib",0.537446598012104,0,0.0146940735547523,0,0.991386646044514,0
"Cheta",0.365528041625455,17636,0.357324182223159,17225,0.373792363196498,18051
"Chifra",0.368226340680536,212671,0.2888362031278,172803,0.457383072317004,256069
"Chilga",0.350231456461091,103511,0.325786377107129,96792,0.375338436313462,110416
"Chinaksen",0.388802621358882,0,1.73059019254409e-05,0,0.999693413100672,0
"Chire",0.253443283583705,18781,0.236986800331873,17559,0.270443953584586,20044
"Chiro Zuria",0.395317370635622,41302,0.138023568896599,13971,0.716724574524063,75639
"Chole",0.347687683360771,37627,0.326417009707087,35300,0.369450890596902,40009
"Chora",0.351481703855418,95240,0.343114914767468,93026,0.359919871766767,97473
"Chuko",0.262984931757536,26596,0.250928595982938,25366,0.27531997210898,27856
"Chwaka",0.33328367465138,11083,0.324027252232913,10774,0.34263575775974,11395
"Dabat",0.302883374873337,39731,0.283722967231391,37254,0.32257798952061,42280
"Dabo Hana",0.331139140685766,21249,0.324669107420611,20849,0.33765853786956,21651
"Dale",0.272155234865872,23252,0.259751765227036,22194,0.284831399041422,24333
"Dale Sadi",0.286083655921756,15070,0.278786910288263,14684,0.293464987331647,15461
"Dale Wabera",0.316651621742301,4982,0.308610731051408,4854,0.324777171237759,5111
"Dalfagi",0.618364584514666,56546,0.560905628453712,51960,0.672572602510537,60924
"Dalocha",0.344560109096389,31489,0.333602337978862,30487,0.35564290594532,32503
"Dalul",0.00557050861143963,469,0.000716842118100114,64,0.0208667913831329,1715
"Damot Gale",0.293771596585609,32364,0.282336313888073,31091,0.305404555441815,33660
"Damot Pulasa",0.29974803680636,11891,0.288323668745701,11438,0.311359747763246,12352
"Damot Sore",0.319964993959867,25940,0.311257818451258,25234,0.328765917069969,26654
"Damot Weydie",0.34057414740911,31558,0.33195343295887,30697,0.349276999731879,32428
"Dangila",0.2636074963164,52460,0.256798660734144,51096,0.270501824251922,53840
"Dangura",0.358266175692608,12180,0.337187806826429,11577,0.379806166901447,12797
"Daniboya",0.307863381143757,19911,0.297364023543783,19233,0.318512028782856,20600
"Dano",0.354699076995838,51614,0.347423750590948,50570,0.3620289172631,52667
"Danot",0.3575495717284,0,3.56772067764677e-08,0,0.999991619663071,0
"Dara",0.278383492215401,21528,0.266116340246437,20571,0.290902506073491,22505
"Daramalo",0.365676574850462,12570,0.357105429147211,12287,0.37431149510535,12855
"Darimu",0.309035818939938,35067,0.301624439004167,34260,0.316521680131421,35883
"Daro Lebu",0.402755341622986,29153,0.35082789083156,26035,0.457816530245269,32420
"Dasenech (Kuraz)",0.68583147858246,387458,0.498582991653933,294621,0.840589539296307,466937
"Dawe Kachen",0.270825631346115,9773,0.178601969768625,6328,0.38504062445846,14118
"Dawo",0.449057088580598,38204,0.436560924479745,37151,0.46160052434818,39262
"Dawunt",0.509784575953282,25010,0.48518255120049,23799,0.53435198966176,26219
"Debark",0.316203037593903,37426,0.294788285738341,34927,0.338224237580321,39997
"Debay Telatgen",0.444897543866253,47207,0.427029354580925,45319,0.462863938174972,49105
"Debeweyin",0.398088060608271,0,1.03999929371414e-06,0,0.999970565642564,0
"Debre Elias",0.384794543119378,43490,0.373343671615086,42292,0.396341652331684,44698
"Debre Libanos",0.522497529038833,34770,0.500254650337619,33286,0.544674682152405,36250
"Debresina",0.529917030992601,95374,0.504500091848663,90771,0.555215746716516,99958
"Debub Achefer",0.274087100272209,46971,0.266383525768103,45643,0.281893460152987,48316
"Debub Bench",0.304541934863401,32712,0.294810235274326,31668,0.314406010937694,33771
"Decha",0.36482698184412,44946,0.355542717467245,43869,0.37418392578373,46032
"Deder",0.367912432965358,0,0.00675722203617338,0,0.960399731317368,0
"Dedesa",0.339940694797607,28443,0.332852693901689,27831,0.347084367783955,29060
"Dedo",0.342865252801457,99897,0.334550686486061,97346,0.351255274168042,102473
"Dega",0.320614599261225,22822,0.314742001970769,22412,0.326530346326065,23236
"Dega Damot",0.386238124479034,54718,0.373550528367212,52899,0.399041615899318,56555
"Degehabur",0.366936429300175,0,4.06249816866666e-06,0,0.999834767308152,0
"Degehamedo",0.352916402879893,0,7.19234850061546e-06,0,0.999608718449562,0
"Degeluna Tijo",0.343414967271082,63683,0.326611289905349,60620,0.360503000560258,66800
"Degem",0.50400808611445,65137,0.483358808029684,62495,0.524644069174976,67779
"Degua Temben",0.0604361295526131,5731,0.028614128323767,2733,0.111488452222561,10518
"Dehana",0.433010837441364,43387,0.409983706599871,41093,0.456253890842259,45702
"Dehas",0.977109009742934,53900,0.944932808434339,52163,0.992807755820661,54743
"Dejen",0.46002007582542,41397,0.442376321032095,39819,0.477736739219404,42982
"Delanta",0.545164711107882,63682,0.517050721648043,60389,0.573063901505119,66951
"Dembecha",0.372529362350759,63457,0.361346369004785,61513,0.383814945276519,65419
"Dembel",0.40590751133151,0,5.28427277933682e-05,0,0.999550919013832,0
"Dembia",0.274610805642643,68682,0.261699216756037,65431,0.287819546788313,72009
"Denan",0.373771941260937,0,2.90864409136474e-05,0,0.999314949561862,0
"Dendi",0.444379073051437,117349,0.43194504206639,114070,0.456863656718349,120642
"Denibu Gofa",0.37803069165351,30475,0.368312391340508,29660,0.387824434833497,31297
"Dera",0.419392816292102,200809,0.402741652075438,192940,0.436106025051214,208706
