"region","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Ab Ala",0.00431255595712204,198,0.000916773731523312,45,0.0128775458591246,574
"Ababo",0.402728162786961,26560,0.391314219021964,25854,0.41422016869373,27270
"Abay Chomen",0.386545304895464,18722,0.377250757099799,18312,0.395901136846638,19135
"Abaya",0.365701207374945,18616,0.348337846628299,18007,0.383325644717781,19232
"Abe Dongoro",0.367902494688781,19945,0.359932820754594,19509,0.375926841717716,20384
"Abergele",0.19616097987081,14938,0.162276827537707,12437,0.234596652040597,17767
"Abeshege",0.39700459387583,25752,0.38782771477629,25173,0.406234804607536,26334
"Abichuna Gne'a",0.455038521483979,68855,0.430902275872561,65189,0.479331730276988,72547
"Abobo",0.247977673308166,2300,0.230510919626215,2216,0.267288294029986,2386
"Abuna G/Beret",0.407078105348397,70432,0.393580527682259,68154,0.420676845076271,72728
"Ada'a",0.382351029475547,55261,0.365996563139267,52882,0.398906573703876,57669
"Adaa'r",0.246776865373422,22646,0.170121984500823,16773,0.342302185536442,29714
"Adaba",0.262088582185453,41692,0.242629819973437,38779,0.282258266727972,44710
"Adadle",0.290112802283309,0,2.72402770819163e-06,0,0.999085759473367,0
"Adama",0.363293893489592,42092,0.347186930410516,40212,0.37963176412706,43999
"Adami Tulu Jido Kombolcha",0.345673093621939,40795,0.331002563421359,39108,0.360561621400415,42511
"Adda Berga",0.429766521306906,66761,0.413568297911395,64261,0.446074934272229,69279
"Addi Arekay",0.31680574515688,30135,0.294775475570535,28042,0.339466625975837,32290
"Adola",0.276188255444295,41411,0.257035963307595,38494,0.295948652522057,44422
"Adwa",0.0049418372679731,538,0.0002347884831287,24,0.0254633518884269,2795
"Afambo",0.0837408887767633,2313,0.000180977346374442,6,0.599422234351896,17182
"Afdem",0.347010338997654,0,0.0066960091099647,0,0.95163115829935,0
"Afder",0.350398506088196,0,4.6073321490671e-05,0,0.998923035542251,0
"Afdera",0.000414588158791725,4,3.33588017343271e-05,0,0.00184265145440587,19
"Afele Kola",0.263669749721787,25186,0.250781550917109,23939,0.276866840876103,26463
"Agalometi",0.343553444093408,4135,0.333206614179594,4020,0.354010994966776,4252
"Agarfa",0.243962157690106,37087,0.226179905909231,34310,0.262430260001516,39976
"Ahferom",0.00217258042687685,233,4.22461781954468e-05,5,0.0134754314552384,1409
"Akaki",0.409880811616324,36787,0.393354886846453,35285,0.42655969789654,38303
"Akaki - Kalit",0.406333261356722,7617,0.388060433465212,7275,0.424800804884796,7963
"Akobo",0.00112300914784529,27,0.000134742037169702,3,0.00412464654090388,97
"Alaba",0.302243568307697,49843,0.291643765493814,48073,0.313001201933376,51641
"Alaje",0.055448673059698,4619,0.0306006823423828,2517,0.0920745291403548,7741
"Alamata",0.170797318457762,21033,0.13657214012643,16592,0.211577248992442,26375
"Albuko",0.440046897129676,46994,0.406875535878577,43439,0.473622912650103,50594
"Ale",0.28010671698964,15317,0.272230423234134,14893,0.288086636273225,15748
"Aleltu",0.420446849080661,25177,0.400588013722734,23984,0.440499683590906,26382
"Alem Gena",0.420746256057925,65652,0.405954104151111,63334,0.435645197780881,67987
"Aleta Wendo",0.209447104481028,23688,0.197558359094662,22335,0.221717413481481,25084
"Alfa",0.331127418045248,50958,0.317236068558637,48967,0.34526373882433,52984
"Alge Sachi",0.308456140407234,29066,0.302826758355629,28543,0.314130341279249,29593
"Alicho Woriro",0.273508846662235,30913,0.26236790768408,29555,0.284890059885606,32303
"Alle",0.384215337319988,20016,0.37286856142364,19436,0.395655117523524,20601
"Amaro",0.342355864685418,24825,0.331938944978469,24047,0.352891669391372,25613
"Ambasel",0.471504427785411,56320,0.440335564561512,52567,0.502838908534365,60096
"Ambo Zuria",0.387109019506909,79343,0.37706435744415,77322,0.397224602222558,81380
"Ameya",0.384494670216635,64489,0.376127808655291,63077,0.392912718717791,65910
"Amibara",0.42845542544648,66859,0.346882942278892,56463,0.5174312894022,78005
"Amigna",0.276372783636225,30458,0.255823940229262,28242,0.297663590956858,32753
