"region","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Ab Ala",0.0565970666557303,2431,0.0162847940135706,742,0.139878582085866,5802
"Ababo",0.338807893630169,22733,0.329537806490732,22152,0.348171987084278,23319
"Abay Chomen",0.32310093258608,15829,0.315417485862251,15489,0.330858821351231,16173
"Abaya",0.277198344066005,14927,0.26844972364372,14342,0.286088828103344,15524
"Abe Dongoro",0.299486879547219,16369,0.292853272709187,16001,0.306184392932335,16741
"Abergele",0.210598874557263,15989,0.177722285220412,13553,0.246994837936636,18680
"Abeshege",0.338467169988621,22159,0.331555585336833,21702,0.345430297912858,22621
"Abichuna Gne'a",0.417784721832083,63658,0.394342258579122,60083,0.441506727245663,67276
"Abobo",0.202303512574944,2012,0.185779717264696,1932,0.220503229692257,2093
"Abuna G/Beret",0.360491663898845,63852,0.348823235456951,61802,0.372283225246142,65923
"Ada'a",0.33173899705293,47849,0.316581954332323,45640,0.347245978062863,50113
"Adaa'r",0.356910969754879,31594,0.261772215225402,24584,0.465179335461898,39399
"Adaba",0.221871865397823,36087,0.203812726293897,33372,0.240742894153529,38918
"Adadle",0.377288784105283,0,7.52511981390244e-06,0,0.999752591745729,0
"Adama",0.307252610390008,35778,0.292752133859249,34080,0.322040218914221,37509
"Adami Tulu Jido Kombolcha",0.271467905205544,33750,0.26052911284777,32194,0.282749079401201,35373
"Adda Berga",0.395964732566594,62217,0.380368363072854,59787,0.411719721126094,64672
"Addi Arekay",0.226865667614401,21663,0.208385956293984,19899,0.246175189483779,23506
"Adola",0.246409842738514,37872,0.228118963966298,34988,0.265364147862282,40861
"Adwa",0.0480498881591907,5200,0.00201396659964012,211,0.25018476455326,27186
"Afambo",0.238707355406447,0,0.00110933065611179,0,0.925208036566869,0
"Afdem",0.392718347010492,0,0.00719073742697241,0,0.969575190203763,0
"Afder",0.429512223614417,0,0.000110552799777537,0,0.999623159195722,0
"Afdera",0.0233902744527968,220,0.00262821138478445,26,0.091072882474177,837
"Afele Kola",0.261867373368959,25319,0.249224262007975,24095,0.274808309496118,26572
"Agalometi",0.283089116534956,3436,0.274395946598888,3334,0.291903519436028,3538
"Agarfa",0.20920355364013,32211,0.192461358947345,29601,0.226713207850693,34944
"Ahferom",0.0464541593504638,4836,0.000691030270850796,87,0.329352630408092,33061
"Akaki",0.360398709706877,32514,0.345039517295055,31100,0.375969605657509,33947
"Akaki - Kalit",0.276095620292246,5176,0.254461983602859,4770,0.298534801751055,5596
"Akobo",0.000151737955645605,4,2.8251996768565e-06,0,0.000809823670314683,19
"Alaba",0.265456811268045,45272,0.257298737732585,43908,0.273735836873922,46655
"Alaje",0.136116294042502,11690,0.0844119693718994,7187,0.204492519391745,17671
"Alamata",0.229257284347358,29277,0.18639961326988,23542,0.278167947971832,35856
"Albuko",0.456983281523099,48963,0.422987445591098,45315,0.491279590355027,52643
"Ale",0.257900694408955,14206,0.250377117918797,13801,0.26553618756111,14616
"Aleltu",0.382067224483423,22920,0.363083086578752,21779,0.401322698643099,24077
"Alem Gena",0.36992091778014,57920,0.356424457119058,55797,0.383570356675784,60067
"Aleta Wendo",0.200030860322465,22745,0.187209967492435,21294,0.213330679370731,24250
"Alfa",0.28330971147814,43843,0.270359439297669,41995,0.29655656147396,45731
"Alge Sachi",0.273548888267547,25883,0.268276497272073,25394,0.278871701761929,26378
"Alicho Woriro",0.301284176254503,35111,0.292977596869408,34142,0.309687937530679,36091
"Alle",0.317664693845129,16892,0.30754684182558,16363,0.327911229666158,17429
"Amaro",0.274468018306817,20411,0.26574330525835,19746,0.283323322823065,21086
"Ambasel",0.412657790556402,49427,0.383039705319385,45851,0.44275186109833,53062
"Ambo Zuria",0.349860207947851,73625,0.341445408736901,71846,0.358344815525671,75417
"Ameya",0.340810661691797,57586,0.3336763497883,56375,0.347998571509529,58807
"Amibara",0.394353108891452,61482,0.313025147543427,51142,0.484932940563926,72764
"Amigna",0.234537405498801,27079,0.214554770118488,24799,0.255453971129451,29461
"Amuru",0.306760232052868,20061,0.299304360385192,19622,0.314292801259877,20504
"Ana Sora",0.230233415603064,35037,0.216676958564629,33004,0.24421898162305,37134
"Analemmo",0.299445169373427,18994,0.29059824089628,18434,0.308403172874237,19561
"Anchar",0.292010969187724,19147,0.270457401991518,17707,0.314282687938499,20637
"Anderacha",0.267168181870389,6715,0.258170028149147,6494,0.276311698268493,6939
"Aneded",0.342164097690665,31908,0.329976475812793,30757,0.354508214993957,33075
"Anfilo",0.322685081510681,9158,0.313189999205257,8892,0.332291613928339,9428
"Angolelana Tera",0.392565586549194,55570,0.370067733459976,52368,0.415405583612471,58821
"Anigacha",0.260727159417973,9761,0.251593518870571,9419,0.270016703315013,10109
"Ankasha",0.267513168624895,76370,0.260491907509807,74429,0.274620956509052,78334
"Ankober",0.380714681439492,23332,0.355810623843742,21808,0.40609278332006,24886
"Antsokiya",0.461872902527237,20903,0.426715184289514,19308,0.497316312694547,22511
"Arba Minch Zuria",0.287915005502998,31092,0.279953804858111,30227,0.295984367835848,31970
"Arbe Gonna",0.213636042287483,35857,0.202279438682116,33956,0.225328240283184,37813
"Arero",0.909101556574481,41921,0.83467987390379,38346,0.955914698019075,44221
"Argoba",0.481195472600516,39670,0.442442301624846,36475,0.520118408641556,42879
"Argoba Special Woreda",0.3819913042783,15210,0.356591565950243,14191,0.407877985105015,16249
"Aroresa",0.212539684599265,37749,0.198070237785593,35186,0.227564804155103,40410
"Arsi Negele",0.25252999766293,48570,0.241651273734982,46276,0.263646845750599,50920
"Artuma Fursi",0.456210638886137,34264,0.420755889351993,31616,0.491997706236433,36936
"Aseko",0.27218894257547,24182,0.252709347901387,22457,0.292337950362124,25966
"Asgede Tsimbila",0.0713517773608792,19140,0.0364636807381901,9591,0.126249297023929,34372
"Assagirt",0.372008784510397,25494,0.349748922254542,23980,0.394679710142301,27036
"Assosa",0.551493273890904,35153,0.535486604617353,34181,0.567409506034814,36121
"Atsbi Wenberta",0.0320931113231376,3142,0.00744508583413393,735,0.0899188083202606,8772
"Aw-bare",0.385541799855026,0,3.2332723484888e-07,0,0.99998172961211,0
"Awabel",0.351935654724536,52464,0.338237691090001,50399,0.36581704077067,54557
"Aware",0.387063192996956,0,5.32276177700548e-09,0,0.999999202550081,0
"Awasa",0.207181117790257,14527,0.187147421199481,13362,0.22840120602277,15755
"Awasa Zuria",0.239335297606678,37258,0.230305129934997,35854,0.248542006261324,38690
"Awash Fentale",0.362603110680985,33763,0.337628310071597,31448,0.388129419562247,36130
"Awra",0.158596921130887,21582,0.0781366664926456,11012,0.278814920925319,36954
"Ayida",0.332639798354544,9059,0.324522293260303,8838,0.340831409117955,9282
"Ayira",0.251993652147138,12610,0.246040422263449,12306,0.258017247866307,12918
"Ayisha",0.320296473840881,0,6.5820031607517e-05,0,0.997149579754444,0
"Aysaita",0.184524903217303,10640,0.00304983393414042,229,0.783494654570194,44703
"Babile",0.356548994520832,0,4.38783644273178e-06,0,0.999756387339774,0
"Babo",0.324527032323806,14983,0.3179903114656,14688,0.331114824854802,15280
"Badele Zuria",0.297621989568942,24171,0.292687639273359,23768,0.302592135546128,24577
"Bahir Dar Zuria",0.236651548521386,231097,0.227302688561129,223966,0.24620732874903,238339
"Bako Gazer",0.331113466096142,58386,0.320278880330428,56521,0.342083073140693,60274
"Bako Tibe",0.302635652083251,54251,0.297477310616405,53329,0.307830977837447,55179
"Bambasi",0.455589464348736,16803,0.444578638475688,16401,0.466627592989131,17206
"Banja",0.262617686287932,34703,0.25554286433721,33773,0.269784357709503,35644
"Bare",0.420556351758834,0,4.6078564467588e-06,0,0.999969276905935,0
"Basketo",0.327739140791917,7513,0.319091422227386,7319,0.336473879272088,7709
"Baso Liben",0.340975571253549,44054,0.330330136298715,42654,0.35174084259477,45471
"Basona Worena",0.421877312893537,66814,0.395925406644013,62698,0.448150095282125,70983
"Bati",0.480120741053135,47965,0.441371589854123,44096,0.519038809840228,51853
"Becho",0.323561203446274,41408,0.314411088354057,40210,0.332807021756476,42619
"Bedeno",0.326790238376148,0,0.000552112827542877,0,0.987483924284389,0
"Begi",0.416482977199577,20221,0.405696628183976,19698,0.427328943168625,20748
"Bele Gesgar",0.218550477673611,23122,0.200859268142473,21260,0.237041312816053,25067
"Bena Tsemay",0.344779106240638,41301,0.331466819538905,39723,0.358270172476463,42900
"Bensa",0.210033583473389,31574,0.196660887316066,29577,0.223888000399268,33642
"Berahile",0.0218044552680681,290,0.0033524797758916,71,0.0769322777135962,798
"Berbere",0.168311921973579,11991,0.150145558615962,10701,0.187716867926088,13369
"Bereh",0.383240286822426,55166,0.36550920189999,52619,0.401202731246268,57747
"Berehet",0.359106136155349,18939,0.337503979707281,17809,0.381141027103465,20092
"Bero",0.627694610299213,3313,0.591416872865382,3120,0.662628967348404,3498
"Beyeda",0.222617041526854,15643,0.200725998253885,14124,0.245879970821737,17257
"Bibugn",0.339463749496558,33377,0.325581981042176,32016,0.353550210673781,34758
"Bidu",0.024277545805435,202,0.00180804473771853,13,0.109796268912245,953
"Bila Seyo",0.303361491632378,16205,0.29652639038646,15857,0.310264509971756,16555
"Bilidigilu",0.422837086913895,8584,0.412208081296297,8377,0.433517170595119,8792
"Bilo Nopha",0.26529691106252,8673,0.258602244787308,8455,0.272073771393232,8893
"Bio Jiganifado",0.292463971450629,16258,0.284554493159892,15859,0.300469110009007,16662
"Bita",0.285272095883097,19892,0.278033353300779,19405,0.292596347334975,20384
"Boh",0.374257369748987,0,1.12519196619096e-09,0,0.999999552214674,0
"Boji Chekorsa",0.250948628299809,12138,0.244777234091036,11843,0.257194748775554,12437
"Boji Dirmeji",0.257256718227096,10375,0.251166717131606,10132,0.263418242709302,10621
"Boke",0.267548570341276,20255,0.0380947916904894,4793,0.721528173427206,47825
"Bole",0.19333633164446,16180,0.163091803911678,13647,0.226507741644227,18958
"Boloso Bombe",0.311577981011291,22705,0.304964115499658,22217,0.318249310508303,23198
"Boloso sore",0.26514846227671,33132,0.255014925979219,31851,0.275471982020243,34437
"Bona Zuria",0.205431747054367,18414,0.194004437384908,17385,0.217219032621861,19476
"Boneya Boshe",0.305834305115724,20444,0.300461667435167,20084,0.311245997733124,20807
"Bonke",0.309636292059123,39651,0.301454102997554,38640,0.317907418291171,40672
"Bora",0.312085967431299,27275,0.300001348162188,26228,0.324362974314698,28339
"Bore",0.238494352748964,38224,0.226562107449215,36343,0.250741419527179,40154
"Borecha",0.311069693993376,14814,0.304836744897612,14510,0.31735709331206,15121
"Boreda",0.295794346055815,11608,0.28993631276443,11380,0.301702851914359,11837
"Boricha",0.253499632751094,60757,0.244327897106881,58365,0.26284899386791,63202
"Boset",0.318552109973231,52210,0.300893965258167,49333,0.336599429953469,55150
"Bugna",0.326566609494017,28865,0.307226527940512,27151,0.346352690234742,30618
"Bule",0.240618586660748,8531,0.22865356798406,8108,0.252891742864431,8966
"Bule Hora",0.282683520809407,65373,0.267414953355115,61915,0.298321726516024,68915
"Bulen",0.279641962644702,15793,0.269197401900213,15240,0.290266609192504,16356
"Bure",0.280068522919451,37630,0.272157158661913,36599,0.28808327166553,38673
"Bure Mudaytu",0.414571007777063,80620,0.226181937990591,45315,0.626247328423546,120127
"Burji",0.310089244527758,16376,0.296155147835162,15700,0.324261888207484,17063
"Bursa",0.219472703454439,38027,0.209005941976451,36201,0.230213293390205,39902
"Cheha",0.358029392858545,57192,0.348111427005615,55617,0.368043689531843,58782
"Cheliya",0.323299088021764,66908,0.316925760783823,65540,0.329726897436512,68289
"Chena",0.286768242867889,42967,0.280113479562123,41972,0.293493593540081,43973
"Chencha",0.277311220942201,13238,0.270824469235266,12929,0.283867879582948,13551
"Chereti/Weyib",0.476839361740082,0,0.00497788425703207,0,0.992411407708971,0
"Cheta",0.319549428614182,15711,0.312102037234046,15332,0.327067201853322,16093
"Chifra",0.313516632733118,180233,0.23621292839576,141282,0.403506099004267,224091
"Chilga",0.319313818857685,94331,0.295687691359706,87900,0.343693591961946,100967
"Chinaksen",0.37969257721307,0,2.07301896343237e-06,0,0.999919050586573,0
"Chire",0.216863451705418,16080,0.202173894515582,14989,0.232107758075876,17212
"Chiro Zuria",0.279852520446277,29354,0.064282431593798,6473,0.639135780663536,67803
"Chole",0.257874563304006,28282,0.237241859220639,25987,0.27931976909303,30667
"Chora",0.313424137857051,85513,0.305945785493929,83540,0.320979002476666,87506
"Chuko",0.217329390566868,22017,0.206444204309403,20902,0.228525397906789,23165
"Chwaka",0.276437018069042,9126,0.269688825744678,8908,0.283262701095877,9346
"Dabat",0.234455446315032,30637,0.217755800672923,28490,0.251801126424126,32867
"Dabo Hana",0.287231282506047,18451,0.282033548222785,18130,0.292473077479108,18775
"Dale",0.205999205261025,17580,0.192123654349865,16395,0.220407844879274,18811
"Dale Sadi",0.23489680787976,12400,0.228570628809795,12065,0.241312341574041,12739
"Dale Wabera",0.251196582254418,3959,0.244617332410279,3856,0.257864448137099,4064
"Dalfagi",0.474099919398978,43527,0.410695321360815,38557,0.538337485602191,48551
"Dalocha",0.288444291359073,26355,0.279980643962745,25582,0.29701839153364,27138
