"region","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Ab Ala",0.073164087153163,3019,0.0240940695151521,1047,0.166487092208987,6664
"Ababo",0.415076083205088,27084,0.403454534335177,26367,0.426765615370335,27806
"Abay Chomen",0.389049110148304,18679,0.37965633718571,18266,0.398501236990599,19095
"Abaya",0.350500061760467,17173,0.337769322729915,16561,0.363383455180041,17795
"Abe Dongoro",0.359635603946801,19503,0.351688696940855,19067,0.36764019873292,19941
"Abergele",0.292574192862366,22034,0.254443199021058,19223,0.333426031823589,25042
"Abeshege",0.386253363618523,24868,0.377101257955403,24292,0.395463895516274,25448
"Abichuna Gne'a",0.48237342421939,73081,0.457873593344559,69356,0.506935893052109,76817
"Abobo",0.234737959703516,2181,0.217179828450736,2098,0.254036402259876,2264
"Abuna G/Beret",0.427808379149552,73469,0.414045172585389,71148,0.441648238677719,75805
"Ada'a",0.377909328310292,54546,0.36094355230753,52067,0.395136484722894,57065
"Adaa'r",0.508827363035945,43659,0.404869953903297,36145,0.611686782564179,51105
"Adaba",0.241602203967714,37168,0.222687592830077,34385,0.261283032960537,40067
"Adadle",0.375436857925365,0,1.94558460374359e-05,0,0.999499942291253,0
"Adama",0.36000329986368,41692,0.343929837568437,39819,0.376312810845132,43593
"Adami Tulu Jido Kombolcha",0.318498454156123,36586,0.30422899244692,34715,0.333100956824167,38521
"Adda Berga",0.454084940487522,70448,0.437670565380459,67911,0.470570977170144,72998
"Addi Arekay",0.298199884921733,28354,0.276688182356088,26311,0.320402283908858,30463
"Adola",0.23155579485718,34780,0.214251595920265,32161,0.249567706608011,37506
"Adwa",0.0521200540453191,5651,0.0032948463072229,346,0.240602325882641,26235
"Afambo",0.30745634586265,0,0.0034839520282882,0,0.94081772893929,0
"Afdem",0.48938054461398,0,0.0208649186847898,0,0.977401768135453,0
"Afder",0.400105105408776,0,0.00013627242845825,0,0.999012279491868,0
"Afdera",0.0337779934227949,320,0.0049662225761829,50,0.117049708873451,1083
"Afele Kola",0.248579999158392,23818,0.23610769903862,22610,0.261371433666111,25058
"Agalometi",0.338346958609784,4022,0.328075513025886,3908,0.34873153581078,4137
"Agarfa",0.222543738648309,33303,0.205320115784913,30647,0.240513980048454,36080
"Ahferom",0.0474206196602142,4957,0.00115980334190518,144,0.30014031612772,30206
"Akaki",0.415265840739914,37355,0.399060849365118,35892,0.431607643344771,38830
"Akaki - Kalit",0.382457070464674,7170,0.359060575963568,6731,0.406264554641369,7616
"Akobo",0.00082294424787165,20,7.4564435801417e-05,2,0.00323607078336076,76
"Alaba",0.267960918390956,43944,0.257877168035325,42272,0.278225414818293,45648
"Alaje",0.177694187809119,15201,0.117859340407583,10003,0.252666432415512,21741
"Alamata",0.288121492828287,36501,0.241702844086818,30326,0.339419403886912,43359
"Albuko",0.503667916601411,53819,0.469595130655823,50165,0.537716909133546,57472
"Ale",0.259897006274495,14246,0.252291265596958,13836,0.267614521618648,14662
"Aleltu",0.436373488169282,26101,0.41619951096273,24889,0.456706670407496,27323
"Alem Gena",0.423795512682084,66144,0.408915388242328,63813,0.438780033836057,68493
