"region","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Ab Ala",0.0108043979697522,483,0.00268266933857126,127,0.0296569714807778,1285
"Ababo",0.379082217549066,25168,0.367798853034453,24469,0.390464285662393,25872
"Abay Chomen",0.357851975718008,17425,0.348739509672762,17022,0.367043348966701,17831
"Abaya",0.329530370331648,16697,0.317301587315673,16116,0.341931269438358,17288
"Abe Dongoro",0.327372600232683,17723,0.319734433701101,17304,0.335081187179429,18144
"Abergele",0.217359863212472,16512,0.182900425286028,13963,0.255701109813481,19343
"Abeshege",0.361876685157064,23475,0.352881844347879,22908,0.370943539348856,24047
"Abichuna Gne'a",0.464624963027662,70363,0.440120656114076,66640,0.489257274394023,74108
"Abobo",0.259822379794161,2256,0.242384902301397,2172,0.278605424229345,2341
"Abuna G/Beret",0.398619155768793,68934,0.385080630577087,66651,0.412269827745393,71237
"Ada'a",0.366847869263976,52996,0.350642612630311,50643,0.383284791330017,55383
"Adaa'r",0.332284363086233,29894,0.246502747571999,23375,0.429590077345702,37143
"Adaba",0.215345667330314,34622,0.197848042539636,31968,0.233641182786109,37392
"Adadle",0.29462163667391,0,2.69284725602063e-05,0,0.996629857507786,0
"Adama",0.341228327223442,39521,0.325379940323262,37674,0.35734455191872,41399
"Adami Tulu Jido Kombolcha",0.304049704910113,36105,0.290865935299094,34467,0.317486299214516,37780
"Adda Berga",0.426119842558581,66155,0.40986224388217,63645,0.442495186333261,68685
"Addi Arekay",0.293667445400695,28024,0.272372564394904,25997,0.315664211093277,30118
"Adola",0.221491375395561,32918,0.204406293211295,30327,0.239333952811764,35627
"Adwa",0.0155117949451216,1693,0.00140550641772547,149,0.0656343804257688,7203
"Afambo",0.117538245892949,3390,0.00115427663797599,40,0.633626067118422,18899
"Afdem",0.395519440161623,503,0.0209323298005127,78,0.933845953462725,1035
"Afder",0.318664578247944,0,0.000156872915634891,0,0.994433472016223,0
"Afdera",0.00164107835732883,17,0.000165621497229271,2,0.00674989187029598,67
"Afele Kola",0.23830274692617,22811,0.226114356165361,21633,0.250818241496159,24022
"Agalometi",0.307694691583104,3700,0.297845595274627,3590,0.317674291951259,3811
"Agarfa",0.206561888221518,31374,0.190084198887977,28807,0.223803716153081,34065
"Ahferom",0.00887311553785163,939,0.000340257306608124,42,0.0505644348897865,5148
"Akaki",0.393141578741724,35281,0.376719188622478,33791,0.409746943207913,36787
"Akaki - Kalit",0.385805878194737,7232,0.368993472553378,6917,0.402824017737061,7552
"Akobo",0.00653037550513984,153,0.00160572699511028,38,0.0178080143305955,413
"Alaba",0.266096996516624,44110,0.256014601983326,42428,0.276362631658908,45823
"Alaje",0.0830687065167089,6982,0.0489175512093341,4066,0.130770432440732,11082
"Alamata",0.210923935668023,26252,0.171484466296075,21082,0.256634471507336,32292
"Albuko",0.48503726140973,51848,0.450879326988727,48185,0.519302838446046,55524
"Ale",0.262649707748957,14400,0.254999160150056,13987,0.270411116451208,14819
"Aleltu",0.419402854847214,25128,0.399318723468639,23921,0.439689218707402,26347
"Alem Gena",0.405470861668564,63303,0.390665854382016,60983,0.420405671956362,65645
"Aleta Wendo",0.186343228028977,21105,0.1751689942478,19833,0.197915497431394,22422
"Alfa",0.296905163583133,46039,0.283855512138819,44162,0.310248951696167,47955
"Alge Sachi",0.287853996209472,27176,0.282438670424719,26672,0.293317908890234,27684
"Alicho Woriro",0.253634409823368,28766,0.242864893643612,27453,0.264657142597106,30114
"Alle",0.361858820204619,19107,0.3506717511249,18533,0.373158711871759,19687
"Amaro",0.318422718984989,23117,0.308535672422039,22378,0.328435032765115,23866
"Ambasel",0.502886914785455,60199,0.471149974194932,56375,0.534608114085021,64023
"Ambo Zuria",0.368053125606768,75475,0.358091331414187,73472,0.378098678216827,77495
"Ameya",0.353843306771584,59429,0.345643108408217,58045,0.36210804037616,60824
"Amibara",0.44087014989508,68445,0.368054805169779,59075,0.517494075884969,78206
"Amigna",0.24690702223849,26873,0.227027030398634,24726,0.267630033551416,29112
"Amuru",0.343396819439681,22050,0.334025655052368,21525,0.352859701314717,22580
"Ana Sora",0.210545595975401,31481,0.196983763470698,29461,0.224601149823518,33575
"Analemmo",0.257683382525097,16355,0.247200473631223,15690,0.268376233441747,17032
"Anchar",0.338576404258521,21619,0.314963592946264,20079,0.362801895779162,23201
"Anderacha",0.294648044920913,7346,0.285044813608421,7113,0.304388590142754,7583
"Aneded",0.383412096124031,34907,0.369543746362086,33662,0.397418165549608,36166
"Anfilo",0.364551603988603,10376,0.354471367448701,10092,0.374723270358423,10662
"Angolelana Tera",0.436198239585503,61431,0.412540309479654,58073,0.460075499182172,64821
"Anigacha",0.233131004025741,8728,0.222957924628729,8347,0.243537994972977,9117
"Ankasha",0.26280708099056,73356,0.254442441129631,70957,0.271301886048522,75796
"Ankober",0.449261463462935,27455,0.422080639223954,25796,0.476668972662155,29127
"Antsokiya",0.552493366790591,24931,0.516408137408933,23297,0.588176404101836,26548
"Arba Minch Zuria",0.348835835733561,35659,0.337629937405421,34701,0.360166854550662,36626
"Arbe Gonna",0.168734726966674,27811,0.156979421566297,25828,0.181005140391479,29884
"Arero",0.534539263580468,24486,0.324147669247829,14934,0.731652974921487,33507
"Argoba",0.556315496023469,45730,0.515926481127813,42400,0.59616143476991,49017
"Argoba Special Woreda",0.450280702363157,17932,0.422189774921305,16803,0.478609535496852,19070
"Aroresa",0.183070235725804,31757,0.169385552978229,29352,0.197375220452052,34274
