"Latitude","Longitude","value","variable"
5.87828291457286,4.29213467336683,0.467204841538529,"Mean"
5.94805929648241,4.29213467336683,0.462898867329138,"Mean"
6.01783567839196,4.29213467336683,0.464428110297345,"Mean"
6.08761206030151,4.29213467336683,0.342719236991477,"Mean"
6.15738844221106,4.29213467336683,0.283321184167565,"Mean"
6.2271648241206,4.29213467336683,0.397457492822471,"Mean"
6.29694120603015,4.29213467336683,0.348451006766656,"Mean"
6.3667175879397,4.29213467336683,0.414298747777719,"Mean"
6.43649396984925,4.29213467336683,0.431786312880501,"Mean"
6.50627035175879,4.29213467336683,0.427219831497442,"Mean"
6.57604673366834,4.29213467336683,0.422627833639646,"Mean"
6.64582311557789,4.29213467336683,0.418012214286984,"Mean"
6.71559949748744,4.29213467336683,0.413374967609094,"Mean"
6.78537587939698,4.29213467336683,0.408718185989932,"Mean"
5.87828291457286,4.35055326633166,0.46338019894971,"Mean"
5.94805929648241,4.35055326633166,0.222483897088172,"Mean"
6.01783567839196,4.35055326633166,0.291862137794082,"Mean"
6.08761206030151,4.35055326633166,0.403869188909483,"Mean"
6.15738844221106,4.35055326633166,0.282680742140072,"Mean"
6.2271648241206,4.35055326633166,0.410557050172305,"Mean"
6.29694120603015,4.35055326633166,0.291476655620681,"Mean"
6.3667175879397,4.35055326633166,0.265303970607608,"Mean"
6.43649396984925,4.35055326633166,0.341769792320609,"Mean"
6.50627035175879,4.35055326633166,0.263486451836143,"Mean"
6.57604673366834,4.35055326633166,0.270519963573735,"Mean"
6.64582311557789,4.35055326633166,0.262130622863408,"Mean"
6.71559949748744,4.35055326633166,0.39055131107793,"Mean"
6.78537587939698,4.35055326633166,0.277874083144122,"Mean"
6.85515226130653,4.35055326633166,0.442634647687878,"Mean"
5.80850653266332,4.40897185929648,0.463863485882912,"Mean"
5.87828291457286,4.40897185929648,0.298216509821683,"Mean"
5.94805929648241,4.40897185929648,0.288747661559558,"Mean"
6.01783567839196,4.40897185929648,0.297015513124345,"Mean"
6.08761206030151,4.40897185929648,0.305301809322121,"Mean"
6.15738844221106,4.40897185929648,0.278278380532477,"Mean"
6.2271648241206,4.40897185929648,0.323569685233666,"Mean"
6.29694120603015,4.40897185929648,0.297265671374282,"Mean"
6.3667175879397,4.40897185929648,0.261229121009521,"Mean"
6.43649396984925,4.40897185929648,0.260407176878456,"Mean"
6.50627035175879,4.40897185929648,0.259178790581992,"Mean"
6.57604673366834,4.40897185929648,0.254908451620468,"Mean"
6.64582311557789,4.40897185929648,0.25025777722537,"Mean"
6.71559949748744,4.40897185929648,0.363669795030655,"Mean"
6.78537587939698,4.40897185929648,0.236598515395252,"Mean"
6.85515226130653,4.40897185929648,0.351831594400346,"Mean"
6.92492864321608,4.40897185929648,0.234844416827474,"Mean"
5.73873015075377,4.46739045226131,0.464348725296456,"Mean"
5.80850653266332,4.46739045226131,0.332679017038761,"Mean"
5.87828291457286,4.46739045226131,0.314287469527278,"Mean"
5.94805929648241,4.46739045226131,0.286232797687088,"Mean"
6.01783567839196,4.46739045226131,0.282668966811271,"Mean"
6.08761206030151,4.46739045226131,0.285334605942204,"Mean"
6.15738844221106,4.46739045226131,0.283901714924914,"Mean"
6.2271648241206,4.46739045226131,0.26974574150522,"Mean"
6.29694120603015,4.46739045226131,0.312720757288599,"Mean"
6.3667175879397,4.46739045226131,0.260073119275651,"Mean"
6.43649396984925,4.46739045226131,0.278130550544836,"Mean"
6.50627035175879,4.46739045226131,0.261289167678396,"Mean"
6.57604673366834,4.46739045226131,0.267442490674904,"Mean"
6.64582311557789,4.46739045226131,0.246241221087258,"Mean"
6.71559949748744,4.46739045226131,0.240618057511583,"Mean"
6.78537587939698,4.46739045226131,0.229511168108084,"Mean"
6.85515226130653,4.46739045226131,0.226187813721634,"Mean"
6.92492864321608,4.46739045226131,0.223279544903225,"Mean"
6.99470502512563,4.46739045226131,0.326997505468245,"Mean"
7.06448140703518,4.46739045226131,0.284503898018147,"Mean"
7.13425778894472,4.46739045226131,0.18095103494522,"Mean"
7.20403417085427,4.46739045226131,0.164768247487201,"Mean"
7.27381055276382,4.46739045226131,0.196171243005813,"Mean"
7.34358693467337,4.46739045226131,0.18958355007095,"Mean"
7.41336331658291,4.46739045226131,0.193282265571196,"Mean"
7.48313969849246,4.46739045226131,0.180081282502175,"Mean"
7.55291608040201,4.46739045226131,0.167437972494028,"Mean"
5.73873015075377,4.52580904522613,0.296912865837158,"Mean"
5.80850653266332,4.52580904522613,0.29229810430518,"Mean"
5.87828291457286,4.52580904522613,0.270832779551157,"Mean"
5.94805929648241,4.52580904522613,0.252662300902142,"Mean"
6.01783567839196,4.52580904522613,0.278092370066792,"Mean"
6.08761206030151,4.52580904522613,0.273713237098265,"Mean"
6.15738844221106,4.52580904522613,0.279573777860044,"Mean"
6.2271648241206,4.52580904522613,0.26934512730164,"Mean"
6.29694120603015,4.52580904522613,0.258809126391518,"Mean"
6.3667175879397,4.52580904522613,0.25551453643949,"Mean"
6.43649396984925,4.52580904522613,0.253168727684546,"Mean"
6.50627035175879,4.52580904522613,0.247815146192741,"Mean"
6.57604673366834,4.52580904522613,0.246407233032212,"Mean"
6.64582311557789,4.52580904522613,0.263187380060842,"Mean"
6.71559949748744,4.52580904522613,0.248622938766472,"Mean"
6.78537587939698,4.52580904522613,0.226197649747758,"Mean"
6.85515226130653,4.52580904522613,0.223594841310398,"Mean"
6.92492864321608,4.52580904522613,0.208242984337859,"Mean"
6.99470502512563,4.52580904522613,0.271930740637691,"Mean"
