"state","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Abadam",0.950150018684625,99831,0.905834095082998,95141,0.97737280180727,102715
"Abaji",0.393226520732822,12138,0.361200773317001,11145,0.425975347610617,13154
"Abak",0.282045251951821,86,0.22235535832694,68,0.346747576462583,106
"Abakaliki",0.421548191813485,1631,0.386245350293131,1494,0.457395824999924,1769
"Abeokuta North",0.7175845723743,2633,0.664199882459061,2437,0.766491312813699,2812
"Abeokuta South",0.603849799587801,309,0.545898229829785,280,0.659756464187522,338
"Abi",0.356938362907962,308,0.319047497436899,276,0.395384567542673,341
"Aboh-Mbaise",0.356161107677644,109,0.301780897235253,92,0.412531571992606,126
"Abua/Odual",0.555967003048587,62,0.262194886536994,30,0.819970780755611,90
"Abuja",0.372154488026606,21730,0.337022725384569,19650,0.408284092717578,23869
"Adavi",0.512069856528668,6129,0.471299621291097,5634,0.55276580845259,6623
"Ado",0.341843754454083,1608,0.315613611180628,1490,0.368895971564281,1730
"Ado Odo/Ota",0.88139322451037,2475,0.830134240665573,2326,0.921459850678833,2592
"Ado-Ekiti",0.439361955271687,121,0.40590268493016,111,0.473248028149927,130
"Afijio",0.369455750004796,1942,0.335687191746745,1761,0.404200138120429,2128
"Afikpo North",0.328029143306568,267,0.297439942812528,242,0.359720483143747,293
"Afikpo South",0.297251990687082,153,0.271473257186418,141,0.324128472247587,166
"Agaie",0.37853012958801,18187,0.348478776732143,16734,0.408877056504108,19657
"Agatu",0.461023473198812,4626,0.420090391608579,4221,0.501457703708994,5021
"Aguata",0.361445576601281,183,0.332385678804005,168,0.391236879813807,198
"Agwara",0.178765674863915,6025,0.141766977116729,4842,0.218310625001266,7327
"Ahiazu-Mbaise",0.355584540913813,65,0.321640686982073,59,0.39059801302453,71
"Ahoada East",0.446238815014133,18,0.214460642500342,8,0.692544733916878,27
"Ahoada West",0.496810316760593,35,0.232587259287244,16,0.754334436047466,54
"Aiyedade",0.470148337365459,1501,0.437919031033458,1395,0.502581038195068,1609
"Ajaokuta",0.573004605771561,9705,0.531002664222234,8999,0.613342975233903,10382
"Ajingi",0.267193178393547,5418,0.236435336099598,4792,0.299744672599978,6080
"Akamkpa",0.21508646642326,143,0.182573281161205,122,0.250479749573124,166
"Akinyele",0.370450519255055,1318,0.341599777487209,1213,0.400069636550398,1425
"Akko",0.318588043386164,35019,0.291121969350581,31966,0.347051325264874,38186
"Akoko North-East",0.454935090374077,399,0.414222564355225,362,0.496098936086448,436
"Akoko North-West",0.414026043091065,203,0.371450001577429,183,0.457499281613507,224
"Akoko South-East",0.396119791834148,67,0.348682226729283,59,0.445146725823696,76
"Akoko South-West",0.430460423314091,156,0.392156324388347,142,0.46945146716967,171
"Akoko-Edo",0.460620454276588,2263,0.418591845270282,2059,0.503184431764394,2469
"Akpabuyo",0.322513550346031,74,0.264855328461795,61,0.398018387995708,88
"Akuku-Toru",0.894468629291966,79,0.702189384430959,62,0.979666326935781,86
"Akure North",0.483049972594817,161,0.448502560376308,149,0.517668321946015,172
"Akure South",0.478776707033445,113,0.445430933436737,105,0.512250845437193,121
"Akwanga",0.520106919096676,7813,0.490450611952842,7367,0.54964813413142,8256
"Albasu",0.268983040424883,2531,0.242386681798734,2281,0.296889962149304,2794
"Aleiro",0.0742532524211867,691,0.0503656629585895,469,0.10487085301519,976
"Alimosho",0.791690233632132,179,0.712759307144704,165,0.857332917129944,190
"Alkaleri",0.400354854004286,47709,0.371764285162668,44413,0.429435878153105,51071
"Amuwo Odofin",0.850302813586708,208,0.783570988386508,192,0.902768629073411,221
"Anambra East",0.485443236470909,824,0.44671694433218,761,0.523211102202745,887
"Anambra West",0.548359091281311,1968,0.507516601177512,1822,0.587087575601383,2107
"Anaocha",0.42715400348916,189,0.393075157327292,174,0.461673920430021,204
"Andoni",0.761792180950646,30,0.556187416922503,23,0.905429839077559,35
"Aninri",0.383417562714951,504,0.354644258728836,466,0.412761010873018,543
"Aniocha North",0.45723142691873,364,0.42549717402246,339,0.489049176573092,389
"Aniocha South",0.442665449304379,721,0.406500283348757,662,0.479254058248088,781
"Anka",0.0831790890314776,6093,0.0597251663472332,4370,0.112298547780456,8235
"Ankpa",0.302786835835185,3962,0.269546755510169,3530,0.337723792721402,4415
"Apa",0.391401137597954,2200,0.357814334899244,2011,0.425857016476081,2394
"Ardo-Kola",0.139210161215154,8104,0.122276197438377,7140,0.157617261168783,9149
"Arewa Dandi",0.0591991867007963,11336,0.0344829681143612,6610,0.0940585322220074,18001
"Argungu",0.0530670783883923,2341,0.0339502137344955,1497,0.0786315997232761,3470
"Arochukwu",0.238024231290965,94,0.209774610836675,83,0.268097232986859,106
"Asa",0.336249204060023,7938,0.311471326543821,7352,0.36175200508211,8540
"Asari-Toru",0.834300831854594,27,0.595493545627511,19,0.957369105268993,31
"Askira/Uba",0.523381561263913,33659,0.452199777268367,28932,0.591649225153904,38170
"Atakumosa East",0.425165429351859,445,0.39313491484864,411,0.457656489133699,479
"Atakumosa West",0.363542486907858,487,0.331775048087203,444,0.396213743090785,530
"Atiba",0.296590790327672,4700,0.26483946249766,4238,0.329876080742723,5175
"Atisbo",0.229575779468232,5808,0.196293559422317,4992,0.265619197068036,6688
"Augie",0.0437985651755163,2662,0.0279315516913793,1697,0.0651643748451799,3962
"Auyo",0.252355234477457,5602,0.212888300250987,4724,0.294881230396707,6551
"Awe",0.340378372916308,16410,0.316128994489219,15252,0.365193971974284,17594
