"state","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Abadam",0.983394961908305,103344,0.966417377542466,101536,0.99307152876725,104375
"Abaji",0.300500626980941,9212,0.275552126413279,8446,0.326379022807451,10007
"Abak",0.146454045598858,45,0.106212166301281,32,0.195207820300625,60
"Abakaliki",0.291407678234686,1127,0.265642035466853,1029,0.318231255325141,1230
"Abeokuta North",0.60814181050949,2219,0.548837921015867,2001,0.665126862965104,2428
"Abeokuta South",0.571046652783744,293,0.513186490090178,263,0.627504303729909,322
"Abi",0.264204996325242,224,0.23557466748905,200,0.293884920433149,249
"Aboh-Mbaise",0.244110727298296,75,0.196062520533508,60,0.297665897570025,91
"Abua/Odual",0.415967114691973,47,0.150746355891749,17,0.748392829969605,82
"Abuja",0.268466557740435,15249,0.245582127630395,13948,0.292357622659896,16607
"Adavi",0.516720646806231,6182,0.486306685183836,5816,0.546959142014367,6545
"Ado",0.29192067354499,1373,0.269863201134847,1272,0.314796959850924,1477
"Ado Odo/Ota",0.741124522519001,2082,0.651524686189783,1829,0.817675787532446,2299
"Ado-Ekiti",0.529276849998603,151,0.496762119568089,142,0.5615422058644,161
"Afijio",0.385982252655431,2001,0.35393602615641,1834,0.418833371138436,2171
"Afikpo North",0.220434234921983,181,0.196824776437977,161,0.245454172662732,201
"Afikpo South",0.195049621879231,103,0.174048192131991,92,0.217481041749223,113
"Agaie",0.309238274812817,14713,0.28600121764368,13597,0.332982739353091,15855
"Agatu",0.465536861750753,4673,0.434209064961532,4368,0.49663326977265,4972
"Aguata",0.25697775853047,130,0.233740997465237,118,0.281269350220005,142
"Agwara",0.17422129909863,5364,0.141750007879532,4279,0.208854979567654,6573
"Ahiazu-Mbaise",0.225838406547216,41,0.200663885008214,37,0.252573368170182,46
"Ahoada East",0.326502136429494,13,0.117086941598746,5,0.613771305819704,24
"Ahoada West",0.345196785481721,25,0.111096881182923,8,0.660436744231871,47
"Aiyedade",0.396497425793376,1284,0.364918768097833,1180,0.428760402531704,1390
"Ajaokuta",0.552752184057089,9341,0.51918432755452,8775,0.585432135165918,9892
"Ajingi",0.229411094476303,4650,0.200892114361425,4069,0.259913987316125,5270
"Akamkpa",0.121042119738374,78,0.0994366474016653,64,0.145416060054825,93
"Akinyele",0.357529193470543,1258,0.329345799045976,1156,0.386535169246626,1363
"Akko",0.268809074707215,29317,0.244590136490954,26639,0.294132902721752,32120
"Akoko North-East",0.531445045536358,467,0.502759718785079,442,0.559968384061975,491
"Akoko North-West",0.514807472900296,251,0.482714654129296,236,0.546737789150292,267
"Akoko South-East",0.474449574161766,81,0.443930940473185,76,0.505117750727446,87
"Akoko South-West",0.488903477257096,179,0.46062175561714,168,0.517270990589019,190
"Akoko-Edo",0.511949882523291,2496,0.483287659380767,2355,0.540547510850051,2636
"Akpabuyo",0.264574781277755,42,0.226986298309079,33,0.302626456482949,51
"Akuku-Toru",0.848807489819018,75,0.603042713997918,54,0.971421877467322,86
"Akure North",0.512056999282524,172,0.479777709108406,160,0.544157754722399,183
"Akure South",0.477857650801883,115,0.445907025200559,107,0.509906411110933,123
"Akwanga",0.423440666109664,6341,0.398332443958492,5964,0.448860861310372,6723
"Albasu",0.23967474287632,2254,0.214722526417647,2019,0.266025567573031,2501
"Aleiro",0.0428479276248638,398,0.0265828777921016,247,0.0651288070319499,605
"Alimosho",0.647972084373577,138,0.542500609957991,116,0.743629773748254,158
"Alkaleri",0.382722904351348,40258,0.355150333322743,37208,0.410759691216972,43401
"Amuwo Odofin",0.706323086954199,173,0.600161607400593,147,0.798263789376189,196
"Anambra East",0.442953922006664,747,0.409350049907016,691,0.476245899164627,803
"Anambra West",0.534890530292518,1922,0.501302151381036,1802,0.567286150830904,2038
"Anaocha",0.320616559194406,142,0.295065199819204,130,0.346979604421496,153
"Andoni",0.532676549615895,23,0.321620548414395,15,0.745373511314659,30
"Aninri",0.284157058326816,373,0.25967963442228,341,0.309577602705037,407
"Aniocha North",0.410388553204803,326,0.38081824039259,302,0.44017101405661,349
"Aniocha South",0.362920338816169,601,0.330290139736457,547,0.396566758282665,656
"Anka",0.0984370219692366,7185,0.0701778318050885,5117,0.133479244358798,9751
"Ankpa",0.316128147207191,4127,0.290713956339918,3794,0.342501674124717,4473
"Apa",0.410355606372139,2308,0.3855846686309,2169,0.435534617554063,2450
"Ardo-Kola",0.11995635935996,6823,0.104181523325703,5945,0.137255681828032,7783
"Arewa Dandi",0.0320695011164157,6116,0.0166244979754957,3175,0.0558431899154878,10639
"Argungu",0.0339121566317551,1485,0.0199814820145939,874,0.0536880054858639,2352
"Arochukwu",0.144829068089174,57,0.123581207733102,49,0.168185821533189,66
"Asa",0.365594461171424,8613,0.34013569654928,8011,0.3916648735537,9229
"Asari-Toru",0.812633901431501,27,0.52581300886534,17,0.96091710194409,31
"Askira/Uba",0.65092412520554,42092,0.594102882871692,38355,0.701423435211506,45379
"Atakumosa East",0.394123750590427,414,0.363293631873969,382,0.425579216850546,447
"Atakumosa West",0.347056636989397,465,0.316304058003549,424,0.378775445671464,507
"Atiba",0.341151650132098,4959,0.308857552954873,4545,0.374726673636789,5383
"Atisbo",0.260555979425525,6449,0.224568736343937,5590,0.299187046682881,7368
