"state","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Kaura",0.307260092548897,7704,0.282554300282935,7093,0.332808185576301,8335
"Kaura Namoda",0.0475827689286405,1316,0.0328704461563549,907,0.0664359843996303,1840
"Kauru",0.28537601438745,28167,0.269292586064252,26578,0.301873916090777,29797
"Kazaure",0.133837450487653,1445,0.101644040903056,1099,0.172469848190282,1860
"Keana",0.351481241745498,6397,0.325900159400072,5932,0.377686202877898,6874
"Kebbe",0.0951686285652297,7049,0.0653834199436914,4837,0.132789797054727,9847
"Keffi",0.326600326831925,1088,0.307992422010054,1026,0.345621972071688,1152
"Khana",0.173458849996565,26,0.0615191567411526,9,0.345461804500678,53
"Kibiya",0.238537442268057,2730,0.213945145969239,2449,0.264509829332469,3028
"Kirfi",0.282018935090124,21690,0.257776032842419,19802,0.307264778205906,23657
"Kiri Kasama",0.185246868977738,4843,0.131235615070376,3422,0.24984620219278,6544
"Kiru",0.210026216964327,3826,0.190398013939742,3470,0.230693451272724,4201
"Kiyawa",0.191075760467852,6891,0.169668358974421,6116,0.213942591732386,7720
"Kogi",0.395125551933906,9179,0.361691124143414,8414,0.428418144515133,9944
"Koko/Besse",0.0991126984651814,4663,0.0641195333358143,3018,0.144822401084775,6812
"Kokona",0.39438151700467,12682,0.371953616904246,11962,0.417138029540431,13413
"Kolokuma/Opokuma",0.196427511309662,17,0.0423712151755177,4,0.469595198056088,41
"Konduga",0.680110626817081,93589,0.619432707992459,85314,0.732406542820397,100725
"Konshisha",0.307791472372612,2330,0.287963304663158,2179,0.328176619550713,2486
"Kontagora",0.121054517124,5683,0.103664736839658,4867,0.140202086707554,6581
"Kosofe",0.600314514423179,0,0.505386533803499,0,0.690034830187474,0
"Kubau",0.233848385095826,21734,0.217525893758166,20227,0.25079918905356,23298
"Kudan",0.15588037197746,3629,0.144193357637041,3357,0.168122901848804,3914
"Kuje",0.331689093845463,12272,0.311148864367117,11511,0.352748244782609,13053
"Kukawa",0.970635034569455,77656,0.947713335769239,75803,0.985264164665928,78840
"Kumbotso",0.189358091969416,1104,0.164261328216983,958,0.216485875905083,1262
"Kunchi",0.153191638332362,3963,0.132270653444058,3418,0.176027263749946,4557
"Kura",0.202283632435889,1407,0.180551664976073,1256,0.225401019568868,1568
"Kurfi",0.0709700760028971,1061,0.0561183281195036,839,0.0883146667541351,1321
"Kurmi",0.0552015059626102,2037,0.0421472980703277,1563,0.0709039978556484,2607
"Kusada",0.118265422723413,1618,0.102718043014383,1406,0.135254847573875,1851
"Kwali",0.28761473919529,10735,0.266682525636176,9937,0.309261829594737,11561
"Kwami",0.279665005794001,17877,0.248023875096965,15902,0.312338527189635,19922
"Kwande",0.151897719410379,2378,0.134868786919295,2119,0.170219387363239,2654
"Kware",0.0193376170505335,417,0.0103722298184163,224,0.0328887577679543,709
"Kwaya Kusar",0.263908476962999,4474,0.237081376373011,4018,0.29208689165056,4954
"Lafia",0.372191920308069,22275,0.345673536952003,20678,0.39927941707817,23908
"Lagelu",0.307876044033905,358,0.287689336113914,335,0.328630556472277,382
"Lagos Island",0.726816152318848,69,0.626141398398217,61,0.809879675937184,76
"Lake Chad",0.98625173265002,5265,0.974005236376176,5200,0.993670059381036,5305
"Lamurde",0.140658489515796,4232,0.122083076560165,3678,0.160904888743868,4834
"Langtang North",0.298142724912476,8623,0.275314874956378,7974,0.321769675141458,9294
"Langtang South",0.228500607899959,7558,0.204976383259067,6780,0.253359345010763,8380
"Lapai",0.305885186190016,18533,0.284639071239958,17235,0.327734476285408,19868
"Lau",0.135781447493551,6658,0.118309027292126,5804,0.154774446589087,7586
"Lavun",0.230213332506369,20432,0.208655134987391,18497,0.252853613190301,22464
"Lere",0.269638561548491,25630,0.253889989701736,24128,0.285841821518617,27175
"Logo",0.262802805851671,3535,0.24025843727661,3232,0.286312630379651,3852
"Lokoja",0.40661204512854,18073,0.380965634631872,16906,0.432570259003938,19256
"Machina",0.147045303804152,8017,0.0767042014393539,4221,0.246155895806677,13362
"Madagali",0.766262947878715,18331,0.604811513916488,14413,0.885295444098835,21204
"Madobi",0.207141578067064,1893,0.185489711342462,1695,0.230116784180474,2103
"Mafa",0.928681948348619,67407,0.891470919110133,64716,0.955645350539139,69353
"Magama",0.114607060559491,10135,0.0973176361953768,8627,0.133799620573274,11806
"Magumeri",0.475895796960903,80810,0.376424558238291,63601,0.579147745463996,98722
"Mai'Adua",0.0841821683198759,3120,0.0340353264594001,1256,0.170196585886697,6325
"Maiduguri",0.573901480731477,2586,0.533883719301566,2405,0.613233635018138,2763
"Maigatari",0.129019124880749,8491,0.0935124584662656,6137,0.171890441418636,11338
"Maiha",0.718166449658109,8043,0.591033177501901,6579,0.824239696831803,9275
"Maiyama",0.0863765679555835,4635,0.0533234813934581,2860,0.130967704162286,7031
"Makarfi",0.166689891817686,4445,0.154226150187798,4112,0.179734303880925,4792
"Makoda",0.147396712854009,2184,0.12588120872907,1863,0.171078759227336,2537
"Makurdi",0.40166886387054,2837,0.372253041596904,2633,0.430745724040017,3040
