"state","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Abadam",0.788325824449416,82731,0.635092593947092,66588,0.898737678323494,94391
"Abaji",0.31404755455792,9633,0.285055074778796,8738,0.344185023327546,10564
"Abak",0.257652340370865,78,0.197768479749174,60,0.322529228732875,98
"Abakaliki",0.363171670705256,1396,0.330365048045771,1269,0.396950691835041,1526
"Abeokuta North",0.675570852269507,2470,0.619942235208472,2265,0.727704563159959,2662
"Abeokuta South",0.63951894441166,328,0.583418681027819,299,0.692952188114427,355
"Abi",0.338741889806377,290,0.304667766079055,260,0.373440256436861,320
"Aboh-Mbaise",0.327245948197356,100,0.272138003906657,83,0.384099347533751,118
"Abua/Odual",0.453792795446485,51,0.181081739068474,21,0.750956445378703,83
"Abuja",0.293626785084122,16965,0.26599177772129,15358,0.322511315915785,18645
"Adavi",0.477729490625732,5716,0.436442659711452,5216,0.519211590086444,6219
"Ado",0.316775141451684,1489,0.291647207471638,1375,0.342792054450859,1606
"Ado Odo/Ota",0.861377303985846,2420,0.802581314501575,2250,0.907792650079666,2554
"Ado-Ekiti",0.404529518725647,115,0.372310959592446,105,0.43738493531164,124
"Afijio",0.291880576828389,1505,0.262017967409603,1347,0.323174192940239,1671
"Afikpo North",0.279293042707462,225,0.25107343764022,202,0.30886887073663,250
"Afikpo South",0.27989971999976,144,0.25486275895128,132,0.306099000486102,156
"Agaie",0.300297469783829,14351,0.274108919197363,13090,0.327251635567625,15651
"Agatu",0.43196738562253,4368,0.394512023481941,4008,0.469673729494622,4728
"Aguata",0.318489492498416,161,0.292456678364481,148,0.345401905722981,175
"Agwara",0.161805077711466,4906,0.132557034963155,3964,0.19251351919989,5944
"Ahiazu-Mbaise",0.326985597883781,60,0.295136896502619,54,0.36000321917676,66
"Ahoada East",0.336455629956187,13,0.129025820743648,5,0.594242679204569,24
"Ahoada West",0.376671294910944,27,0.134739268306117,10,0.660867395158822,47
"Aiyedade",0.401791779746993,1274,0.370755939920666,1172,0.433423489690997,1378
"Ajaokuta",0.52278369518479,8841,0.483270967715524,8178,0.561612277294156,9492
"Ajingi",0.190096656955496,3853,0.164433950314639,3331,0.217911788113135,4419
"Akamkpa",0.236495752097724,156,0.201618803458566,134,0.274227397409409,181
"Akinyele",0.317184434758718,1139,0.2904701987008,1041,0.344884068016671,1240
"Akko",0.329418111188028,36323,0.301056983372579,33162,0.358762272330574,39595
"Akoko North-East",0.437260993836564,386,0.396697010631854,349,0.478442000128877,423
"Akoko North-West",0.407050999708484,200,0.364229782080739,179,0.450842668703258,222
"Akoko South-East",0.39055216513084,66,0.342600803652987,58,0.440212374969198,75
"Akoko South-West",0.400412292272346,146,0.362812495442215,132,0.438956636975322,160
"Akoko-Edo",0.437596037911368,2138,0.395620646860732,1935,0.480323895958032,2346
"Akpabuyo",0.411586994695318,81,0.336781884598822,67,0.466819001967298,95
"Akuku-Toru",0.89427828500692,79,0.710018791768234,63,0.979131371738498,86
"Akure North",0.421406407478425,140,0.387875932114231,129,0.45543018696746,151
"Akure South",0.41618859187797,97,0.383981848152343,90,0.448926485492662,105
"Akwanga",0.459507846483646,6901,0.430084846190731,6459,0.489156497337896,7346
"Albasu",0.194967933262775,1831,0.172197553336476,1618,0.21934828569518,2061
"Aleiro",0.0634975081892866,590,0.0425237174547854,395,0.0907029500729778,843
"Alimosho",0.807808390054524,172,0.731364572316586,156,0.870145961055367,185
"Alkaleri",0.402651501189907,47533,0.373817799372699,44215,0.43197893867985,50917
"Amuwo Odofin",0.817541850033544,200,0.738490741060489,181,0.880551348297293,216
"Anambra East",0.450082956715792,755,0.416881871828019,700,0.482828528454249,810
"Anambra West",0.517675924753897,1854,0.483538109212961,1732,0.550684886195211,1973
"Anaocha",0.374129581035477,165,0.344342604891456,152,0.404625833939305,179
"Andoni",0.737496796439707,30,0.532046711192453,23,0.892049671280499,35
"Aninri",0.328159450763039,431,0.300782808846274,395,0.356397901809984,468
"Aniocha North",0.404728577640692,323,0.373947153339871,299,0.435968888996518,347
"Aniocha South",0.399049559861075,646,0.364347578639853,590,0.434459648208476,704
"Anka",0.128910012582864,9465,0.0992111041435523,7277,0.163818395399834,12038
"Ankpa",0.28453865290944,3710,0.25240508668148,3294,0.318475611874511,4150
"Apa",0.365151793209303,2057,0.332065330035233,1870,0.399294148053309,2249
"Ardo-Kola",0.119845852949702,6942,0.104185331370388,6055,0.137023059036848,7912
"Arewa Dandi",0.0481261948460011,9346,0.0277125137934131,5393,0.0775412697283351,15034
"Argungu",0.0552825219430837,2440,0.0359104881432122,1584,0.0809849940600201,3576
"Arochukwu",0.236809151472633,93,0.208776932045066,82,0.26665788126111,105
"Asa",0.310272850616742,7293,0.286279107253915,6728,0.335087665481829,7877
"Asari-Toru",0.848444938857958,28,0.60302875871914,20,0.964441951279018,31
"Askira/Uba",0.551211117509515,35614,0.480372915684521,30925,0.617722454606218,39986
"Atakumosa East",0.363746650189066,379,0.333507245979272,348,0.394791610351617,412
"Atakumosa West",0.307927132233602,412,0.278406657622761,373,0.33864930265508,453
"Atiba",0.259760788660267,3835,0.230017245377841,3424,0.291308375067732,4265
"Atisbo",0.21535874357754,5407,0.182928127246231,4615,0.250682354511168,6266
"Augie",0.057536885177144,3512,0.0389043997105811,2375,0.0816246867074083,4981
"Auyo",0.154647381878024,3373,0.121804725331538,2647,0.191928058444841,4199
"Awe",0.295748447370791,14263,0.272888400543604,13174,0.319333968629903,15386
"Awgu",0.301483734141673,541,0.271877266909236,488,0.332438369000786,596
"Awka North",0.364688474748117,720,0.338842766273288,669,0.391129691096126,772
"Awka South",0.288746233306224,358,0.262732319129871,326,0.31584021430186,392
"Ayamelum",0.384007691632292,1140,0.351896788368577,1045,0.416882083190303,1238
"Ayedire",0.279220478453331,186,0.252022679517588,168,0.307665432237233,205
"Babura",0.127323360522828,5324,0.101324317228693,4203,0.157299160409502,6623
"Badagry",0.889023314621326,647,0.834128034009613,609,0.930924871347015,677
"Bade",0.0775008310639162,2551,0.0359286497419331,1181,0.14177487704072,4670
"Bagudo",0.0792607702411583,10780,0.0526035235309289,7149,0.113825713556744,15492
"Bagwai",0.165585532892007,1568,0.147947051963125,1401,0.184418327494471,1746
"Bakori",0.154367530803554,3595,0.140517270095794,3272,0.169015846732622,3936
"Bakura",0.105375390282482,7870,0.074770736130636,5578,0.143188643651358,10704
"Balanga",0.231849420494028,14243,0.207198945909851,12729,0.257930265108389,15845
"Bali",0.0787514521737795,11608,0.0645466818383264,9552,0.0950292029118418,13956
"Bama",0.936292638483802,93063,0.816877011609549,81023,0.986219809625272,98090
"Barkin Ladi",0.324052157379235,21458,0.300119331395187,19869,0.348494258891109,23082
"Baruten",0.168825462523299,20066,0.139717461055781,16624,0.201296661921824,23904
"Bassa",0.365684034432583,36659,0.335620089239461,34001,0.396386417508756,39377
"Batagarawa",0.158759820225828,3505,0.133335002777493,2945,0.186877501895909,4124
"Batsari",0.135706380568508,3866,0.112324980299292,3200,0.161919491047982,4613
"Bauchi",0.330094984643609,47487,0.308684232153989,44399,0.352062664740573,50659
"Baure",0.13105218858879,5927,0.0835532632101226,3702,0.192533104362272,8833
"Bayo",0.378163270071463,8283,0.346961428485778,7598,0.410108326776183,8985
"Bebeji",0.226727204660477,4145,0.20621038637426,3769,0.247400246871971,4529
"Bekwarra",0.242834798133569,150,0.223305078111048,139,0.263223097630607,163
"Bende",0.244811808617188,165,0.218460964058742,147,0.272707192721414,183
"Biase",0.274962101770894,127,0.242471209295018,112,0.309305649942619,142
"Bichi",0.211618040249684,3031,0.187830171566327,2689,0.235325267532452,3374
"Billiri",0.291092117740014,10532,0.26657669593073,9642,0.316530590412923,11455
"Bindawa",0.152059019402233,2182,0.132468411614786,1901,0.173321221898404,2486
"Binji",0.0616395194108514,1214,0.0415413465179908,821,0.087628076808585,1722
"Biriniwa",0.0678978006692044,5999,0.0373774743931382,3282,0.111586689716166,9911
"Birnin Gwari",0.206957864582817,36209,0.184518965546562,32349,0.230832761328015,40316
"Birnin Kebbi",0.0573233335058023,2717,0.0363318283910621,1721,0.0856260369606721,4061
"Birnin Kudu",0.22879877761503,9620,0.203038883880611,8537,0.256175897972512,10770
"Birnin-Magaji/Kiyaw",0.134244067262108,6317,0.108609301959624,5108,0.163425485784157,7694
"Biu",0.364115223682695,28173,0.327897907731288,25339,0.401484205729587,31100
"Bodinga",0.0778414882839424,1161,0.0549980082984649,820,0.10627101678249,1583
"Bogoro",0.34897168098,11616,0.325222660796498,10813,0.373330952094715,12441
"Boki",0.169733076248077,175,0.144395923940046,150,0.197553283926278,203
"Bokkos",0.352709956527805,28532,0.325467712598176,26415,0.380736452692643,30707
"Boluwaduro",0.29582117395192,223,0.271484718152298,205,0.321071672972776,242
"Bomadi",0.579944955135238,162,0.219774207854155,61,0.869728615290024,243
