"state","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Abadam",0.66583021043816,69857,0.519246670317139,54442,0.792772949645252,83228
"Abaji",0.276505306556355,8415,0.256474344551239,7801,0.297227263849248,9051
"Abak",0.229790887415739,70,0.173404977105128,53,0.291850869518736,89
"Abakaliki",0.298997404637346,1134,0.272990600979059,1034,0.326011193213608,1238
"Abeokuta North",0.655237262398895,2419,0.599840425938548,2217,0.707565994080469,2610
"Abeokuta South",0.543591621401569,279,0.492125278726869,252,0.594404828012919,305
"Abi",0.215266350027964,181,0.196423513539966,164,0.235052644183639,197
"Aboh-Mbaise",0.302726772997472,92,0.248924333526798,76,0.358535433169677,109
"Abua/Odual",0.349803740808039,38,0.0928108747282643,10,0.685203595776897,75
"Abuja",0.313474740385653,18307,0.286985658331828,16711,0.340809811313445,19954
"Adavi",0.489357900392576,5897,0.452176830384366,5447,0.526586263804614,6347
"Ado",0.309891408017121,1425,0.288102751872888,1326,0.332316817271831,1528
"Ado Odo/Ota",0.828466789608247,2326,0.76030106924371,2130,0.883580942228005,2484
"Ado-Ekiti",0.360167548822141,98,0.334089239708501,91,0.386841709999239,105
"Afijio",0.288896236179775,1465,0.262562850082265,1325,0.316319357815796,1610
"Afikpo North",0.211857403758373,168,0.194205664923854,154,0.230350635012903,183
"Afikpo South",0.240745161896145,119,0.220702030490825,109,0.261681247559205,129
"Agaie",0.23930674630121,11444,0.219078012631157,10463,0.260427453327098,12469
"Agatu",0.409255110693309,3931,0.377006157277041,3624,0.442088510727088,4244
"Aguata",0.29539181710293,149,0.273874590388607,139,0.317554396630464,161
"Agwara",0.104824376960106,4090,0.0841459226398924,3282,0.12864163196691,5020
"Ahiazu-Mbaise",0.293092435843666,53,0.265021830242812,48,0.32225963477585,59
"Ahoada East",0.316336221920909,13,0.11085221889573,4,0.583916732388857,23
"Ahoada West",0.37311618848415,26,0.125646656993768,9,0.670078364284339,48
"Aiyedade",0.418756281843138,1336,0.393266579718669,1253,0.444526338207658,1420
"Ajaokuta",0.457309412538619,7750,0.422760095652931,7169,0.492098449691029,8335
"Ajingi",0.195279492386451,3951,0.17292652248893,3499,0.219175386899691,4435
"Akamkpa",0.185235815837798,125,0.161098634590969,109,0.211339419431137,143
"Akinyele",0.34239865494831,1204,0.32015658975156,1124,0.365179789402861,1285
"Akko",0.31508918717353,34834,0.290454209874295,32091,0.34050907437301,37666
"Akoko North-East",0.454459373887441,407,0.4185851905117,375,0.490644388791077,439
"Akoko North-West",0.41866321340967,206,0.382434690771078,189,0.455516256789668,224
"Akoko South-East",0.445709880913755,77,0.402703114763004,70,0.489331466104119,85
"Akoko South-West",0.421313800856721,153,0.387185013266392,141,0.456013999274262,166
"Akoko-Edo",0.45979752763882,2243,0.422829305035861,2062,0.497099589860235,2425
"Akpabuyo",0.289792698762409,59,0.242260885196115,47,0.341840406383476,72
"Akuku-Toru",0.373508978202297,33,0.0809732035034031,7,0.747784157998447,65
"Akure North",0.397765520543269,132,0.369852851275457,122,0.426158462480536,141
"Akure South",0.403948467282254,93,0.376252304870943,87,0.432090676909147,100
"Akwanga",0.443449346475288,6664,0.417497808431976,6273,0.469592042685995,7058
"Albasu",0.219215146156776,2066,0.198132225563077,1867,0.241436288004807,2275
"Aleiro",0.0541285892220056,505,0.0347762033328409,324,0.0799463932050219,745
"Alimosho",0.656818815443979,165,0.561188547917887,147,0.744599646172947,179
"Alkaleri",0.377535039000433,44902,0.353898341462589,42088,0.401594624786101,47776
"Amuwo Odofin",0.772712697847947,189,0.684534673327178,168,0.84567639973461,207
"Anambra East",0.287064703809133,502,0.26896518226362,470,0.305679552012588,534
"Anambra West",0.295664847367897,1065,0.275431470817047,992,0.316510320547592,1141
"Anaocha",0.330892437664442,146,0.302698715711694,134,0.36002752584507,159
"Andoni",0.401146533891823,15,0.142288795368335,5,0.698289923941911,26
"Aninri",0.248246182244029,328,0.229834860112596,303,0.267364300782948,353
"Aniocha North",0.353989667707288,284,0.334509767413867,268,0.373840109380926,299
"Aniocha South",0.355698966802817,580,0.331454801583609,542,0.380322709531936,618
"Anka",0.0634956649351027,4625,0.0487612445431134,3547,0.0810824111593226,5913
"Ankpa",0.322332315383395,4205,0.295270194204372,3856,0.350309932825506,4565
"Apa",0.381968468807817,2145,0.351613332988,1975,0.413026656751782,2320
"Ardo-Kola",0.114819980912532,6678,0.100480806319652,5854,0.130443495263394,7573
"Arewa Dandi",0.0377715808822646,7198,0.020426583534166,3901,0.0636213777591872,12106
"Argungu",0.0362102980225232,1605,0.0225025411288528,997,0.055010023838142,2440
"Arochukwu",0.202908186811849,81,0.182600254290408,73,0.224417084664615,89
"Asa",0.292708975812382,6882,0.273235835684018,6425,0.312749967591793,7353
"Asari-Toru",0.321952576366316,10,0.0865878795910292,3,0.644354290681318,21
"Askira/Uba",0.584740791231055,38251,0.5226323307492,34175,0.641365263005189,41926
"Atakumosa East",0.371153832574051,387,0.346659051379761,362,0.396125845221309,413
"Atakumosa West",0.335785828272332,451,0.31262043115959,419,0.359538185069472,483
"Atiba",0.255037935757241,3450,0.228172444560913,3079,0.28333448786317,3841
"Atisbo",0.243744637035512,6010,0.211041166254058,5199,0.278754104469622,6880
"Augie",0.0298022082660944,1821,0.0190681930268494,1164,0.0442799567357343,2707
"Auyo",0.157996361201536,3563,0.127970569685047,2883,0.191788314019164,4329
"Awe",0.291906855159674,13990,0.27091473054892,12992,0.31353870245343,15019
"Awgu",0.243362171686309,436,0.221872323973835,397,0.265654087926393,476
"Awka North",0.32711377721709,640,0.304156390689474,594,0.350634196142064,687
"Awka South",0.296810484155346,374,0.272229286987068,342,0.322222066767306,407
"Ayamelum",0.293787891702579,871,0.274439169501182,814,0.313702561411385,930
"Ayedire",0.325739711308062,217,0.302140879962654,201,0.350001850155308,233
"Babura",0.13331257540353,5647,0.10708202304768,4497,0.163300965506753,6965
"Badagry",0.833380941535457,604,0.754049531644607,546,0.895123440772091,649
"Bade",0.0962704324828899,3157,0.0499820101619047,1637,0.163632593612221,5370
"Bagudo",0.1033827547191,13897,0.0681129626878805,9135,0.149004920287386,20078
"Bagwai",0.152917611933652,1449,0.137012718654211,1298,0.169898083621338,1610
"Bakori",0.144769433194254,3387,0.132784065652876,3107,0.157395406143819,3681
"Bakura",0.0343384521887498,2551,0.023163214116975,1719,0.0488898254500092,3636
"Balanga",0.198221432272711,12156,0.178847125020826,10974,0.218696567946574,13406
"Bali",0.0743788701155784,10662,0.0616085172670341,8846,0.0888572448149435,12719
"Bama",0.928437135347632,92329,0.792187465446025,78677,0.984542756032064,97936
"Barkin Ladi",0.230722555182697,15310,0.215852971362094,14317,0.246112020604372,16338
"Baruten",0.192040504338144,22694,0.161178257129443,19061,0.22587572266095,26674
"Bassa",0.33539888312845,32108,0.311740001335978,30093,0.35954039100745,34166
"Batagarawa",0.0886633413653231,1963,0.0718951486817364,1593,0.107824626459167,2387
"Batsari",0.0606256580572136,1725,0.0481845012074149,1372,0.0751352423416413,2138
"Bauchi",0.303179708144016,43739,0.287200529822533,41430,0.31950793163914,46100
"Baure",0.138042632069726,6760,0.0878968118802113,4245,0.202398899280309,9960
"Bayo",0.354252256024221,7770,0.324366351861209,7113,0.384889353066054,8442
"Bebeji",0.208066278816241,3967,0.18973625463698,3622,0.227311064293852,4330
"Bekwarra",0.246307816887795,151,0.228761013531714,140,0.264501722821299,162
"Bende",0.207705129361102,139,0.189640310302174,127,0.226685506623489,152
"Biase",0.208761336855051,95,0.186589966704241,85,0.232314904626015,106
"Bichi",0.146313963170118,2160,0.129430227285155,1911,0.164489705534749,2428
"Billiri",0.271494043759868,9841,0.249957333454369,9060,0.293827256018462,10651
"Bindawa",0.0915523770768621,1315,0.0779907913813105,1120,0.106607671912988,1531
"Binji",0.0175537679750418,345,0.0109776921880767,216,0.0266066370209123,523
"Biriniwa",0.0807378784206322,7150,0.0479774979769864,4224,0.125972316483486,11211
"Birnin Gwari",0.186801277505566,32690,0.167688625485817,29421,0.207105015330646,36158
"Birnin Kebbi",0.0474880885725011,2281,0.028923830920148,1388,0.0731937849915718,3518
"Birnin Kudu",0.240904912665392,10097,0.220361168854803,9237,0.262358476515153,10996
"Birnin-Magaji/Kiyaw",0.0654892908150056,3076,0.052375290893133,2459,0.0807216971923167,3793
"Biu",0.303244017163554,23376,0.272810212171425,20997,0.334989849185031,25861
"Bodinga",0.0260238153266582,390,0.0172027465781454,258,0.0376772310005327,564
"Bogoro",0.308946953123204,10280,0.291977747153173,9712,0.3262281303877,10859
"Boki",0.171392137232142,178,0.151560587259375,158,0.19270110356231,200
"Bokkos",0.291931178223425,22868,0.272700890429888,21313,0.311721498859798,24473
"Boluwaduro",0.258044327553066,194,0.241865533876163,182,0.274723682377383,206
"Bomadi",0.510999488183323,143,0.160189524719589,45,0.839655795226961,234
"Bonny",0.521839998931386,33,0.265199244840474,11,0.793757476629259,57
"Borgu",0.139994643519769,20427,0.116829994209802,16672,0.166107584528502,24726
"Boripe",0.283107860373821,279,0.266515511558491,262,0.300138697589393,295
"Borsari",0.0654154081977891,10295,0.0292934989150039,4593,0.124371205621003,19628
"Bosso",0.203323376835162,9975,0.184495832586672,9052,0.223162811835147,10947
"Brass",0.501015603426271,115,0.201155497661649,49,0.852810661245951,196
"Buji",0.224240721756967,4889,0.204170334229014,4449,0.245306241406712,5350
"Bukkuyum",0.0423070893007707,4167,0.0317768641769746,3131,0.0551321886179243,5429
"Bukuru",0.243060374970425,3415,0.222528082885113,3127,0.264421279559085,3714
