"region","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Addis Abeba",0.35219281788492,0,0.313668912909312,0,0.392432391208954,0
"Afar",0.119595317603528,0,0.0702405423639028,0,0.21094387794397,0
"Amhara",0.383430753478106,30538,0.358551237468356,29236,0.408728530994643,31866
"Benshangul-Gumaz",0.428465945642822,154024,0.410913115680473,149755,0.446112048712464,158299
"Dire Dawa",0.366829858581654,0,0.000229584419141832,0,0.99648325715439,0
"Gambela Peoples",0.297013662000282,99143,0.275863333788824,93414,0.319706718438754,105516
"Harari People",0.353481232201726,0,8.61361507382923e-05,0,0.997819897738817,0
"Oromia",0.39479818393901,1128666,0.308257319723389,1088289,0.524865634868342,1163944
"Somali",0.392964728229415,6482,0.037824038187898,5355,0.980913988141212,6907
"Southern Nations, Nationalities",0.38795614701849,2072987,0.367939265995674,1914984,0.407073821156016,2218304
"Tigray",0.160069076562459,0,0.115972611295896,0,0.244210832750208,0
"Total",0.357556212596718,3491839,0.222613475675318,3281033,0.574029663734786,3684836
