"region","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Addis Abeba",0.272738413721604,0,0.228750702898097,0,0.321971447750169,0
"Afar",0.27388810376061,0,0.151482347046456,0,0.456548656851307,0
"Amhara",0.400169270251306,35815,0.372995346983605,34151,0.427770049353271,37492
"Benshangul-Gumaz",0.445139269872627,157949,0.426505632310913,153286,0.463903419477986,162619
"Dire Dawa",0.391044670242777,0,0.00102148531482168,0,0.993422859449356,0
"Gambela Peoples",0.322497590889894,107419,0.297012451137615,100334,0.351085210092369,115389
"Harari People",0.338872858500492,0,0.000298785948460151,0,0.993229754315421,0
"Oromia",0.388511738193422,1087210,0.300245189913621,1042456,0.514289683968953,1127176
"Somali",0.416594916370629,6476,0.0424877976924047,5363,0.982026753973628,6903
"Southern Nations, Nationalities",0.368614513102347,1992195,0.347210930357907,1836290,0.389291251997807,2139684
"Tigray",0.135940830209887,0,0.100926056936836,0,0.192660411539179,0
"Total",0.375426100246563,3387064,0.228703450916712,3171880,0.591287569333492,3589263
