"region","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Addis Abeba",0.206488533455087,0,0.176856310549319,0,0.239256484655355,0
"Afar",0.156377343602562,0,0.0883237354296633,0,0.267234063829393,0
"Amhara",0.389656426947323,31366,0.364778334113993,30195,0.414950410805628,32554
"Benshangul-Gumaz",0.407250798455959,146897,0.389574575257703,142637,0.425126947753962,151169
"Dire Dawa",0.34201551787312,0,5.49535668783349e-05,0,0.998115511838774,0
"Gambela Peoples",0.306026664001272,90701,0.285006123971536,85249,0.329282580066054,96943
"Harari People",0.313822758834636,0,1.27833714007963e-05,0,0.998598827491834,0
"Oromia",0.411414276083965,1023665,0.338257023631519,991338,0.538802149744855,1054608
"Somali",0.402118503854302,6920,0.0552550989802849,6747,0.990835004567853,6971
"Southern Nations, Nationalities",0.369446776173886,1974919,0.349143584219993,1813035,0.388261234749777,2120867
"Tigray",0.112345183460762,0,0.0885745257745643,0,0.14974264111642,0
"Total",0.363861925703735,3274468,0.234492368003705,3069201,0.579172141130829,3463112
