"region","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Addis Abeba",0.183736667907101,0,0.151545056182768,0,0.21999546752351,0
"Afar",0.181967330417944,0,0.0870383846338101,0,0.362632550366778,0
"Amhara",0.333038822712122,29180,0.308700489779771,27847,0.35814031424121,30541
"Benshangul-Gumaz",0.408604981950315,145636,0.390941721614096,141262,0.426461281373666,150027
"Dire Dawa",0.368154537192698,0,0.000668921541376363,0,0.992617123129085,0
"Gambela Peoples",0.282614860908812,93280,0.25534275371592,86902,0.315403195269558,100678
"Harari People",0.340417577772925,0,0.000254332932390617,0,0.994125076077385,0
"Oromia",0.374171186043184,1058436,0.286251465469112,1015340,0.501201281698613,1095947
"Somali",0.413307780213637,6299,0.0369567346583463,4909,0.978663677770893,6869
"Southern Nations, Nationalities",0.36639681344473,1977354,0.3464407183305,1826715,0.385711464907348,2117164
"Tigray",0.15220643847158,0,0.100021840963385,0,0.252290153577165,0
"Total",0.351206341238465,3310184,0.205951459962341,3102973,0.568890956992766,3501226
