"region","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Addis Abeba",0.21604452283239,0,0.185562147631658,0,0.249836121288216,0
"Afar",0.19711176914274,0,0.111797897045516,0,0.334785089925682,0
"Amhara",0.367056990834089,33641,0.342421642601594,32417,0.392226069978156,34880
"Benshangul-Gumaz",0.449384235680583,158138,0.431184081401842,153743,0.467694125413592,162533
"Dire Dawa",0.35772781334452,0,0.000102840100567913,0,0.99788951360037,0
"Gambela Peoples",0.314069655360095,107812,0.291066461957459,101577,0.338982690901901,114707
"Harari People",0.315307860583998,0,2.17369240671887e-05,0,0.998068480801605,0
"Oromia",0.417236946296943,1109336,0.342521739572232,1076187,0.541596382184686,1141242
"Somali",0.415791774922739,7450,0.0601108201867514,6956,0.991336168941997,7549
"Southern Nations, Nationalities",0.384041610588519,2093275,0.362489504953806,1928479,0.404204485968878,2241008
"Tigray",0.11325827051802,0,0.0851637409882832,0,0.161878222436689,0
"Total",0.372900115559175,3509652,0.238905241509863,3299359,0.586607844790014,3701919
