"state","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Abadam",0.647869480444066,8991,0.47123176559441,6947,0.800171921754533,10551
"Abaji",0.304571413095479,9353,0.275687528615541,8461,0.334669666406914,10283
"Abak",0.237745337404626,72,0.177565834258843,54,0.303372175397055,93
"Abakaliki",0.354852768601129,1367,0.320799551400994,1235,0.390002495722433,1503
"Abeokuta North",0.636548073943713,2324,0.577978483220178,2109,0.692013217383489,2527
"Abeokuta South",0.586373204828585,300,0.527685808890739,270,0.643309469193528,330
"Abi",0.323910886597539,276,0.287493308367245,245,0.360874128872084,308
"Aboh-Mbaise",0.312283933216695,96,0.254814887864437,78,0.371460867259035,114
"Abua/Odual",0.30555633163955,32,0.0726103416325701,8,0.722959020828173,64
"Abuja",0.276129662958666,15953,0.245947060532853,14177,0.308008443952646,17829
"Adavi",0.43070190127425,5154,0.390265243098033,4665,0.471832918310393,5652
"Ado",0.29161052657441,1367,0.267077990329944,1256,0.317142439140894,1482
"Ado Odo/Ota",0.774679531221448,2168,0.693175654711535,1936,0.84293415216784,2364
"Ado-Ekiti",0.401452860237138,112,0.368247868209196,103,0.435346785986072,122
"Afijio",0.371515322753026,1944,0.337899388436308,1764,0.406098154834188,2128
"Afikpo North",0.290295469072083,236,0.260864544415887,211,0.321087735470743,261
"Afikpo South",0.271201701725369,139,0.246112888012874,127,0.297518080510833,151
"Agaie",0.297477846036653,14267,0.269989139236747,12941,0.32567357144565,15628
"Agatu",0.394890748251874,3919,0.348386705911718,3428,0.44307485438445,4429
"Aguata",0.299447368370974,151,0.272420053968568,138,0.327540912656443,166
"Agwara",0.244856957897253,7213,0.196023379411161,5731,0.295723481560049,8880
"Ahiazu-Mbaise",0.312609692172718,57,0.279912183001745,51,0.346668743479226,63
"Ahoada East",0.313737589373453,12,0.106759793968107,4,0.582913469553721,23
"Ahoada West",0.332870519312707,24,0.100184381922655,7,0.631994232908857,45
"Aiyedade",0.423917439640242,1361,0.392141708575301,1257,0.456183953722784,1468
"Ajaokuta",0.475643159567041,8046,0.433071456921483,7330,0.517256377058777,8745
"Ajingi",0.325087696560356,0,0.290236357207522,0,0.361414078397318,0
"Akamkpa",0.235219461406075,157,0.200049416854661,134,0.273326213576272,182
"Akinyele",0.343516273713792,1213,0.315645332242048,1112,0.372262099736384,1317
"Akko",0.327987127725882,12669,0.299929035174634,11646,0.357018342568052,13726
"Akoko North-East",0.406864392222151,356,0.366914822161776,320,0.447734841450302,392
"Akoko North-West",0.379615196619508,186,0.337703959670413,165,0.422829857330854,207
"Akoko South-East",0.37055455150051,63,0.32389724193748,55,0.419171811793992,71
"Akoko South-West",0.387052645548883,140,0.349833262797938,126,0.425335107808081,154
"Akoko-Edo",0.409859712068392,1987,0.368521802706433,1786,0.452239567891881,2192
"Akpabuyo",0.285168606405616,74,0.20742039868233,60,0.49337275104386,103
"Akuku-Toru",0.0836430738055606,0,0.00792111256911193,0,0.986258241614347,0
"Akure North",0.437726569955354,145,0.403693405925857,133,0.472133763124305,156
"Akure South",0.428064891972992,101,0.395394554279512,93,0.461199695510613,108
"Akwanga",0.500069788754621,7513,0.470055179469915,7062,0.530070737604757,7964
"Albasu",0.308083812239968,0,0.2789676994972,0,0.338374111629904,0
"Aleiro",0.0849217813450217,0,0.0537861430638734,0,0.126312584851356,0
"Alimosho",0.656532383703631,143,0.552833607916825,122,0.750209856065233,162
"Alkaleri",0.405053648427215,42921,0.376336020627449,39965,0.434199613597299,45939
"Amuwo Odofin",0.667522503966344,164,0.55571902180535,136,0.766053585390821,188
"Anambra East",0.421842172144925,705,0.380277812705216,636,0.463085580029979,774
"Anambra West",0.342803472289675,1178,0.269695123707287,905,0.46117715972051,1629
"Anaocha",0.33817630605726,149,0.306372491489437,135,0.371072857880475,164
"Andoni",0.269583707352686,5,0.0923894878536775,2,0.887395929322937,8
"Aninri",0.334112645462758,439,0.306278247343673,402,0.362797201756416,476
"Aniocha North",0.435112283164301,345,0.403206586005171,320,0.467189228235502,370
"Aniocha South",0.436641882496742,700,0.399757700298135,641,0.473903060254574,761
"Anka",0.101508147693691,2417,0.072690282879887,1774,0.137130539790138,3196
"Ankpa",0.26211726388541,3408,0.231365349927095,3010,0.294769646214517,3830
"Apa",0.345977927951227,1948,0.313604508612923,1765,0.379517393386487,2136
"Ardo-Kola",0.137718025228935,2839,0.120955180890437,2498,0.155950582464932,3209
"Arewa Dandi",0.075827162581611,341,0.0403526666155021,170,0.128009442775335,596
"Argungu",0.0694678863469125,0,0.0418619839630769,0,0.107484070720361,0
"Arochukwu",0.24368003460022,96,0.214616887881777,84,0.274614348473121,108
"Asa",0.37299712028526,8785,0.346908815838259,8169,0.399680295713417,9416
"Asari-Toru",0.0457688529558798,0,2.67001514153308e-27,0,0.9917648425789,0
"Askira/Uba",0.618207048321479,1493,0.554407022992559,1364,0.676041245109259,1626
"Atakumosa East",0.388918220429296,406,0.3577871927664,373,0.420729071920003,440
"Atakumosa West",0.333893631339242,447,0.303245527017853,406,0.365610019461919,490
"Atiba",0.339325688344651,5019,0.304471464302057,4543,0.37560115867106,5507
"Atisbo",0.308541895152761,7857,0.268689606712751,6884,0.350703131905661,8882
"Augie",0.0527992066466882,0,0.0321982448537535,0,0.0811988828189587,0
"Auyo",0.168557384247761,0,0.125024675746643,0,0.226864521505401,0
"Awe",0.313496249984878,13948,0.28955415899466,12880,0.341265708474397,15233
"Awgu",0.294913739259198,530,0.263651482303178,474,0.327601378978636,588
"Awka North",0.345043597801309,680,0.317035901897312,624,0.373845520380043,737
"Awka South",0.256181076885544,310,0.228546630916425,275,0.285379529781755,346
"Ayamelum",0.348361062025495,1034,0.308170500946463,914,0.391385846273661,1163
"Ayedire",0.319437785854778,213,0.289715161910419,193,0.350276718274705,233
"Babura",0.217041824140673,0,0.178506176276129,0,0.259946133573037,0
"Badagry",0.710745945520801,512,0.51560960589973,363,0.84725657493878,616
"Bade",0.0620096395450177,0,0.030277447482834,0,0.110752159316977,0
"Bagudo",0.154613123711364,15802,0.101635265462155,10560,0.221780374061319,22389
"Bagwai",0.239924268087301,0,0.217838060941567,0,0.263084462550728,0
"Bakori",0.194975100143063,0,0.178679126709385,0,0.212058816269308,0
"Bakura",0.0592949269224789,280,0.0371535640430395,176,0.0892462241022705,423
"Balanga",0.257866559302538,0,0.231285740886025,0,0.285842968662566,0
"Bali",0.100098107304795,12495,0.0834583450319747,10431,0.118906033882394,14824
"Bama",0.948646184113216,0,0.839876694601811,0,0.990388015750958,0
"Barkin Ladi",0.327709214136389,5207,0.300137222627696,4901,0.355995046200183,5520
"Baruten",0.282224724349271,33348,0.241154043537894,28521,0.32618656638356,38513
"Bassa",0.356503017850679,13278,0.32351573797878,11886,0.390173286691027,14693
"Batagarawa",0.114734143552189,0,0.0911410491959024,0,0.141916308130627,0
"Batsari",0.101736319362687,0,0.0789595337903061,0,0.128470292105859,0
"Bauchi",0.35388521783602,26045,0.331663192404954,24404,0.376584893644328,27719
"Baure",0.214710025383256,0,0.139442543982819,0,0.307912878920994,0
"Bayo",0.398349809103276,0,0.365610564302245,0,0.431698814837292,0
"Bebeji",0.301822874143332,0,0.27581611589861,0,0.327351099803361,0
"Bekwarra",0.24950160601324,154,0.229557565645718,142,0.270303677748404,166
"Bende",0.252062097140494,169,0.224653211773486,151,0.281065285985224,189
"Biase",0.237153371845788,109,0.198840872660971,91,0.287056432259173,131
"Bichi",0.270771481931445,0,0.241919625534549,0,0.298621602783861,0
"Billiri",0.294668405049518,2614,0.270328359171793,2413,0.319903679774822,2822
"Bindawa",0.145899961549592,0,0.123834030735133,0,0.170244129596369,0
"Binji",0.0370711291372658,0,0.0212438859724899,0,0.0601463823518257,0
"Biriniwa",0.0764320838841389,0,0.0451010985352636,0,0.119833088443627,0
"Birnin Gwari",0.23378890703083,17528,0.209453717068237,15604,0.259537869477578,19570
"Birnin Kebbi",0.086811252224418,0,0.0519815971869822,0,0.134619000205639,0
"Birnin Kudu",0.343352812268119,0,0.311515749756511,0,0.376235725600639,0
"Birnin-Magaji/Kiyaw",0.11887291114906,0,0.090533823962195,0,0.152395119786647,0
"Biu",0.386967965835338,0,0.350442439290355,0,0.424446403338384,0
"Bodinga",0.0473967664004944,0,0.0293644001082689,0,0.0720062189148483,0
"Bogoro",0.382842266804453,1271,0.357635897795891,1210,0.408500688565811,1332
"Boki",0.17894720727146,184,0.15268666655336,158,0.207695817880104,212
"Bokkos",0.348517005942876,20404,0.321405706539351,18868,0.376441284328119,21982
"Boluwaduro",0.339059717716997,256,0.312734853953375,236,0.366167213318799,276
"Bomadi",0.57762768487955,161,0.19500395644839,54,0.88150025011456,246
"Bonny",0.050858721784341,0,3.30595661310217e-13,0,0.972999718218784,0
"Borgu",0.242429795740351,34446,0.201195223994665,28021,0.286629218084845,41581
"Boripe",0.370973970727186,367,0.347754516901848,345,0.39464603306116,391
"Borsari",0.0441315853026174,547,0.0192064538714859,233,0.0859149307773681,1078
"Bosso",0.24450306357463,11957,0.221640757008128,10837,0.2684983438204,13132
"Brass",0.136358186621936,14,0.013772630775359,3,0.955386924008857,32
"Buji",0.373976182585096,0,0.329240405690218,0,0.419929561188278,0
"Bukkuyum",0.0790713648639426,3128,0.0557772273831441,2300,0.10833214501864,4135
"Bukuru",0.234762470150853,3294,0.20883907088833,2933,0.262788324092965,3685
"Bungudu",0.104501380317058,0,0.0782530116118826,0,0.135996178838931,0
"Bunkure",0.301384987279729,0,0.273243444083294,0,0.330641861148904,0
"Bunza",0.0942679432995722,0,0.0500792562042054,0,0.158789827486387,0
"Burutu",0.347533445707405,615,0.100214395958918,193,0.943187095009579,962
"Bwari",0.331356682244219,9118,0.300299014260364,8213,0.363620897836741,10060
"Calabar",0.238960541506176,33,0.196558788080067,27,0.35985361894566,47
"Calabar South",0.240366805996816,2,0.171013852398455,0,0.868498402925835,38
"Chanchaga",0.174972777607539,655,0.15532535768843,582,0.195991562128953,734
"Charanchi",0.148786254637926,0,0.126089551204938,0,0.173828313316581,0
"Chibok",0.482490785087646,0,0.440252284192743,0,0.524506316342336,0
"Chikun",0.287276484510185,14886,0.26408110045247,13530,0.312220764587096,16370
"Damaturu",0.16539007454615,0,0.124639657768716,0,0.213278046847699,0
"Damban",0.353030286043568,0,0.312218655973287,0,0.395507952139,0
"Dambatta",0.290323067338934,783,0.252109101690905,691,0.331229995352092,880
"Damboa",0.544055995349301,0,0.478151979564146,0,0.602920275534321,0
"Dandi",0.119433442042165,5012,0.0638057170474005,2687,0.199915398313662,8330
"Dandume",0.183101513060315,0,0.167272531496352,0,0.199762288379813,0
"Dange-Shuni",0.0560891572701049,0,0.0332006050869233,0,0.0880989137902468,0
"Danja",0.203372229446006,0,0.18774051084495,0,0.219702727729282,0
"Danko Wasagu",0.0975677536741427,12395,0.0761409304930389,9680,0.122677296299619,15576
"Danmusa",0.161298076888037,0,0.136881858600839,0,0.188156898024979,0
"Darazo",0.363785289789393,0,0.330972312781171,0,0.39756370550428,0
"Dass",0.358083422861145,4063,0.334165842856941,3803,0.382545444766885,4329
"Daura",0.174064690625177,815,0.0882689202534161,377,0.29637533543929,1471
"Dawakin Kudu",0.295289976796876,0,0.266173257626221,0,0.325656510376939,0
"Dawakin Tofa",0.236301043298043,0,0.212335158113588,0,0.261572953152698,0
"Degema",0.0872095725434386,0,0.000352760118882686,0,0.995037316387047,0
"Dekina",0.284494332842151,5803,0.25159642890868,5143,0.319241608765971,6501
"Demsa",0.195583796180816,1396,0.169540511259469,1109,0.229182786102871,2054
"Dikwa",0.969829399575777,0,0.917857225239116,0,0.992564229403965,0
"Doguwa",0.35109402774545,0,0.324572178581673,0,0.378226747226746,0
"Doma",0.351086335252224,15416,0.321023244007809,14114,0.384385757022161,16850
"Donga",0.139406341017123,8295,0.119139749978359,7123,0.161917200625759,9594
"Dukku",0.348521659872959,8070,0.315638213245277,7374,0.382852284359312,8787
"Dutse",0.326703218231286,0,0.293000306099961,0,0.361793134242038,0
"Dutsi",0.191272120995222,0,0.123680535946114,0,0.27672145066845,0
"Dutsinma",0.15133789436979,0,0.128232417800044,0,0.176730429176768,0
"Eastern Obolo",0.489135453311693,0,0.251045895077533,0,0.717137202393417,0
"Ebonyi",0.314593760950996,1047,0.285651505154578,950,0.34451078838997,1148
"Edati",0.314161364538058,6199,0.287030264712928,5655,0.342249766962788,6762
"Ede North",0.34991788079087,407,0.324852551686743,378,0.37561767846193,436
"Ede South",0.301516350839959,253,0.272810642975986,230,0.331456599270424,278
"Edu",0.323672327180792,16226,0.298363471708016,14945,0.349446941248472,17532
"Efon",0.34513646933341,51,0.317753117704506,47,0.373286577264932,56
"Egbeda",0.5293115990015,828,0.492808198431714,771,0.563720239913405,883
"Egbedore",0.324356519256594,740,0.298630787005912,678,0.350896071619764,804
"Egor",0.576454328513336,95,0.455353612589736,75,0.684951685593737,113
"Ehime-Mbano",0.309688677268004,82,0.281172994990364,75,0.339363507722983,90
"Ejigbo",0.302467237612463,719,0.276269956522084,658,0.329727228411134,782
"Ekeremor",0.378603541661009,115,0.0834695651476614,29,0.918474779412192,189
"Eket",0.418575389796494,52,0.261751208992939,32,0.579680388332569,72
"Ekiti",0.414714600220068,1728,0.384360605255196,1602,0.445504325212776,1856
"Ekiti East",0.3064234271376,112,0.271220950396044,99,0.343399240376996,125
"Ekiti South-West",0.34502555110166,34,0.315072253834544,31,0.375926333960268,37
"Ekiti West",0.32867247241517,132,0.300391172007457,121,0.357937073258385,144
"Eleme",0.392636937995746,27,0.167281384869659,11,0.64209209420267,44
"Emuoha",0.24950567844666,36,0.0894233283078478,13,0.604760241401511,71
