"state","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Abadam",0.972006203601865,11964,0.944711288442726,11743,0.987972309933942,12090
"Abaji",0.319692757469278,9761,0.290368158428415,8859,0.350133676146988,10699
"Abak",0.196718525380397,60,0.140177543761443,42,0.25789907520095,79
"Abakaliki",0.339642221875223,1301,0.306334199805477,1173,0.374161697934452,1435
"Abeokuta North",0.68054341653963,2484,0.623979602128669,2278,0.732751352717005,2676
"Abeokuta South",0.713621134341374,366,0.662505590938942,339,0.761000361450198,390
"Abi",0.286396108174995,244,0.250369417235052,214,0.323812321355035,275
"Aboh-Mbaise",0.280049034255156,86,0.2216696448028,68,0.338841450977404,104
"Abua/Odual",0.199371244545213,21,0.0310942516767941,3,0.586472734181492,51
"Abuja",0.27177204217943,15678,0.242156698963507,13939,0.303056387422774,17516
"Adavi",0.475737950462029,5706,0.434385043436787,5206,0.51730286723446,6211
"Ado",0.313392814445444,1460,0.288221864528197,1347,0.339440015644681,1578
"Ado Odo/Ota",0.872784142389904,2456,0.818799348629637,2301,0.915239638686654,2578
"Ado-Ekiti",0.431880615073854,123,0.398191194005356,113,0.466032734626964,133
"Afijio",0.313655965650743,1614,0.283094859038863,1453,0.345496934148337,1783
"Afikpo North",0.273926087428683,221,0.245469080471701,198,0.303825401564294,246
"Afikpo South",0.26362727393306,133,0.239017832084209,122,0.289474911066756,145
"Agaie",0.303342319764969,14501,0.274975738856542,13136,0.332535696927669,15907
"Agatu",0.434186411168401,4219,0.384979287434569,3700,0.486300825657221,4778
"Aguata",0.287899127103273,146,0.261747458033962,132,0.315142471378167,159
"Agwara",0.193061559408098,6080,0.145641293780678,4740,0.245721310204617,7623
"Ahiazu-Mbaise",0.288821222664613,53,0.257446274294706,47,0.321575927365069,59
"Ahoada East",0.216320842648198,9,0.0554000224667664,2,0.46067892383681,18
"Ahoada West",0.221224554364401,16,0.0472427154396658,3,0.496774157700341,35
"Aiyedade",0.426042416464962,1353,0.394859328973393,1251,0.457676531671122,1457
"Ajaokuta",0.499354971406307,8457,0.45320562754766,7679,0.544334260574364,9214
"Ajingi",0.267491402763439,0,0.235444798270188,0,0.301451128232779,0
"Akamkpa",0.229802455242898,153,0.196135962916927,131,0.266284620522918,177
"Akinyele",0.335152091339574,1222,0.3106095534966,1137,0.360415809313327,1309
"Akko",0.328013648203484,12554,0.29972454065253,11528,0.357275788243994,13614
"Akoko North-East",0.445808345455931,389,0.405293501912313,353,0.486846546332017,426
"Akoko North-West",0.417097338698854,203,0.37453403937661,183,0.460513726268544,225
"Akoko South-East",0.427639621133978,72,0.379677069926738,64,0.476742017574091,81
"Akoko South-West",0.428689996056747,155,0.390746940896114,141,0.467317699255543,169
"Akoko-Edo",0.458700465950535,2213,0.416435350772801,2009,0.50145224424326,2421
"Akpabuyo",0.294245202791792,68,0.205356574198211,54,0.467814299316732,95
"Akuku-Toru",0.0551743724740506,0,0.002349183317056,0,0.933041905638481,0
"Akure North",0.456179157878432,151,0.422178112858238,140,0.490402681304216,162
"Akure South",0.43974562610488,103,0.407521280380748,95,0.472345530625727,110
"Akwanga",0.478964656754044,7194,0.449034860261882,6744,0.508998811313733,7645
"Albasu",0.252202908792875,0,0.22575589740815,0,0.280096790089267,0
"Aleiro",0.100871952749924,0,0.0646035442076124,0,0.148471410197912,0
"Alimosho",0.791673348180455,169,0.717827561303005,152,0.853513483441641,183
"Alkaleri",0.411486583664235,43135,0.382580745828054,40143,0.440775341237616,46187
"Amuwo Odofin",0.794526085039365,195,0.708309523579449,174,0.863481831189998,212
"Anambra East",0.400777131459258,681,0.356807012915067,608,0.445358310667442,755
"Anambra West",0.33552526172402,1163,0.262372846790949,892,0.460257894992206,1638
"Anaocha",0.328762574683438,145,0.29770657105421,132,0.360948063844764,159
"Andoni",0.171918524753779,5,0.038341011547437,1,0.777974246492242,13
"Aninri",0.318943968302086,418,0.291830955333045,383,0.34698127099087,455
"Aniocha North",0.434198673295976,345,0.402176636182045,320,0.466449146372667,370
"Aniocha South",0.430118921222206,689,0.393112295363836,629,0.467314077230317,749
"Anka",0.119548785573984,2817,0.09052828856366,2179,0.154068494649365,3562
"Ankpa",0.303601984256037,3949,0.271299603653359,3531,0.337494752853176,4388
"Apa",0.394865628822684,2222,0.361271006866,2033,0.42926320978037,2416
