"state","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Abadam",0.812152463293415,10773,0.685452257764921,9640,0.904699563479028,11514
"Abaji",0.383652631903706,11796,0.356795911181246,10975,0.411050565130225,12635
"Abak",0.257034071702081,78,0.196014311956302,60,0.323365291648063,99
"Abakaliki",0.358752838475321,1380,0.329689791881948,1269,0.388625638388997,1494
"Abeokuta North",0.58994621883078,2152,0.531028429659005,1937,0.646527396682402,2359
"Abeokuta South",0.526529527026531,270,0.467231256463114,239,0.585285989303449,300
"Abi",0.327308813659211,282,0.293020350923235,254,0.362252380837093,311
"Aboh-Mbaise",0.31101378269135,95,0.25692535229335,79,0.367123239419824,112
"Abua/Odual",0.453234061646375,50,0.145599279806003,16,0.773810458516587,85
"Abuja",0.336206110768785,19410,0.306868524842077,17694,0.36658805510706,21187
"Adavi",0.48592205546042,5812,0.450794735484134,5391,0.521068662311015,6235
"Ado",0.317196202542192,1483,0.292421882718194,1371,0.34280726165728,1598
"Ado Odo/Ota",0.779628757843273,2177,0.699863179367093,1950,0.846242649385893,2369
"Ado-Ekiti",0.429363443881541,118,0.398670579044137,109,0.460473405117008,127
"Afijio",0.321193638889567,1639,0.292307039364747,1490,0.351175500759606,1794
"Afikpo North",0.286697538192324,231,0.263314747960897,213,0.310983325304561,251
"Afikpo South",0.279467384336258,142,0.254965262049061,130,0.305075471328735,153
"Agaie",0.358803418265596,17209,0.33380892654221,16008,0.384027729802655,18422
"Agatu",0.457533013267389,4560,0.420303727247631,4195,0.494337261190461,4917
"Aguata",0.331244591458417,168,0.304984459448132,154,0.358315514666994,181
"Agwara",0.160058003971853,4195,0.124819716913945,3318,0.19742450250805,5207
"Ahiazu-Mbaise",0.32713554150997,60,0.295280032826424,54,0.360183051882572,66
"Ahoada East",0.367658069322747,15,0.141856070603025,6,0.636252847707903,25
"Ahoada West",0.425069074488622,30,0.157631242136459,11,0.714217270026973,51
"Aiyedade",0.48221620564673,1542,0.451362568033201,1440,0.51319054335052,1645
"Ajaokuta",0.551410113719078,9323,0.510766796617124,8641,0.590568713467661,9980
"Ajingi",0.244459205985888,0,0.215272259973655,0,0.275500328049021,0
"Akamkpa",0.241037878025813,159,0.207284392864657,137,0.277382132889981,183
"Akinyele",0.332194418498885,1173,0.308097980278853,1090,0.356982981044385,1257
"Akko",0.329677436663602,12790,0.306712794172995,11986,0.353274120824394,13613
"Akoko North-East",0.450302843574081,391,0.418776279175315,363,0.482121156099025,419
"Akoko North-West",0.413607523131999,201,0.380878315540604,185,0.446892256221497,217
"Akoko South-East",0.417839958502493,70,0.38606456289703,65,0.450124282470479,76
"Akoko South-West",0.446194502961234,162,0.416211132712807,151,0.476498816796049,173
"Akoko-Edo",0.46471998049855,2261,0.431781265130237,2099,0.497912600101783,2425
