"state","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Abadam",0.745203984152933,10031,0.586228686753415,8377,0.867979124993975,11167
"Abaji",0.410291844151151,12562,0.385640125330867,11802,0.435288832949389,13332
"Abak",0.274466958732772,84,0.211737878683741,64,0.344741287043635,105
"Abakaliki",0.349527146004461,1331,0.322901956177801,1230,0.376887156764744,1434
"Abeokuta North",0.669464903175362,2446,0.612498325874622,2237,0.722663933254715,2642
"Abeokuta South",0.60230395034769,309,0.545827934225859,280,0.656844482731791,337
"Abi",0.329013001304798,282,0.297797629513713,256,0.36114700992348,308
"Aboh-Mbaise",0.308884996541858,95,0.255763619925237,78,0.366243908847001,112
"Abua/Odual",0.517464566041652,57,0.201255854859194,23,0.825986882598623,91
"Abuja",0.33848060869092,19541,0.314051289021022,18145,0.363615497007665,20977
"Adavi",0.522335988588113,6261,0.493671405573981,5916,0.550837008893837,6604
"Ado",0.380002556229644,1757,0.356413099582905,1651,0.4040351889744,1866
"Ado Odo/Ota",0.854097958349363,2396,0.79270060234187,2219,0.902715740319845,2538
"Ado-Ekiti",0.403485539049553,111,0.374932454316759,103,0.432542312472695,120
"Afijio",0.278036364534843,1390,0.250480386542143,1250,0.30691801076091,1537
"Afikpo North",0.296987392327887,238,0.270432700408507,217,0.324600419159499,261
"Afikpo South",0.308559206839068,153,0.282629439626663,141,0.33548430785756,165
"Agaie",0.376075595562414,18013,0.352368258126178,16871,0.400038435859257,19169
"Agatu",0.505847732111669,4966,0.473227035010615,4644,0.537986040164046,5281
"Aguata",0.322243784425817,163,0.298031127817707,151,0.347184027382151,176
"Agwara",0.206435116706152,6305,0.170223372116148,5266,0.244956953622748,7455
"Ahiazu-Mbaise",0.297424348648503,54,0.270300328518606,49,0.325655830096605,59
"Ahoada East",0.409234469319934,16,0.168291653090396,7,0.691542155014436,27
"Ahoada West",0.440722477440583,31,0.170642944634405,12,0.740537063822698,53
"Aiyedade",0.431776552822755,1377,0.400467867007011,1273,0.463494465754584,1481
"Ajaokuta",0.576845911686903,9732,0.543700278834251,9174,0.608980975251555,10272
"Ajingi",0.264544057028033,0,0.234334518714219,0,0.296506094830995,0
"Akamkpa",0.242325134042699,160,0.209066254626713,138,0.278039300771193,183
"Akinyele",0.335306541095027,1203,0.308306174959612,1105,0.363166195527112,1305
"Akko",0.312771117502606,12573,0.287352174950951,11647,0.339080844528853,13526
"Akoko North-East",0.464463538229396,409,0.437387243850602,385,0.491691616237972,432
"Akoko North-West",0.437413136567702,213,0.408608624929546,199,0.466508670178929,227
"Akoko South-East",0.428800266325355,73,0.401114252768567,68,0.456816746688723,78
"Akoko South-West",0.441065210122026,161,0.414480356725123,151,0.467919982864916,171
"Akoko-Edo",0.478146725233416,2346,0.450237019891589,2209,0.506164731180907,2483
"Akpabuyo",0.314595983427918,66,0.246781334051503,53,0.38440660440387,80
"Akuku-Toru",0.791800053449909,70,0.457359464819758,41,0.963306799294919,85
"Akure North",0.433116660066167,144,0.40281882406963,134,0.463797171497949,155
"Akure South",0.423599608422941,96,0.393865202646213,89,0.453755498351634,103
"Akwanga",0.447370621801491,6721,0.423031179381033,6355,0.471906257903278,7090
"Albasu",0.252669653609498,0,0.227577264006351,0,0.279054093844992,0
"Aleiro",0.0959148588784945,0,0.0686819707394187,0,0.129466248140495,0
"Alimosho",0.735965077863765,172,0.644559408621251,156,0.814926426920543,185
"Alkaleri",0.408640377470975,44657,0.381947196796331,41874,0.43576154502942,47489
"Amuwo Odofin",0.817115912339201,200,0.737268329038022,181,0.880989398254542,216
"Anambra East",0.430305162862762,730,0.397055754115375,675,0.463632768552488,785
"Anambra West",0.487716582729026,1757,0.452065416454151,1630,0.522681854486763,1882
"Anaocha",0.352354889233323,156,0.328042057824416,145,0.377250202003544,167
"Andoni",0.582016348982973,24,0.311140074851407,14,0.821230988547877,32
"Aninri",0.343480048399046,452,0.318590814676776,419,0.36903179191194,486
"Aniocha North",0.384777566351067,309,0.357040424462442,287,0.413181341003059,331
"Aniocha South",0.373530473740633,600,0.342466845564868,549,0.405510681936197,652
"Anka",0.0952745143131368,2357,0.0722044736789189,1819,0.122857087374783,2989
"Ankpa",0.381695849926377,4974,0.355041723972509,4624,0.408961340597387,5332
"Apa",0.450453968575046,2530,0.425849928822407,2392,0.475262122559213,2669
"Ardo-Kola",0.125671517712295,2562,0.110027887825083,2251,0.142726389388135,2900
"Arewa Dandi",0.0861515750132532,479,0.0539362853716132,294,0.129039573119067,720
"Argungu",0.0693080381113941,0,0.0471803675982,0,0.0976650674852775,0
"Arochukwu",0.270758604879337,108,0.241029091470598,96,0.302089236408558,120
"Asa",0.30169463707015,7051,0.278747934760639,6513,0.325429756878961,7608
"Asari-Toru",0.73352199057856,24,0.410458310951062,13,0.933009839659611,30
"Askira/Uba",0.607899742464933,1317,0.546484107799687,1198,0.663470528629298,1440
"Atakumosa East",0.399336559537148,419,0.369212780471737,387,0.430040821263866,451
"Atakumosa West",0.350843708860912,470,0.320804348853842,430,0.381774187350991,511
"Atiba",0.244847136644142,3347,0.217563047951849,3005,0.273819590809005,3708
"Atisbo",0.212286703676394,5135,0.180467074016335,4382,0.246951520636641,5952
"Augie",0.055947359388265,0,0.0382981954802941,0,0.0786069200019974,0
"Auyo",0.1603022440601,0,0.128696576632609,0,0.195996033287825,0
"Awe",0.327875246156005,14710,0.305284169115791,13709,0.351029102858661,15736
"Awgu",0.349555891474794,624,0.324658115340748,580,0.375047203943369,670
"Awka North",0.392463939159573,761,0.368530698689855,714,0.416803447365746,809
"Awka South",0.337854012437689,406,0.312327587443456,375,0.364102958160144,438
"Ayamelum",0.396706486022171,1178,0.366149126050986,1087,0.427890828874045,1271
"Ayedire",0.316212244203044,211,0.28743535170848,192,0.346063704771455,231
"Babura",0.195868181044565,0,0.161108489636876,0,0.234820594198316,0
"Badagry",0.912679307007087,663,0.865805039649676,630,0.947133735324947,688
"Bade",0.0648647319854693,0,0.031971567448294,0,0.11516085450626,0
"Bagudo",0.161971757440487,16314,0.119020259655508,12105,0.213045946038699,21298
"Bagwai",0.240761385321955,0,0.219775896504507,0,0.262714935016686,0
"Bakori",0.19583583352361,0,0.180338409619158,0,0.212052205650865,0
"Bakura",0.0600645826492578,299,0.0413131187982693,207,0.0840253192219835,418
"Balanga",0.229131840275376,0,0.207465634102643,0,0.251922675096635,0
"Bali",0.09017501335517,10922,0.0747882817959994,9075,0.10761086956609,13011
"Bama",0.956850093343551,0,0.860832938769485,0,0.992192988378872,0
"Barkin Ladi",0.273821097085461,4352,0.2518918533975,4090,0.29654459683524,4622
"Baruten",0.151354109890042,17866,0.125737739489741,14858,0.179941197397682,21221
"Bassa",0.424417955512651,16450,0.397523499775528,15372,0.451270148114928,17520
"Batagarawa",0.154147067614782,0,0.129487441470026,0,0.181450172404492,0
"Batsari",0.122218799680933,0,0.100724569016737,0,0.146442431814276,0
"Bauchi",0.351720859212724,26285,0.330739803359721,24760,0.373169269411457,27841
"Baure",0.197132689047002,0,0.127399090166398,0,0.285305902961663,0
"Bayo",0.358073392171029,0,0.328178088526854,0,0.388825706591442,0
"Bebeji",0.279129686087152,0,0.25490092955607,0,0.303411264766967,0
"Bekwarra",0.249304818801092,153,0.231508516908543,142,0.26776343046108,164
"Bende",0.281723915364142,191,0.254148893313067,173,0.310579566524123,211
"Biase",0.29474552382238,134,0.261482247023285,119,0.329713625261024,149
"Bichi",0.268500069759691,0,0.239878854328148,0,0.297298613274823,0
"Billiri",0.27791047151917,2432,0.255990119250917,2240,0.300651986003014,2630
"Bindawa",0.170725099479722,0,0.14982185038439,0,0.193257242624704,0
"Binji",0.0428520849994696,0,0.0281701114257773,0,0.0622680216889755,0
"Biriniwa",0.0694886132953889,0,0.0406485916654761,0,0.109852905903092,0
"Birnin Gwari",0.254644210498677,19149,0.230428854994377,17230,0.280064550112603,21170
"Birnin Kebbi",0.0875727543785349,0,0.0596010454235014,0,0.123232424487397,0
"Birnin Kudu",0.273952854406861,0,0.247416634417374,0,0.301734035627504,0
"Birnin-Magaji/Kiyaw",0.115874425839007,0,0.0929582760738962,0,0.142181468486954,0
"Biu",0.327173422710605,0,0.293545549417391,0,0.362169825406465,0
"Bodinga",0.0493510205031765,0,0.0338105619057756,0,0.0693044762255986,0
"Bogoro",0.35366047702985,1209,0.331914575374989,1149,0.375930574247323,1269
"Boki",0.198087746504585,204,0.172029964907811,178,0.226231569664018,232
"Bokkos",0.329942604756169,19285,0.306050068825607,17961,0.354502733450807,20645
"Boluwaduro",0.318892087095359,239,0.294924777979364,221,0.343599065426352,257
"Bomadi",0.578545925483669,161,0.218289694384444,61,0.881382323589698,246
"Bonny",0.724969148353547,60,0.405294842781863,38,0.929986941702329,73
"Borgu",0.170858824208314,24744,0.142927985970222,20657,0.201152136163025,29261
"Boripe",0.308149127258805,304,0.287794000178507,284,0.32907009451449,324
"Borsari",0.0487531763844826,626,0.0207761872564073,267,0.0962657229128208,1234
"Bosso",0.29363969480264,14386,0.270176172181492,13236,0.317956158253454,15577
"Brass",0.779527638700445,254,0.384720473502561,132,0.967648496853507,311
"Buji",0.293717849662267,0,0.261292921308214,0,0.327621365899725,0
"Bukkuyum",0.0755965556902321,3092,0.0568066460213405,2400,0.0983124333893183,3908
"Bukuru",0.250660200106993,3519,0.230787469020072,3240,0.271289944916676,3808
"Bungudu",0.0931534997194683,0,0.0735504244798467,0,0.115985469310629,0
"Bunkure",0.267607761435249,0,0.241903906801292,0,0.29453367526447,0
"Bunza",0.12338343069527,0,0.078226780481086,0,0.182410458987935,0
"Burutu",0.729239803727472,1764,0.371507987041237,941,0.947671175786538,2259
"Bwari",0.379377182346866,10391,0.35233373213665,9630,0.406988330836911,11169
"Calabar",0.251143636678776,33,0.214680043291041,28,0.289598343118382,38
"Calabar South",0.546523447284906,19,0.455210637289459,16,0.63127035428009,22
"Chanchaga",0.233012793219594,873,0.212544742524978,796,0.254455579630721,953
"Charanchi",0.174939365669918,0,0.153392367739737,0,0.198150230596241,0
"Chibok",0.431806454819511,0,0.390965620559184,0,0.472844687305765,0
"Chikun",0.308346974802157,16767,0.285714444353284,15442,0.331664493946995,18131
"Damaturu",0.152282798524755,0,0.114182537492331,0,0.197440898724849,0
"Damban",0.280174139615904,0,0.249330725380246,0,0.312682496045429,0
"Dambatta",0.261495567437783,690,0.226375802811073,607,0.299414600316651,779
"Damboa",0.484383048346272,0,0.418447057607228,0,0.543872563157982,0
"Dandi",0.156604674008605,6243,0.100569743714338,4006,0.228249031292406,9100
"Dandume",0.182709552340342,0,0.167523081167691,0,0.198660002227067,0
"Dange-Shuni",0.0505473568379137,0,0.033184507386707,0,0.0734533017939766,0
"Danja",0.205127205233752,0,0.190073798891747,0,0.220821501219066,0
"Danko Wasagu",0.103490723967353,13100,0.0842328054758058,10660,0.125437001837023,15883
"Danmusa",0.159670387967452,0,0.138945510320804,0,0.182191528146937,0
"Darazo",0.316755013214185,0,0.28983837918377,0,0.344647663152216,0
"Dass",0.348584374254395,3819,0.326833550626445,3577,0.370881925437605,4069
"Daura",0.20804588543287,1026,0.106215728610479,482,0.350388847075718,1815
"Dawakin Kudu",0.261945681636122,0,0.235265359536117,0,0.290000254402435,0
"Dawakin Tofa",0.24114089179986,0,0.217348275684004,0,0.266184244874824,0
"Degema",0.77353583509907,109,0.44243429910426,64,0.955452203306804,135
"Dekina",0.42150695470015,8542,0.392115011225896,7953,0.45132293638722,9139
"Demsa",0.17532823060177,1846,0.152431257647628,1593,0.199678940671083,2113
"Dikwa",0.977702915351933,0,0.937933816271914,0,0.994616393280131,0
"Doguwa",0.325340466628994,0,0.301977960231389,0,0.349364034004823,0
"Doma",0.421763482425739,18395,0.395045674890483,17227,0.448800292421848,19577
"Donga",0.121304159708502,7170,0.10367746434933,6168,0.140773105970891,8271
"Dukku",0.327064118976925,8037,0.302489614921212,7516,0.352369565828687,8570
"Dutse",0.259133283060259,0,0.230811551956638,0,0.289056720106846,0
"Dutsi",0.202748304933705,0,0.131565390583969,0,0.293048191307481,0
"Dutsinma",0.170541052797218,0,0.150062467339437,0,0.192539341835328,0
