"state","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Abadam",0.781188745309857,10460,0.62867449293851,8978,0.893617051477755,11420
"Abaji",0.338392796767943,10436,0.312573775777867,9645,0.364972908421136,11250
"Abak",0.268180247817084,82,0.206057324477607,63,0.336694590094442,103
"Abakaliki",0.361874170796322,1399,0.331889652990744,1284,0.39268335922793,1518
"Abeokuta North",0.613210598670354,2239,0.552578511479655,2019,0.670522576908783,2448
"Abeokuta South",0.529130236842331,271,0.469905511054986,241,0.587766200607314,301
"Abi",0.309007906462817,264,0.274407470682539,236,0.344565133347228,293
"Aboh-Mbaise",0.324296879371186,99,0.268991045803727,82,0.382538687551865,117
"Abua/Odual",0.480393038965718,52,0.181181474497478,19,0.793874719800031,86
"Abuja",0.308718945789478,17858,0.279989321587799,16178,0.338710941117715,19612
"Adavi",0.430812158032604,5146,0.396125380633579,4732,0.465934020617119,5567
"Ado",0.301524569597958,1416,0.277334126940835,1307,0.326617950458995,1530
"Ado Odo/Ota",0.772092121362538,2162,0.690640928578325,1931,0.84043553754767,2357
"Ado-Ekiti",0.378587321362587,104,0.348477058180912,96,0.409400060258417,113
"Afijio",0.330973566588097,1739,0.300680302061863,1579,0.362374111156234,1905
"Afikpo North",0.307401982236714,251,0.279573223670054,228,0.336304202405143,274
"Afikpo South",0.277572252699675,143,0.253061106876722,132,0.303208672552013,155
"Agaie",0.324170733682619,15599,0.298602236587172,14372,0.350262930164182,16853
"Agatu",0.393677023722994,3840,0.347964632849126,3355,0.443441655195574,4380
"Aguata",0.28963752618273,147,0.26479477193801,134,0.315452327615223,160
"Agwara",0.202330455443231,6698,0.153211552608436,5255,0.257461034159026,8347
"Ahiazu-Mbaise",0.301574500500836,55,0.270848952677238,49,0.333658179850136,61
"Ahoada East",0.481053797745709,19,0.219725158960329,9,0.746967737232251,30
"Ahoada West",0.512436112788576,36,0.220923724560234,16,0.790099659536292,56
"Aiyedade",0.396386962724557,1270,0.365941345458588,1170,0.427459120856006,1372
"Ajaokuta",0.466779321848828,7889,0.422764617994888,7147,0.509979590669042,8616
"Ajingi",0.21451742247577,0,0.185809863355874,0,0.245440377019628,0
"Akamkpa",0.214622591300226,144,0.182938250794876,123,0.24904138733997,166
"Akinyele",0.311575533955115,1115,0.288135990201601,1034,0.335811255097358,1198
"Akko",0.336828440415485,12911,0.310194096972451,11969,0.364280513445113,13880
"Akoko North-East",0.3858997993987,340,0.355584219568472,314,0.416873374844721,368
"Akoko North-West",0.360150380270377,177,0.328875385540625,162,0.392299502845876,193
"Akoko South-East",0.335880096321372,57,0.306440166718011,52,0.366290111459923,62
"Akoko South-West",0.364173393779726,132,0.336065638639302,122,0.393023686453338,143
"Akoko-Edo",0.390804018960668,1912,0.359268629615248,1756,0.423063957709082,2071
"Akpabuyo",0.244213154246792,70,0.193134328979778,56,0.331325265566311,90
"Akuku-Toru",0.117271703195477,9,0.0239256002461064,2,0.66063601403378,57
"Akure North",0.427602894235288,142,0.397050197118903,132,0.458496701699084,152
"Akure South",0.417302895530448,99,0.386976313202646,92,0.448089420531324,106
"Akwanga",0.528380135179782,7942,0.499651207353135,7511,0.556961406638164,8371
"Albasu",0.215460487787391,0,0.191067658350529,0,0.241434632578344,0
"Aleiro",0.116323425768506,0,0.0757260284598568,0,0.168730229093762,0
"Alimosho",0.703109464903057,152,0.614013686872309,132,0.782024247335732,169
"Alkaleri",0.416327623365967,43886,0.38865170890947,41011,0.444348055367138,46815
"Amuwo Odofin",0.711408516738468,174,0.61057892856666,150,0.798583008255064,196
"Anambra East",0.385939511484272,651,0.342346802899453,579,0.43029505292957,725
"Anambra West",0.303840565867281,1044,0.239777400401711,809,0.417854227200935,1477
"Anaocha",0.318956630169462,141,0.29179759926736,129,0.34704593860267,153
"Andoni",0.393333424954726,13,0.167895886016827,5,0.819229652639065,30
"Aninri",0.354539238111079,466,0.328667230980306,432,0.3810275202324,501
"Aniocha North",0.427646760296443,339,0.397277171025948,315,0.458176110680152,363
